# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	pad1_to_default	4.8444021645e+03	1.4360683871e+04	1.3466491532e+02
1.0000000000e+00	pad1_to_disk	4.5425139336e+04	5.6059817674e+04	7.2473318367e+02
2.0000000000e+00	pad1_to_default	1.5257256299e+04	4.0323755832e+04	3.6983025301e+02
2.0000000000e+00	pad1_to_disk	8.0785494934e+04	1.0162788714e+05	1.3269747259e+03
3.0000000000e+00	pad1_to_default	1.4804762486e+04	3.3745391096e+04	3.5530239503e+02
3.0000000000e+00	pad1_to_disk	6.9749272067e+04	8.8363146992e+04	1.1523330549e+03
4.0000000000e+00	pad1_to_default	1.5676516144e+04	3.3384423992e+04	3.7299704851e+02
4.0000000000e+00	pad1_to_disk	6.7396837081e+04	8.5797009935e+04	1.1185119819e+03
5.0000000000e+00	pad1_to_default	1.6317051031e+04	3.1585074398e+04	3.9016977782e+02
5.0000000000e+00	pad1_to_disk	6.5966447128e+04	8.4936042088e+04	1.1054290622e+03
6.0000000000e+00	pad1_to_default	1.6712540359e+04	3.2218764832e+04	4.0434460387e+02
6.0000000000e+00	pad1_to_disk	6.4464145510e+04	8.4518096482e+04	1.0956048143e+03
7.0000000000e+00	pad1_to_default	1.6655684330e+04	3.2942051571e+04	4.1608739957e+02
7.0000000000e+00	pad1_to_disk	6.2926662062e+04	8.4342974594e+04	1.0867135330e+03
8.0000000000e+00	pad1_to_default	1.6592301521e+04	3.5343011561e+04	4.2599978792e+02
8.0000000000e+00	pad1_to_disk	6.1371546968e+04	8.4269947231e+04	1.0782913964e+03
9.0000000000e+00	pad1_to_default	1.6512339008e+04	3.8434613228e+04	4.3429159818e+02
9.0000000000e+00	pad1_to_disk	5.9163732639e+04	8.4234934313e+04	1.0703823481e+03
1.0000000000e+01	pad1_to_default	1.5820093945e+04	4.1580589923e+04	4.4089642979e+02
1.0000000000e+01	pad1_to_disk	5.6840947096e+04	8.4251475998e+04	1.0631624706e+03
1.1000000000e+01	pad1_to_default	1.4986292668e+04	4.4588793719e+04	4.4742232556e+02
1.1000000000e+01	pad1_to_disk	5.4744268540e+04	8.4248458235e+04	1.0562004087e+03
1.2000000000e+01	pad1_to_default	1.4385913750e+04	4.7258829050e+04	4.5405010369e+02
1.2000000000e+01	pad1_to_disk	5.2800808545e+04	8.4196454905e+04	1.0492920350e+03
1.3000000000e+01	pad1_to_default	1.5221186406e+04	4.9294037728e+04	4.6017553645e+02
1.3000000000e+01	pad1_to_disk	5.1340598554e+04	8.4127250358e+04	1.0428250173e+03
1.4000000000e+01	pad1_to_default	1.4809378046e+04	5.0380132540e+04	4.6720057930e+02
1.4000000000e+01	pad1_to_disk	5.0405695099e+04	8.3784770499e+04	1.0358145341e+03
1.5000000000e+01	pad1_to_default	1.4805361901e+04	5.0509478742e+04	4.7638077999e+02
1.5000000000e+01	pad1_to_disk	4.9920877274e+04	8.3109251732e+04	1.0270669148e+03
1.6000000000e+01	pad1_to_default	1.4390244734e+04	5.0216696293e+04	4.8686995234e+02
1.6000000000e+01	pad1_to_disk	4.9623750938e+04	8.2203265592e+04	1.0169508325e+03
1.7000000000e+01	pad1_to_default	1.4061297057e+04	4.9853900658e+04	4.9589306449e+02
1.7000000000e+01	pad1_to_disk	4.9473027210e+04	8.1672708557e+04	1.0077207695e+03
1.8000000000e+01	pad1_to_default	1.3024235311e+04	4.9887102406e+04	5.0404051753e+02
1.8000000000e+01	pad1_to_disk	4.9404125479e+04	8.1295458138e+04	9.9927587640e+02
1.9000000000e+01	pad1_to_default	1.2494856055e+04	5.0448489980e+04	5.1229306654e+02
1.9000000000e+01	pad1_to_disk	4.9414497969e+04	8.0875931046e+04	9.9094858960e+02
