# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	coolingDuct	-1.8648298786e+01	7.2797586462e+00	-1.8974480530e-02
1.0000000000e+00	coolingDuct_slave	-4.6028851207e+00	3.3454281123e+00	6.6283744278e-02
1.0000000000e+00	inlet_slave	-5.0821976835e-21	1.6940658945e-20	1.8045350988e-24
1.0000000000e+00	default_to_pad1	-4.8882972425e+04	-9.6696209850e+03	-2.9743226057e+02
1.0000000000e+00	default_to_disk	-7.4033306283e+03	-7.6039962407e+02	-8.0286360094e+02
1.0000000000e+00	default_to_pad2	-5.9695671043e+04	-9.2912474459e+03	-3.1533579504e+02
2.0000000000e+00	coolingDuct	-4.1740029675e+02	2.4056066507e+00	-1.2340393739e+01
2.0000000000e+00	coolingDuct_slave	1.8049577497e-02	4.6600098009e+00	1.1420700208e-01
2.0000000000e+00	inlet_slave	-2.7105054312e-20	2.0328790734e-20	-5.3093916916e-25
2.0000000000e+00	default_to_pad1	-2.6740055902e+04	-4.6039947540e+03	-1.5648291381e+02
2.0000000000e+00	default_to_disk	-8.9430730357e+03	-1.2752362719e+02	-1.1576611441e+03
2.0000000000e+00	default_to_pad2	-3.1609080720e+04	-3.3245853741e+03	-1.6656531743e+02
3.0000000000e+00	coolingDuct	-6.8947383529e+01	3.9209356706e+01	-1.9527322236e+00
3.0000000000e+00	coolingDuct_slave	-8.8424597588e+00	9.1862677539e+00	9.5475434524e-02
3.0000000000e+00	inlet_slave	-3.2293131114e-21	4.0234064995e-21	1.7863170828e-25
3.0000000000e+00	default_to_pad1	-2.5680254831e+04	-4.3952382178e+03	-1.5573819232e+02
3.0000000000e+00	default_to_disk	-1.2669669642e+04	1.8669618094e+03	-1.5389421168e+03
3.0000000000e+00	default_to_pad2	-3.1621036575e+04	-2.9568376982e+03	-1.7086584081e+02
4.0000000000e+00	coolingDuct	-3.0583001060e+00	1.2382737963e+02	3.6925798919e+00
