# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	pad2_to_disk	4.6151313465e+04	5.6688046047e+04	7.3384507160e+02
1.0000000000e+00	pad2_to_default	4.3782240919e+03	1.4485893463e+04	1.1876687679e+02
2.0000000000e+00	pad2_to_disk	7.8402396052e+04	1.0179373717e+05	1.3183540506e+03
2.0000000000e+00	pad2_to_default	1.4431079505e+04	4.7236834122e+04	3.8789001330e+02
3.0000000000e+00	pad2_to_disk	6.7536139701e+04	8.7837923248e+04	1.1399804802e+03
3.0000000000e+00	pad2_to_default	1.3841162743e+04	3.9194932190e+04	3.6895872353e+02
4.0000000000e+00	pad2_to_disk	6.4864054666e+04	8.5003202525e+04	1.1036175780e+03
4.0000000000e+00	pad2_to_default	1.5105701616e+04	3.9693872895e+04	3.8878629801e+02
5.0000000000e+00	pad2_to_disk	6.3896958478e+04	8.4175270903e+04	1.0926328336e+03
5.0000000000e+00	pad2_to_default	1.6148935381e+04	3.8622031674e+04	4.0238610984e+02
6.0000000000e+00	pad2_to_disk	6.3513402190e+04	8.3739428848e+04	1.0870296627e+03
6.0000000000e+00	pad2_to_default	1.6038122704e+04	3.7421167660e+04	4.1161815298e+02
7.0000000000e+00	pad2_to_disk	6.3740691579e+04	8.3445444946e+04	1.0842502880e+03
7.0000000000e+00	pad2_to_default	1.5900386606e+04	3.7571712211e+04	4.1664890089e+02
8.0000000000e+00	pad2_to_disk	6.3994814244e+04	8.3230931465e+04	1.0816398507e+03
8.0000000000e+00	pad2_to_default	1.5928741424e+04	3.7477411473e+04	4.2080080924e+02
9.0000000000e+00	pad2_to_disk	6.3832087093e+04	8.3235180574e+04	1.0795101638e+03
9.0000000000e+00	pad2_to_default	1.5824895815e+04	3.7180560714e+04	4.2333770331e+02
1.0000000000e+01	pad2_to_disk	6.3910843710e+04	8.3270996074e+04	1.0790699108e+03
1.0000000000e+01	pad2_to_default	1.5490060275e+04	3.6554486914e+04	4.2287491494e+02
