# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	coolingDuct	-1.8893080812e+01	7.4234360972e+00	-1.8914149007e-02
1.0000000000e+00	coolingDuct_slave	-4.5098442235e+00	3.3268745219e+00	6.7212837090e-02
1.0000000000e+00	inlet_slave	-6.7762635780e-21	1.5670109524e-20	1.7450432990e-24
1.0000000000e+00	default_to_pad1	-4.7806172798e+04	-9.6555692771e+03	-2.9525894104e+02
1.0000000000e+00	default_to_disk	-7.2840005329e+03	-7.5557459998e+02	-7.9623600724e+02
1.0000000000e+00	default_to_pad2	-5.8052920270e+04	-9.2137162888e+03	-3.1191888567e+02
2.0000000000e+00	coolingDuct	-7.9420252488e+00	7.1184807220e+00	7.6906758281e-02
2.0000000000e+00	coolingDuct_slave	2.0874854973e-02	4.5758550683e+00	1.1352748296e-01
2.0000000000e+00	inlet_slave	-2.7105054312e-20	1.3552527156e-20	6.6353327091e-25
2.0000000000e+00	default_to_pad1	-2.5431914940e+04	-4.6345777974e+03	-1.5182241695e+02
2.0000000000e+00	default_to_disk	-8.8560818544e+03	5.3808692483e+01	-1.1320080352e+03
2.0000000000e+00	default_to_pad2	-2.9775258224e+04	-3.1236752536e+03	-1.5672522301e+02
3.0000000000e+00	coolingDuct	-1.2145590505e+00	3.3073711957e+00	8.2940269526e-02
3.0000000000e+00	coolingDuct_slave	-1.0035380677e+01	7.0858120103e+00	9.0285165445e-02
3.0000000000e+00	inlet_slave	-4.4469229731e-21	3.3881317890e-21	1.9634134798e-27
3.0000000000e+00	default_to_pad1	-2.4588564497e+04	-4.0880140111e+03	-1.4669097943e+02
3.0000000000e+00	default_to_disk	-1.2591748984e+04	2.1100804807e+03	-1.5090011509e+03
3.0000000000e+00	default_to_pad2	-2.9817510865e+04	-2.4710237536e+03	-1.5384445127e+02
4.0000000000e+00	coolingDuct	-2.9738392012e+00	4.7007401323e+00	6.9590206200e-02
4.0000000000e+00	coolingDuct_slave	-2.0685562147e+00	3.1789836425e+01	1.1581495387e-01
4.0000000000e+00	inlet_slave	-2.5410988418e-21	4.2351647363e-22	-2.4654146129e-25
4.0000000000e+00	default_to_pad1	-2.3116187806e+04	-4.1573547071e+03	-1.5277908885e+02
4.0000000000e+00	default_to_disk	-1.4987027741e+04	4.3663174584e+03	-1.7485598546e+03
4.0000000000e+00	default_to_pad2	-2.9015349378e+04	-2.6398538595e+03	-1.5824012235e+02
5.0000000000e+00	coolingDuct	-3.8761629598e+00	5.3715655290e+00	5.4726822969e-02
5.0000000000e+00	coolingDuct_slave	-3.2989394750e-01	5.2094661289e+00	1.2603064954e-01
5.0000000000e+00	inlet_slave	-3.3881317890e-21	6.7762635780e-21	8.0444267193e-25
5.0000000000e+00	default_to_pad1	-2.1092517480e+04	-4.2187561324e+03	-1.5913653701e+02
5.0000000000e+00	default_to_disk	-1.7685381775e+04	6.4717835123e+03	-1.8734415300e+03
5.0000000000e+00	default_to_pad2	-2.7563688866e+04	-3.0306021322e+03	-1.6098349576e+02
6.0000000000e+00	coolingDuct	-3.5256076993e+00	1.1550772472e+01	5.0974599956e-02
6.0000000000e+00	coolingDuct_slave	5.4269086712e-01	8.4584469130e+00	1.5194940795e-01
6.0000000000e+00	inlet_slave	-4.0657581468e-20	1.3552527156e-20	-6.7327021842e-25
6.0000000000e+00	default_to_pad1	-2.2287661556e+04	-4.1826296867e+03	-1.6431524454e+02
6.0000000000e+00	default_to_disk	-2.0474910106e+04	8.5564197608e+03	-1.9248337443e+03
6.0000000000e+00	default_to_pad2	-2.4996843957e+04	-3.4318408493e+03	-1.6036223290e+02
7.0000000000e+00	coolingDuct	-3.1595158784e+00	6.8142363805e+00	7.0548762752e-02
7.0000000000e+00	coolingDuct_slave	-9.9078261951e+00	8.4746127506e+00	1.8102292560e-01
7.0000000000e+00	inlet_slave	-2.7105054312e-20	1.3552527156e-20	-1.7376075109e-24
7.0000000000e+00	default_to_pad1	-2.4558895295e+04	-4.0277502950e+03	-1.6980560529e+02
7.0000000000e+00	default_to_disk	-2.2031713991e+04	1.0487762459e+04	-1.9354195632e+03
7.0000000000e+00	default_to_pad2	-2.4580417897e+04	-3.8955739683e+03	-1.5887370360e+02
8.0000000000e+00	coolingDuct	-2.5523646595e+00	7.2070123393e+00	8.1679795561e-02
8.0000000000e+00	coolingDuct_slave	1.0693583252e-01	6.7138463190e+00	2.2187905245e-01
8.0000000000e+00	inlet_slave	-5.4210108624e-20	2.7105054312e-20	1.2466405555e-24
8.0000000000e+00	default_to_pad1	-2.7075551595e+04	-3.7718051543e+03	-1.7589798625e+02
8.0000000000e+00	default_to_disk	-2.2550720474e+04	1.1908693923e+04	-1.9249705527e+03
8.0000000000e+00	default_to_pad2	-2.4054140780e+04	-4.2772641521e+03	-1.6098691615e+02
9.0000000000e+00	coolingDuct	-1.5644748284e+00	9.6735421940e+00	8.3926912893e-02
9.0000000000e+00	coolingDuct_slave	1.1243697744e+00	7.3407827180e+00	2.6840757949e-01
9.0000000000e+00	inlet_slave	-1.6263032587e-19	1.6940658945e-21	-1.3870198713e-23
9.0000000000e+00	default_to_pad1	-3.0100742872e+04	-3.4792072623e+03	-1.8317141790e+02
9.0000000000e+00	default_to_disk	-2.2277567041e+04	1.2515077963e+04	-1.9055211732e+03
9.0000000000e+00	default_to_pad2	-2.3498406454e+04	-4.1631131304e+03	-1.6278948189e+02
1.0000000000e+01	coolingDuct	-3.4429901318e+01	9.7706953312e+01	4.2111104980e-03
1.0000000000e+01	coolingDuct_slave	-2.9164684983e+02	3.8231344985e+02	1.9607132074e+00
1.0000000000e+01	inlet_slave	-5.4210108624e-20	2.1684043450e-19	1.6267545075e-23
1.0000000000e+01	default_to_pad1	-4.1574519845e+04	-1.5777831316e+04	-4.3734310501e+02
1.0000000000e+01	default_to_disk	-2.2570410321e+04	1.4581890258e+04	-2.1868266735e+03
1.0000000000e+01	default_to_pad2	-3.4016608814e+04	-1.5081855943e+04	-4.1503515749e+02
1.1000000000e+01	coolingDuct	-7.2584236408e-01	9.8174370681e+01	2.6445167121e-01
1.1000000000e+01	coolingDuct_slave	-1.1782139603e+02	2.7657777457e+02	1.9497796977e+00
1.1000000000e+01	inlet_slave	-1.0842021725e-19	1.0842021725e-19	-1.3513456625e-24
1.1000000000e+01	default_to_pad1	-4.4192948948e+04	-1.4764144786e+04	-4.4596600379e+02
1.1000000000e+01	default_to_disk	-2.1906634637e+04	1.2979005924e+04	-2.1782552903e+03
1.1000000000e+01	default_to_pad2	-3.3450106437e+04	-1.5100440868e+04	-4.1650785893e+02
1.2000000000e+01	coolingDuct	-1.1621577846e+01	1.0124047989e+02	3.6619952970e-01
1.2000000000e+01	coolingDuct_slave	-1.5809431882e+02	2.0281498355e+02	1.9771443279e+00
1.2000000000e+01	inlet_slave	-1.0842021725e-19	1.6263032587e-19	8.8717413758e-24
1.2000000000e+01	default_to_pad1	-4.6094010440e+04	-1.5735035059e+04	-4.5431875885e+02
1.2000000000e+01	default_to_disk	-2.1317109311e+04	1.1214943740e+04	-2.1701504804e+03
1.2000000000e+01	default_to_pad2	-3.2860526281e+04	-1.5247518704e+04	-4.1771611384e+02
1.3000000000e+01	coolingDuct	-1.6290214267e+02	9.0181956675e+01	2.1694440424e-01
1.3000000000e+01	coolingDuct_slave	-2.0747354716e+01	2.9756444284e+02	2.0015144789e+00
1.3000000000e+01	inlet_slave	-5.4210108624e-20	5.4210108624e-20	5.9486180720e-24
1.3000000000e+01	default_to_pad1	-4.7009029594e+04	-1.5635380297e+04	-4.6256101649e+02
1.3000000000e+01	default_to_disk	-2.0881718412e+04	1.0778193390e+04	-2.1614972953e+03
1.3000000000e+01	default_to_pad2	-3.2252324433e+04	-1.5398830742e+04	-4.1864068725e+02
1.4000000000e+01	coolingDuct	-1.5313655122e+01	8.5758266842e+01	1.6880644276e-01
1.4000000000e+01	coolingDuct_slave	3.2424204134e+00	2.3146238672e+02	2.0574204036e+00
