# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	disk_to_default	-6.4800169412e+01	6.8799112645e+03	8.1759274930e+02
1.0000000000e+00	disk_to_pad2	-6.6869446827e+04	-5.4175594254e+04	-8.6528595328e+02
1.0000000000e+00	disk_to_pad1	-6.6062965111e+04	-5.3246607183e+04	-8.5377146743e+02
2.0000000000e+00	disk_to_default	-1.5904539481e+02	9.4987597484e+03	1.2537692745e+03
2.0000000000e+00	disk_to_pad2	-1.2684561355e+05	-9.6241185476e+04	-1.6319730940e+03
2.0000000000e+00	disk_to_pad1	-1.2594550611e+05	-9.9341209684e+04	-1.6405317446e+03
3.0000000000e+00	disk_to_default	-1.8286597773e+03	1.1925637600e+04	1.5363429716e+03
3.0000000000e+00	disk_to_pad2	-9.3422092387e+04	-7.0723061555e+04	-1.2025006354e+03
3.0000000000e+00	disk_to_pad1	-9.3071342588e+04	-7.2851277139e+04	-1.2109910536e+03
4.0000000000e+00	disk_to_default	-4.0498925972e+03	1.4480914718e+04	1.7877741005e+03
4.0000000000e+00	disk_to_pad2	-8.7917039573e+04	-6.5953658028e+04	-1.1313224276e+03
4.0000000000e+00	disk_to_pad1	-8.7670509924e+04	-6.8214606622e+04	-1.1389551974e+03
5.0000000000e+00	disk_to_default	-5.9978116813e+03	1.6897231719e+04	1.9473092589e+03
5.0000000000e+00	disk_to_pad2	-8.6475985768e+04	-6.4747762304e+04	-1.1137856287e+03
5.0000000000e+00	disk_to_pad1	-8.6460455426e+04	-6.6330809935e+04	-1.1187931794e+03
6.0000000000e+00	disk_to_default	-7.6455376829e+03	1.8827950757e+04	2.0375592738e+03
6.0000000000e+00	disk_to_pad2	-8.5385795350e+04	-6.4182819876e+04	-1.1016291553e+03
6.0000000000e+00	disk_to_pad1	-8.5579312256e+04	-6.4520227484e+04	-1.1025728882e+03
7.0000000000e+00	disk_to_default	-9.3176267954e+03	2.1276821462e+04	2.0842131913e+03
7.0000000000e+00	disk_to_pad2	-8.4543861159e+04	-6.4353039040e+04	-1.0941051862e+03
7.0000000000e+00	disk_to_pad1	-8.5065497414e+04	-6.2958688182e+04	-1.0903169026e+03
8.0000000000e+00	disk_to_default	-1.0494208492e+04	2.2604206426e+04	2.1045859722e+03
8.0000000000e+00	disk_to_pad2	-8.3926571626e+04	-6.4561987978e+04	-1.0881714182e+03
8.0000000000e+00	disk_to_pad1	-8.4830876321e+04	-6.1580956879e+04	-1.0807669797e+03
9.0000000000e+00	disk_to_default	-1.0938982131e+04	2.3008773466e+04	2.1095547782e+03
9.0000000000e+00	disk_to_pad2	-8.3510375432e+04	-6.4303161420e+04	-1.0838572334e+03
9.0000000000e+00	disk_to_pad1	-8.4765534143e+04	-5.9848601384e+04	-1.0731958800e+03
1.0000000000e+01	disk_to_default	-1.1551678870e+04	2.2715967611e+04	2.0971063448e+03
1.0000000000e+01	disk_to_pad2	-8.3332436716e+04	-6.4474173739e+04	-1.0827762806e+03
1.0000000000e+01	disk_to_pad1	-8.4777691961e+04	-5.8039575723e+04	-1.0673114985e+03
1.1000000000e+01	disk_to_default	-1.0785648120e+04	2.2117879976e+04	2.0871749882e+03
1.1000000000e+01	disk_to_pad2	-8.3279453022e+04	-6.4664971318e+04	-1.0825314230e+03
1.1000000000e+01	disk_to_pad1	-8.4706151961e+04	-5.6456188219e+04	-1.0615174956e+03
1.2000000000e+01	disk_to_default	-9.6276097024e+03	2.1454036860e+04	2.0793588435e+03
1.2000000000e+01	disk_to_pad2	-8.3316871340e+04	-6.4875327639e+04	-1.0828166687e+03
1.2000000000e+01	disk_to_pad1	-8.4521943277e+04	-5.5218107725e+04	-1.0558214231e+03
1.3000000000e+01	disk_to_default	-9.8884992580e+03	2.0870327937e+04	2.0724945840e+03
1.3000000000e+01	disk_to_pad2	-8.3380832376e+04	-6.5055252542e+04	-1.0831666131e+03
1.3000000000e+01	disk_to_pad1	-8.4032606314e+04	-5.4348539547e+04	-1.0501675219e+03
1.4000000000e+01	disk_to_default	-1.0445191398e+04	2.0400704553e+04	2.0643713089e+03
1.4000000000e+01	disk_to_pad2	-8.3474593854e+04	-6.5213977434e+04	-1.0838156037e+03
1.4000000000e+01	disk_to_pad1	-8.3236488207e+04	-5.3797614629e+04	-1.0438284929e+03
1.5000000000e+01	disk_to_default	-9.9184883599e+03	2.0091374045e+04	2.0597202239e+03
1.5000000000e+01	disk_to_pad2	-8.3581299211e+04	-6.5376984327e+04	-1.0844959495e+03
1.5000000000e+01	disk_to_pad1	-8.2424463551e+04	-5.3556601650e+04	-1.0362109949e+03
1.6000000000e+01	disk_to_default	-9.1347242992e+03	1.9796813312e+04	2.0537857960e+03
1.6000000000e+01	disk_to_pad2	-8.3680895625e+04	-6.5523752560e+04	-1.0851004734e+03
1.6000000000e+01	disk_to_pad1	-8.1704442951e+04	-5.3515623770e+04	-1.0280537050e+03
1.7000000000e+01	disk_to_default	-8.7535004366e+03	1.9558066781e+04	2.0493299690e+03
1.7000000000e+01	disk_to_pad2	-8.3793995156e+04	-6.5666041969e+04	-1.0859959382e+03
1.7000000000e+01	disk_to_pad1	-8.1292215062e+04	-5.3721097814e+04	-1.0225393467e+03
1.8000000000e+01	disk_to_default	-8.4450864997e+03	1.9361743576e+04	2.0475213850e+03
1.8000000000e+01	disk_to_pad2	-8.3929424822e+04	-6.5782099022e+04	-1.0872298199e+03
1.8000000000e+01	disk_to_pad1	-8.1178542992e+04	-5.3906464600e+04	-1.0176361878e+03
1.9000000000e+01	disk_to_default	-7.8638694091e+03	1.9202501484e+04	2.0471995839e+03
1.9000000000e+01	disk_to_pad2	-8.4082210457e+04	-6.5907647623e+04	-1.0886918696e+03
1.9000000000e+01	disk_to_pad1	-8.0985744450e+04	-5.4140045865e+04	-1.0130672228e+03
