# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	pad1_to_default	4.8164321345e+03	1.4258845013e+04	1.3404206741e+02
1.0000000000e+00	pad1_to_disk	4.5401421866e+04	5.6056170262e+04	7.2457044609e+02
2.0000000000e+00	pad1_to_default	1.5575790769e+04	3.9776371630e+04	3.6724897349e+02
2.0000000000e+00	pad1_to_disk	8.0816718328e+04	1.0179577029e+05	1.3287422713e+03
3.0000000000e+00	pad1_to_default	1.5174734455e+04	3.3037012914e+04	3.5041524491e+02
3.0000000000e+00	pad1_to_disk	6.9712595585e+04	8.8720413216e+04	1.1555922040e+03
4.0000000000e+00	pad1_to_default	1.5621121525e+04	3.3334507845e+04	3.6505622716e+02
4.0000000000e+00	pad1_to_disk	6.7394974096e+04	8.6472361097e+04	1.1243451968e+03
5.0000000000e+00	pad1_to_default	1.6170990132e+04	3.2027029447e+04	3.8225315942e+02
5.0000000000e+00	pad1_to_disk	6.6048248525e+04	8.5829925379e+04	1.1119861778e+03
6.0000000000e+00	pad1_to_default	1.6617210600e+04	3.1956790555e+04	3.9785443819e+02
6.0000000000e+00	pad1_to_disk	6.4652779525e+04	8.5388498366e+04	1.1015106413e+03
7.0000000000e+00	pad1_to_default	1.6624315562e+04	3.2655865099e+04	4.0991591363e+02
7.0000000000e+00	pad1_to_disk	6.3304741936e+04	8.5105869847e+04	1.0924216719e+03
8.0000000000e+00	pad1_to_default	1.6564392267e+04	3.3852300672e+04	4.1939429210e+02
8.0000000000e+00	pad1_to_disk	6.2023050421e+04	8.4971268641e+04	1.0844007237e+03
9.0000000000e+00	pad1_to_default	1.6136489035e+04	3.6357339119e+04	4.2691869271e+02
9.0000000000e+00	pad1_to_disk	6.0530224597e+04	8.4936129144e+04	1.0773234030e+03
1.0000000000e+01	pad1_to_default	1.6328097587e+04	3.8968384694e+04	4.3278542081e+02
1.0000000000e+01	pad1_to_disk	5.8654781257e+04	8.4911175276e+04	1.0708338268e+03
1.1000000000e+01	pad1_to_default	1.5586237279e+04	4.1455336201e+04	4.3857752974e+02
1.1000000000e+01	pad1_to_disk	5.6984037108e+04	8.4824458527e+04	1.0645534220e+03
1.2000000000e+01	pad1_to_default	1.4247136907e+04	4.3624620718e+04	4.4427266386e+02
1.2000000000e+01	pad1_to_disk	5.5634885948e+04	8.4642013061e+04	1.0584628753e+03
1.3000000000e+01	pad1_to_default	1.5533828216e+04	4.5211519526e+04	4.4992735268e+02
1.3000000000e+01	pad1_to_disk	5.4665984704e+04	8.4204770087e+04	1.0524990698e+03
1.4000000000e+01	pad1_to_default	1.5233322944e+04	4.5918060415e+04	4.5627585468e+02
1.4000000000e+01	pad1_to_disk	5.4004758479e+04	8.3483067092e+04	1.0461451211e+03
1.5000000000e+01	pad1_to_default	1.4791653057e+04	4.5780215663e+04	4.6391034872e+02
1.5000000000e+01	pad1_to_disk	5.3661693024e+04	8.2678015577e+04	1.0386030374e+03
1.6000000000e+01	pad1_to_default	1.4374379200e+04	4.5019863467e+04	4.7124035241e+02
1.6000000000e+01	pad1_to_disk	5.3557378899e+04	8.1940536288e+04	1.0306034204e+03
