# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	disk_to_default	-6.4800169412e+01	6.8799112645e+03	8.1759274930e+02
1.0000000000e+00	disk_to_pad2	-6.6869446827e+04	-5.4175594254e+04	-8.6528595328e+02
1.0000000000e+00	disk_to_pad1	-6.6062965111e+04	-5.3246607183e+04	-8.5377146743e+02
2.0000000000e+00	disk_to_default	-1.5904539481e+02	9.4987597484e+03	1.2537692745e+03
2.0000000000e+00	disk_to_pad2	-1.2684561355e+05	-9.6241185476e+04	-1.6319730940e+03
2.0000000000e+00	disk_to_pad1	-1.2594550611e+05	-9.9341209684e+04	-1.6405317446e+03
3.0000000000e+00	disk_to_default	-1.8286597773e+03	1.1925637600e+04	1.5363429716e+03
3.0000000000e+00	disk_to_pad2	-9.3422092387e+04	-7.0723061555e+04	-1.2025006354e+03
3.0000000000e+00	disk_to_pad1	-9.3071342588e+04	-7.2851277139e+04	-1.2109910536e+03
4.0000000000e+00	disk_to_default	-4.0498925972e+03	1.4480914718e+04	1.7877741005e+03
4.0000000000e+00	disk_to_pad2	-8.7917039573e+04	-6.5953658028e+04	-1.1313224276e+03
4.0000000000e+00	disk_to_pad1	-8.7670509924e+04	-6.8214606622e+04	-1.1389551974e+03
5.0000000000e+00	disk_to_default	-5.9978116813e+03	1.6897231719e+04	1.9473092589e+03
5.0000000000e+00	disk_to_pad2	-8.6475985768e+04	-6.4747762304e+04	-1.1137856287e+03
5.0000000000e+00	disk_to_pad1	-8.6460455426e+04	-6.6330809935e+04	-1.1187931794e+03
6.0000000000e+00	disk_to_default	-7.6455376829e+03	1.8827950757e+04	2.0375592738e+03
6.0000000000e+00	disk_to_pad2	-8.5385795350e+04	-6.4182819876e+04	-1.1016291553e+03
6.0000000000e+00	disk_to_pad1	-8.5579312256e+04	-6.4520227484e+04	-1.1025728882e+03
7.0000000000e+00	disk_to_default	-9.3176267954e+03	2.1276821462e+04	2.0842131913e+03
7.0000000000e+00	disk_to_pad2	-8.4543861159e+04	-6.4353039040e+04	-1.0941051862e+03
7.0000000000e+00	disk_to_pad1	-8.5065497414e+04	-6.2958688182e+04	-1.0903169026e+03
8.0000000000e+00	disk_to_default	-1.0494208492e+04	2.2604206426e+04	2.1045859722e+03
8.0000000000e+00	disk_to_pad2	-8.3926571626e+04	-6.4561987978e+04	-1.0881714182e+03
8.0000000000e+00	disk_to_pad1	-8.4830876321e+04	-6.1580956879e+04	-1.0807669797e+03
9.0000000000e+00	disk_to_default	-1.0938982131e+04	2.3008773466e+04	2.1095547782e+03
9.0000000000e+00	disk_to_pad2	-8.3510375432e+04	-6.4303161420e+04	-1.0838572334e+03
9.0000000000e+00	disk_to_pad1	-8.4765534143e+04	-5.9848601384e+04	-1.0731958800e+03
1.0000000000e+01	disk_to_default	-1.1551678870e+04	2.2715967611e+04	2.0971063448e+03
1.0000000000e+01	disk_to_pad2	-8.3332436716e+04	-6.4474173739e+04	-1.0827762806e+03
1.0000000000e+01	disk_to_pad1	-8.4777691961e+04	-5.8039575723e+04	-1.0673114985e+03
