# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	coolingDuct	-1.8893080812e+01	7.4234360972e+00	-1.8914149008e-02
1.0000000000e+00	coolingDuct_slave	-4.5098443311e+00	3.3268744979e+00	6.7212835824e-02
1.0000000000e+00	inlet_slave	-2.0328790734e-20	1.0164395367e-20	-1.0484922544e-24
1.0000000000e+00	default_to_pad1	-4.7805297102e+04	-9.6553671086e+03	-2.9525295290e+02
1.0000000000e+00	default_to_disk	-7.2849547359e+03	-7.5567543897e+02	-7.9634357657e+02
1.0000000000e+00	default_to_pad2	-5.8052951021e+04	-9.2137377595e+03	-3.1191957464e+02
2.0000000000e+00	coolingDuct	-7.9418498788e+00	7.1184807221e+00	7.6906762739e-02
2.0000000000e+00	coolingDuct_slave	2.0880093266e-02	4.5758672351e+00	1.1352821677e-01
2.0000000000e+00	inlet_slave	-3.3881317890e-20	1.1434944788e-20	-3.6871923595e-24
2.0000000000e+00	default_to_pad1	-2.5432035406e+04	-4.6346304631e+03	-1.5182356985e+02
2.0000000000e+00	default_to_disk	-8.8562807839e+03	5.3645770940e+01	-1.1320311711e+03
2.0000000000e+00	default_to_pad2	-2.9775371393e+04	-3.1236938711e+03	-1.5672592264e+02
3.0000000000e+00	coolingDuct	-1.2145590505e+00	3.3073711957e+00	8.2940271592e-02
3.0000000000e+00	coolingDuct_slave	-1.0035270200e+01	7.0859024883e+00	9.0286558611e-02
3.0000000000e+00	inlet_slave	-8.4703294725e-21	3.3881317890e-21	-3.0974076826e-25
3.0000000000e+00	default_to_pad1	-2.4588748027e+04	-4.0880649994e+03	-1.4669231442e+02
3.0000000000e+00	default_to_disk	-1.2591929532e+04	2.1099827341e+03	-1.5090198948e+03
3.0000000000e+00	default_to_pad2	-2.9817603186e+04	-2.4710331281e+03	-1.5384494069e+02
4.0000000000e+00	coolingDuct	-2.9738392012e+00	4.7007723434e+00	6.9590207683e-02
4.0000000000e+00	coolingDuct_slave	-2.0685161760e+00	3.1790003904e+01	1.1581647075e-01
4.0000000000e+00	inlet_slave	-7.4115382885e-21	8.4703294725e-22	-5.9431249047e-25
4.0000000000e+00	default_to_pad1	-2.3116184148e+04	-4.1573484776e+03	-1.5277892589e+02
4.0000000000e+00	default_to_disk	-1.4986829163e+04	4.3664049162e+03	-1.7485337768e+03
4.0000000000e+00	default_to_pad2	-2.9015229198e+04	-2.6398237948e+03	-1.5823926525e+02
5.0000000000e+00	coolingDuct	-3.8761629598e+00	5.3715550176e+00	5.4726823705e-02
5.0000000000e+00	coolingDuct_slave	-3.2986984965e-01	5.2096718637e+00	1.2603271153e-01
5.0000000000e+00	inlet_slave	-1.3552527156e-20	5.0821976835e-21	-3.9128660228e-25
