# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	pad1_to_default	4.8163622461e+03	1.4258611651e+04	1.3404009631e+02
1.0000000000e+00	pad1_to_disk	4.5399848210e+04	5.6054319239e+04	7.2454645102e+02
2.0000000000e+00	pad1_to_default	1.5575410807e+04	3.9776001763e+04	3.6724151184e+02
2.0000000000e+00	pad1_to_disk	8.0816594041e+04	1.0179551838e+05	1.3287393193e+03
3.0000000000e+00	pad1_to_default	1.5174546693e+04	3.3036978709e+04	3.5041192968e+02
3.0000000000e+00	pad1_to_disk	6.9712759508e+04	8.8720567597e+04	1.1555943948e+03
4.0000000000e+00	pad1_to_default	1.5621022167e+04	3.3334437117e+04	3.6505415757e+02
4.0000000000e+00	pad1_to_disk	6.7395225466e+04	8.6472603200e+04	1.1243486265e+03
5.0000000000e+00	pad1_to_default	1.6170867143e+04	3.2026792057e+04	3.8225026027e+02
5.0000000000e+00	pad1_to_disk	6.6048620485e+04	8.5830307213e+04	1.1119910355e+03
6.0000000000e+00	pad1_to_default	1.6617033208e+04	3.1956482774e+04	3.9785047035e+02
6.0000000000e+00	pad1_to_disk	6.4653141495e+04	8.5388850486e+04	1.1015151772e+03
7.0000000000e+00	pad1_to_default	1.6624141738e+04	3.2655609073e+04	4.0991205285e+02
7.0000000000e+00	pad1_to_disk	6.3304948461e+04	8.5106059912e+04	1.0924241113e+03
8.0000000000e+00	pad1_to_default	1.6564260844e+04	3.3852156066e+04	4.1939132499e+02
8.0000000000e+00	pad1_to_disk	6.2023203822e+04	8.4971424273e+04	1.0844026631e+03
9.0000000000e+00	pad1_to_default	1.6136318356e+04	3.6356906969e+04	4.2691401026e+02
9.0000000000e+00	pad1_to_disk	6.0530742207e+04	8.4936642474e+04	1.0773300299e+03
1.0000000000e+01	pad1_to_default	1.6327879374e+04	3.8968021306e+04	4.3278009472e+02
1.0000000000e+01	pad1_to_disk	5.8655131975e+04	8.4911479986e+04	1.0708377953e+03
1.1000000000e+01	pad1_to_default	1.5586068062e+04	4.1455097678e+04	4.3857324742e+02
1.1000000000e+01	pad1_to_disk	5.6984302672e+04	8.4824731938e+04	1.0645568773e+03
1.2000000000e+01	pad1_to_default	1.4247028555e+04	4.3624509895e+04	4.4426962271e+02
1.2000000000e+01	pad1_to_disk	5.5635011411e+04	8.4642161294e+04	1.0584646694e+03
1.3000000000e+01	pad1_to_default	1.5533768707e+04	4.5211460606e+04	4.4992530459e+02
1.3000000000e+01	pad1_to_disk	5.4666160773e+04	8.4205003690e+04	1.0525018381e+03
1.4000000000e+01	pad1_to_default	1.5232971290e+04	4.5916398023e+04	4.5626471146e+02
1.4000000000e+01	pad1_to_disk	5.4006731577e+04	8.3485066503e+04	1.0461711486e+03
1.5000000000e+01	pad1_to_default	1.4791032664e+04	4.5778786363e+04	4.6389464420e+02
1.5000000000e+01	pad1_to_disk	5.3662814857e+04	8.2678776520e+04	1.0386136136e+03
1.6000000000e+01	pad1_to_default	1.4373711876e+04	4.5018458359e+04	4.7122364131e+02
1.6000000000e+01	pad1_to_disk	5.3558391466e+04	8.1941655842e+04	1.0306168631e+03
1.7000000000e+01	pad1_to_default	1.4368178404e+04	4.4349623700e+04	4.7750145332e+02
1.7000000000e+01	pad1_to_disk	5.3700324729e+04	8.1458200586e+04	1.0245848604e+03
1.8000000000e+01	pad1_to_default	1.4147655684e+04	4.4271821494e+04	4.8240036608e+02
