# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	disk_to_default	-6.4826380307e+01	6.8807792722e+03	8.1770211904e+02
1.0000000000e+00	disk_to_pad2	-6.6868150382e+04	-5.4174646222e+04	-8.6527001555e+02
1.0000000000e+00	disk_to_pad1	-6.6060423613e+04	-5.3244466270e+04	-8.5373853672e+02
2.0000000000e+00	disk_to_default	-1.5907196451e+02	9.4991020950e+03	1.2538162850e+03
2.0000000000e+00	disk_to_pad2	-1.2684529592e+05	-9.6240851129e+04	-1.6319685824e+03
2.0000000000e+00	disk_to_pad1	-1.2594510215e+05	-9.9340987902e+04	-1.6405269195e+03
3.0000000000e+00	disk_to_default	-1.8285408086e+03	1.1925797834e+04	1.5363642546e+03
3.0000000000e+00	disk_to_pad2	-9.3421977322e+04	-7.0722875879e+04	-1.2024987720e+03
3.0000000000e+00	disk_to_pad1	-9.3071644526e+04	-7.2851554344e+04	-1.2109951498e+03
4.0000000000e+00	disk_to_default	-4.0499652008e+03	1.4480696319e+04	1.7877460004e+03
4.0000000000e+00	disk_to_pad2	-8.7916851170e+04	-6.5953519109e+04	-1.1313199910e+03
4.0000000000e+00	disk_to_pad1	-8.7670557383e+04	-6.8214666669e+04	-1.1389556993e+03
5.0000000000e+00	disk_to_default	-5.9980144928e+03	1.6896583701e+04	1.9472381153e+03
5.0000000000e+00	disk_to_pad2	-8.6475986521e+04	-6.4747866637e+04	-1.1137861127e+03
5.0000000000e+00	disk_to_pad1	-8.6460602595e+04	-6.6330990898e+04	-1.1187949843e+03
6.0000000000e+00	disk_to_default	-7.6457514755e+03	1.8827248425e+04	2.0374902146e+03
6.0000000000e+00	disk_to_pad2	-8.5386010601e+04	-6.4183097617e+04	-1.1016325434e+03
6.0000000000e+00	disk_to_pad1	-8.5579641973e+04	-6.4520573828e+04	-1.1025771385e+03
7.0000000000e+00	disk_to_default	-9.3177202302e+03	2.1276618140e+04	2.0841835650e+03
7.0000000000e+00	disk_to_pad2	-8.4544088200e+04	-6.4353289615e+04	-1.0941085459e+03
7.0000000000e+00	disk_to_pad1	-8.5065803689e+04	-6.2958985820e+04	-1.0903208406e+03
8.0000000000e+00	disk_to_default	-1.0494225141e+04	2.2604141175e+04	2.1045707423e+03
8.0000000000e+00	disk_to_pad2	-8.3926768366e+04	-6.4562178699e+04	-1.0881741878e+03
8.0000000000e+00	disk_to_pad1	-8.4831119192e+04	-6.1581173330e+04	-1.0807700233e+03
9.0000000000e+00	disk_to_default	-1.0939262011e+04	2.3001195484e+04	2.1093284673e+03
9.0000000000e+00	disk_to_pad2	-8.3510573326e+04	-6.4303366716e+04	-1.0838599183e+03
9.0000000000e+00	disk_to_pad1	-8.4765648860e+04	-5.9848776665e+04	-1.0731973182e+03
1.0000000000e+01	disk_to_default	-1.1551807221e+04	2.2714529962e+04	2.0970461452e+03
1.0000000000e+01	disk_to_pad2	-8.3332858535e+04	-6.4474606830e+04	-1.0827822895e+03
1.0000000000e+01	disk_to_pad1	-8.4778220561e+04	-5.8040124118e+04	-1.0673183755e+03
