# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	pad1_to_default	4.8163622461e+03	1.4258611651e+04	1.3404009631e+02
1.0000000000e+00	pad1_to_disk	4.5399848210e+04	5.6054319239e+04	7.2454645102e+02
2.0000000000e+00	pad1_to_default	1.5575410807e+04	3.9776001763e+04	3.6724151184e+02
2.0000000000e+00	pad1_to_disk	8.0816594041e+04	1.0179551838e+05	1.3287393193e+03
3.0000000000e+00	pad1_to_default	1.5174546693e+04	3.3036978709e+04	3.5041192968e+02
3.0000000000e+00	pad1_to_disk	6.9712759508e+04	8.8720567597e+04	1.1555943948e+03
4.0000000000e+00	pad1_to_default	1.5621022167e+04	3.3334437117e+04	3.6505415757e+02
4.0000000000e+00	pad1_to_disk	6.7395225466e+04	8.6472603200e+04	1.1243486265e+03
5.0000000000e+00	pad1_to_default	1.6170867143e+04	3.2026792057e+04	3.8225026027e+02
5.0000000000e+00	pad1_to_disk	6.6048620485e+04	8.5830307213e+04	1.1119910355e+03
6.0000000000e+00	pad1_to_default	1.6617033208e+04	3.1956482774e+04	3.9785047035e+02
6.0000000000e+00	pad1_to_disk	6.4653141495e+04	8.5388850486e+04	1.1015151772e+03
7.0000000000e+00	pad1_to_default	1.6624141738e+04	3.2655609073e+04	4.0991205285e+02
7.0000000000e+00	pad1_to_disk	6.3304948461e+04	8.5106059912e+04	1.0924241113e+03
8.0000000000e+00	pad1_to_default	1.6564260844e+04	3.3852156066e+04	4.1939132499e+02
8.0000000000e+00	pad1_to_disk	6.2023203822e+04	8.4971424273e+04	1.0844026631e+03
9.0000000000e+00	pad1_to_default	1.6136318356e+04	3.6356906969e+04	4.2691401026e+02
9.0000000000e+00	pad1_to_disk	6.0530742207e+04	8.4936642474e+04	1.0773300299e+03
1.0000000000e+01	pad1_to_default	1.6327879374e+04	3.8968021306e+04	4.3278009472e+02
1.0000000000e+01	pad1_to_disk	5.8655131975e+04	8.4911479986e+04	1.0708377953e+03
