# Time         	Tmin           	at location    	Tmax           	at location    	Tmean          	TstDev         
1              3.00090905e+02 ( 6.20000000e-02 2.87500000e-02 5.00000000e-03 ) 3.00926841e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.00548665e+02 2.67003528e-01 
2              3.00127178e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.01645971e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.00949860e+02 4.75792446e-01 
3              3.00139595e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.02203064e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.01250131e+02 6.38991029e-01 
4              3.00141499e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.02635517e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.01478623e+02 7.67172384e-01 
5              3.00138962e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.02972827e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.01654806e+02 8.68664528e-01 
6              3.00134821e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.03237649e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.01792190e+02 9.49781263e-01 
7              3.00130400e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.03447107e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.01900393e+02 1.01523784e+00 
8              3.00126291e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.03614054e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.01986383e+02 1.06854607e+00 
9              3.00122722e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.03748120e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.02055283e+02 1.11233172e+00 
10             3.00119748e+02 ( 1.38000000e-01 2.87500000e-02 5.00000000e-03 ) 3.03856543e+02 ( 1.02000000e-01 2.12500000e-02 5.00000000e-03 ) 3.02110905e+02 1.14857298e+00 
