# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev	totalVolume
0.00125	8.192123051e-08	( 0.515 0.175 0.005 )	0.05249084763	( 0.305 0.095 0.005 )	0.004636750544	0.005187451807	-110.285464	( 0.005 0.155 0.005 )	2129.929997	( 0.995 0.005 0.005 )	212.3543463	431.7418077	0.00385
0.00270833	3.657630682e-08	( 0.615 0.165 0.005 )	0.107894544	( 0.005 0.205 0.005 )	0.01009159364	0.01116395115	-114.6788806	( 0.005 0.155 0.005 )	2132.73365	( 0.995 0.005 0.005 )	212.8244046	433.0376744	0.00385
0.00453125	2.036931834e-08	( 0.365 0.095 0.005 )	0.1770974497	( 0.005 0.205 0.005 )	0.0169996353	0.01894568989	-117.1952903	( 0.005 0.155 0.005 )	2135.382157	( 0.995 0.005 0.005 )	213.2927934	434.0227069	0.00385
0.00635417	5.271574193e-08	( 0.515 0.165 0.005 )	0.2539981156	( 0.295 0.215 0.005 )	0.02393660088	0.02678718752	-120.8616628	( 0.005 0.155 0.005 )	2139.362425	( 0.995 0.005 0.005 )	213.9685625	435.4814509	0.00385
0.00817708	4.550143837e-08	( 0.615 0.165 0.005 )	0.3286718099	( 0.295 0.215 0.005 )	0.03086447299	0.03458677752	-123.7603276	( 0.005 0.155 0.005 )	2143.426821	( 0.995 0.005 0.005 )	214.6375744	436.843248	0.00385
0.01	0.0002754783488	( 0.645 0.005 0.005 )	0.391223335	( 0.995 0.215 0.005 )	0.05505102914	0.04023789931	-258.9302015	( 0.005 0.135 0.005 )	2141.405492	( 0.995 0.005 0.005 )	146.7592096	339.8341269	0.00385
0.012	0.0005899844631	( 0.645 0.005 0.005 )	0.5085020347	( 0.315 0.055 0.005 )	0.08204477709	0.06542408886	-256.8736878	( 0.005 0.135 0.005 )	2146.326492	( 0.995 0.005 0.005 )	148.6524404	342.2418118	0.00385
0.0146667	0.0009934279817	( 0.645 0.005 0.005 )	0.6594823533	( 0.315 0.055 0.005 )	0.1180938987	0.1052479855	-253.7251436	( 0.005 0.135 0.005 )	2152.204648	( 0.995 0.005 0.005 )	150.7035493	344.8248917	0.00385
0.0173333	0.001248510176	( 0.705 0.025 0.005 )	0.7821504962	( 0.315 0.055 0.005 )	0.1531749865	0.1452886117	-252.2985998	( 0.005 0.145 0.005 )	2160.81678	( 0.995 0.005 0.005 )	153.8633241	348.9207538	0.00385
0.02	0.001448693311	( 0.705 0.025 0.005 )	0.8493882506	( 0.315 0.065 0.005 )	0.187069351	0.1839509566	-249.0186849	( 0.005 0.145 0.005 )	2169.662216	( 0.995 0.005 0.005 )	157.2980786	353.195724	0.00385
0.0233333	6.725956392e-06	( 0.785 0.505 0.005 )	1.008155473	( 0.315 0.075 0.005 )	0.08639877711	0.09424307291	-162.1223659	( 0.325 0.055 0.005 )	7221.953703	( 0.315 0.055 0.005 )	453.2108355	1068.765764	0.00385
0.0266667	2.399861049e-06	( 0.645 0.185 0.005 )	1.149076797	( 0.315 0.075 0.005 )	0.09812422141	0.1065722714	-132.0845833	( 0.705 0.175 0.005 )	2202.465052	( 0.995 0.005 0.005 )	227.6242831	458.4328952	0.00385
0.03	3.217370998e-06	( 0.625 0.195 0.005 )	1.218334512	( 0.315 0.075 0.005 )	0.1097477404	0.1188394772	-125.8397307	( 0.005 0.175 0.005 )	2218.241475	( 0.995 0.005 0.005 )	230.2984436	462.0009309	0.00385
0.0333333	2.465223074e-06	( 0.575 0.055 0.005 )	1.251785103	( 0.315 0.075 0.005 )	0.1212718554	0.1312011751	-112.4563161	( 0.705 0.175 0.005 )	2236.526191	( 0.995 0.005 0.005 )	234.213387	467.0760898	0.00385
0.0366667	2.327152485e-06	( 0.625 0.195 0.005 )	1.374495033	( 0.315 0.085 0.005 )	0.1327073497	0.1434270482	-90.3303227	( 0.705 0.175 0.005 )	2256.869845	( 0.995 0.005 0.005 )	238.9175381	473.3569465	0.00385
0.04	0.0001120797278	( 0.645 0.005 0.005 )	1.122865641	( 0.005 0.205 0.005 )	0.1748269405	0.1346662016	-187.5857339	( 0.005 0.135 0.005 )	2262.720649	( 0.995 0.005 0.005 )	171.1745524	373.4819579	0.00385
0.0433333	0.0003407676104	( 0.645 0.005 0.005 )	1.113248478	( 0.005 0.195 0.005 )	0.2188622754	0.151059237	-176.8320017	( 0.005 0.145 0.005 )	2280.580756	( 0.995 0.005 0.005 )	174.8900761	378.7528461	0.00385
0.0466667	0.0005106994612	( 0.645 0.005 0.005 )	1.227051815	( 0.005 0.195 0.005 )	0.2636859892	0.1850655281	-166.2223391	( 0.005 0.145 0.005 )	2300.073562	( 0.995 0.005 0.005 )	178.5597369	384.0267633	0.00385
0.05	0.0003891615584	( 0.295 0.395 0.005 )	1.324210205	( 0.005 0.195 0.005 )	0.3087936991	0.2278011771	-145.2562176	( 0.005 0.145 0.005 )	2320.183499	( 0.995 0.005 0.005 )	183.5402661	390.3272937	0.00385
