# Time	Probe 0	Probe 1
1	300.1548457	300.0000006
2	300.2849529	300.0000023
3	300.3878976	300.0000069
4	300.4677439	300.0000173
5	300.5295688	300.0000385
6	300.5778013	300.0000769
7	300.615897	300.0001408
8	300.6464323	300.0002398
9	300.6712933	300.0003846
10	300.6918532	300.0005862
11	300.7091139	300.0008558
12	300.7238104	300.0012039
13	300.7364866	300.0016403
14	300.7475492	300.0021735
15	300.7573056	300.0028107
16	300.7659909	300.0035578
17	300.7737871	300.0044192
18	300.7808369	300.0053976
19	300.7872531	300.0064947
20	300.7931265	300.0077107
21	300.7985306	300.0090449
22	300.8035257	300.0104953
23	300.8081616	300.0120593
24	300.8124801	300.0137337
25	300.8165162	300.0155144
26	300.8202998	300.0173972
27	300.8238566	300.0193772
28	300.8272086	300.0214496
29	300.8303749	300.0236093
30	300.8333721	300.0258512
31	300.836215	300.02817
32	300.8389163	300.0305605
33	300.8414877	300.0330178
34	300.8439392	300.0355368
35	300.8462799	300.0381127
36	300.8485179	300.0407408
37	300.8506606	300.0434167
38	300.8527146	300.046136
39	300.8546859	300.0488946
40	300.8565798	300.0516886
41	300.8584014	300.0545142
42	300.8601552	300.0573678
43	300.8618451	300.0602462
44	300.8634752	300.0631462
45	300.8650487	300.0660648
46	300.866569	300.0689991
47	300.8680389	300.0719466
48	300.8694612	300.0749048
49	300.8708384	300.0778714
50	300.8721728	300.0808441
