# Time	Probe 0	Probe 1
1	( -8.929828796e-11 -2.775715817e-08 0 )	( 2.72242546e-11 1.110760312e-08 0 )
2	( 6.894682174e-09 7.336792218e-08 0 )	( -2.267801133e-09 8.405802304e-07 0 )
3	( 9.175930047e-08 6.797852792e-08 0 )	( 5.752983442e-08 6.825528677e-07 0 )
4	( -5.315148469e-09 7.998137662e-08 0 )	( 3.570258694e-09 7.007394072e-07 0 )
5	( 5.388868413e-08 7.824995733e-08 0 )	( 9.188456157e-10 6.180580533e-07 0 )
6	( -1.084698025e-08 7.721327355e-08 0 )	( 1.304674568e-09 5.898982542e-07 0 )
7	( -1.19460253e-08 7.665275246e-08 0 )	( 8.078444543e-10 5.650405962e-07 0 )
8	( -7.025369454e-09 7.7041844e-08 0 )	( 7.433414318e-10 5.606066011e-07 0 )
9	( -1.379396708e-08 2.515813882e-08 0 )	( 1.199915856e-09 1.801418922e-07 0 )
10	( -1.150455491e-08 3.108796268e-08 0 )	( 1.06868228e-09 2.373240573e-07 0 )
