# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           	Umin             	Umax             	Umean            	UstDev           
0.05 0.015 300 300 300 6.471325226e-14 0.1564427705 0.1932681034 0.1752725461 0.01385867413
0.1 0.015 300 300 300 7.786352781e-14 0.1562907506 0.1956843654 0.176126816 0.01525201479
0.15 0.015 300 300 300 8.152287722e-14 0.1561904362 0.1985472128 0.1763113425 0.01582928815
0.2 0.015 300 300 300 9.212445346e-14 0.1561224417 0.1996897584 0.1761041648 0.01593571827
0.25 0.015 300 300 300 8.547196326e-14 0.1560782696 0.1998383339 0.1757043371 0.01579567875
0.3 0.015 300 300 300 1.053670134e-13 0.1560498185 0.1995530938 0.1752637095 0.01557532299
0.35 0.015 300 300 300 1.062333988e-13 0.1560297047 0.1994361541 0.174856057 0.01536160744
0.4 0.015 300 300 300 9.363857366e-14 0.1560008926 0.1994287395 0.1745042585 0.01518283526
0.45 0.015 300 300 300 9.841295324e-14 0.1559690668 0.1993690088 0.1742085326 0.01504152048
0.5 0.015 300 300 300 1.07455763e-13 0.1559405745 0.1992650106 0.173959084 0.01493022077
0.55 0.015 300 300 300 1.153858199e-13 0.1559156751 0.1991371161 0.1737496482 0.01484351477
0.6 0.015 300 300 300 1.103541817e-13 0.155894377 0.1990018976 0.1735750006 0.01477681532
0.65 0.015 300 300 300 1.249703068e-13 0.1558764229 0.19887191 0.1734304811 0.01472679215
0.7 0.015 300 300 300 1.076044007e-13 0.1558612975 0.1987577167 0.1733125085 0.01469143192
0.75 0.015 300 300 300 1.321557964e-13 0.1558485117 0.1986593042 0.1732168448 0.01466820711
0.8 0.015 300 300 300 1.128663448e-13 0.1558375794 0.1985754841 0.1731401266 0.01465514398
0.85 0.015 300 300 300 1.229930627e-13 0.1558281194 0.1985040699 0.173079314 0.01465046811
0.9 0.015 300 300 300 1.398631204e-13 0.1558197149 0.1984421852 0.1730319995 0.01465279142
0.95 0.015 300 300 300 1.356961189e-13 0.1558120295 0.1983875133 0.1729960805 0.01466092177
1 0.015 300 300 300 1.518174816e-13 0.1558048722 0.1984618349 0.1729698947 0.01467396546
1.05 0.015 300 300 300 1.376790383e-13 0.1557980477 0.1985800293 0.172951861 0.01469102492
1.1 0.015 300 300 300 1.556980874e-13 0.1557914201 0.1987084619 0.1729407442 0.01471143829
1.15 0.015 300 300 300 1.581422766e-13 0.1557849598 0.1988470855 0.1729354753 0.01473456965
1.2 0.015 300 300 300 1.325837178e-13 0.1557785718 0.1989942811 0.1729351638 0.01475990372
1.25 0.015 300 300 300 1.297356847e-13 0.1557722457 0.1991480395 0.1729390077 0.01478692362
1.3 0.015 300 300 300 1.438413049e-13 0.1557659929 0.1993056619 0.1729464699 0.01481534775
1.35 0.015 300 300 300 1.319912985e-13 0.1557598248 0.1994656607 0.1729566598 0.01484451774
1.4 0.015 300 300 300 1.44932686e-13 0.155753738 0.1996249494 0.1729689711 0.01487395582
1.45 0.015 300 300 300 1.519465313e-13 0.1557477362 0.199785034 0.172983058 0.01490343816
1.5 0.015 300 300 300 1.3242096e-13 0.1557418431 0.1999451156 0.1729985537 0.01493276284
1.55 0.015 300 300 300 1.472347786e-13 0.1557361353 0.2001033354 0.173015117 0.01496170383
1.6 0.015 300 300 300 1.479137765e-13 0.15573066 0.2002589441 0.1730326359 0.01499027213
1.65 0.015 300 300 300 1.495972857e-13 0.1557254802 0.2004119786 0.173051061 0.01501845074
1.7 0.015 300 300 300 1.397405168e-13 0.1557206262 0.2005613723 0.1730701463 0.01504606045
1.75 0.015 300 300 300 1.518873742e-13 0.1557160661 0.200706946 0.173089651 0.01507302292
1.8 0.015 300 300 300 1.477954155e-13 0.1557117962 0.200848398 0.1731093952 0.01509926101
1.85 0.015 300 300 300 1.632397328e-13 0.1557078058 0.2009849514 0.1731292748 0.01512477037
1.9 0.015 300 300 300 1.723417303e-13 0.1557040722 0.2011166288 0.1731492263 0.01514957352
1.95 0.015 300 300 300 2.101367459e-13 0.1557005866 0.2012434094 0.1731691378 0.01517361362
2 0.015 300 300 300 2.547991095e-13 0.1556973356 0.20136505 0.1731888991 0.01519686837
2.05 0.015 300 300 300 3.158338505e-13 0.1556942745 0.2014818064 0.1732085264 0.01521943568
2.1 0.015 300 300 300 3.89209816e-13 0.1556914561 0.2015936362 0.1732279923 0.01524118341
2.15 0.015 300 300 300 5.185651174e-13 0.15568886 0.2017002289 0.1732473199 0.01526211858
2.2 0.015 300 300 300 6.716632692e-13 0.1556864102 0.2018007348 0.173266451 0.01528229747
2.25 0.015 300 300 300 8.858460415e-13 0.1556840979 0.2018899589 0.1732851665 0.01530136127
2.3 0.015 300 300 300 1.167180676e-12 0.1556819178 0.2019681489 0.1733034551 0.01531928085
2.35 0.015 300 300 300 1.573325829e-12 0.1556798636 0.2020367261 0.1733214288 0.0153361999
2.4 0.015 300 300 300 2.080823408e-12 0.1556779145 0.2020969946 0.1733391979 0.01535223685
2.45 0.015 300 300 300 2.742747638e-12 0.1556760423 0.2021500216 0.173356777 0.01536751613
2.5 0.015 300 300 300 3.599532956e-12 0.155674302 0.2021960533 0.1733740627 0.01538182872
