# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           	Umin             	Umax             	Umean            	UstDev           
0.05 -0.015 309.9324593 309.9324593 309.9324593 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.1 -0.015 309.4591997 309.4591997 309.4591997 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.15 -0.015 309.4590714 309.4590714 309.4590714 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.2 -0.015 309.4589431 309.4589431 309.4589431 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.25 -0.015 309.4588148 309.4588148 309.4588148 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.3 -0.015 309.4586865 309.4586865 309.4586865 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.35 -0.015 309.4585582 309.4585582 309.4585582 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.4 -0.015 309.45843 309.45843 309.45843 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.45 -0.015 309.4583017 309.4583017 309.4583017 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.5 -0.015 309.4581735 309.4581735 309.4581735 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.55 -0.015 309.4580453 309.4580453 309.4580453 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.6 -0.015 309.4579171 309.4579171 309.4579171 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.65 -0.015 309.4577889 309.4577889 309.4577889 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.7 -0.015 309.4576607 309.4576607 309.4576607 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.75 -0.015 309.4575326 309.4575326 309.4575326 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.8 -0.015 309.4574044 309.4574044 309.4574044 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.85 -0.015 309.4572763 309.4572763 309.4572763 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.9 -0.015 309.4571482 309.4571482 309.4571482 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.95 -0.015 309.4570201 309.4570201 309.4570201 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1 -0.015 309.456892 309.456892 309.456892 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.05 -0.015 309.4567639 309.4567639 309.4567639 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.1 -0.015 309.4566358 309.4566358 309.4566358 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.15 -0.015 309.4565078 309.4565078 309.4565078 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.2 -0.015 309.4563798 309.4563798 309.4563798 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.25 -0.015 309.4562517 309.4562517 309.4562517 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.3 -0.015 309.4561237 309.4561237 309.4561237 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.35 -0.015 309.4559957 309.4559957 309.4559957 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.4 -0.015 309.4558677 309.4558677 309.4558677 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.45 -0.015 309.4557398 309.4557398 309.4557398 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.5 -0.015 309.4556118 309.4556118 309.4556118 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.55 -0.015 309.4554839 309.4554839 309.4554839 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.6 -0.015 309.4553559 309.4553559 309.4553559 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.65 -0.015 309.455228 309.455228 309.455228 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.7 -0.015 309.4551001 309.4551001 309.4551001 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.75 -0.015 309.4549722 309.4549722 309.4549722 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.8 -0.015 309.4548444 309.4548444 309.4548444 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.85 -0.015 309.4547165 309.4547165 309.4547165 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.9 -0.015 309.4545887 309.4545887 309.4545887 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
1.95 -0.015 309.4544608 309.4544608 309.4544608 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2 -0.015 309.454333 309.454333 309.454333 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.05 -0.015 309.4542052 309.4542052 309.4542052 1.136868377e-13 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.1 -0.015 309.4540774 309.4540774 309.4540774 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.15 -0.015 309.4539496 309.4539496 309.4539496 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.2 -0.015 309.4538219 309.4538219 309.4538219 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.25 -0.015 309.4536941 309.4536941 309.4536941 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.3 -0.015 309.4535664 309.4535664 309.4535664 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.35 -0.015 309.4534386 309.4534386 309.4534386 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.4 -0.015 309.4533109 309.4533109 309.4533109 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.45 -0.015 309.4531832 309.4531832 309.4531832 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
2.5 -0.015 309.4530555 309.4530555 309.4530555 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
