# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           	Umin             	Umax             	Umean            	UstDev           
0.05 0.015 300 300 300 6.471325226e-14 0.1564427705 0.1932681034 0.1752725461 0.01385867413
0.1 0.015 300 300 300 7.786352781e-14 0.1562907506 0.1956843654 0.176126816 0.01525201479
0.15 0.015 300 300 300 8.152287722e-14 0.1561904362 0.1985472128 0.1763113425 0.01582928815
0.2 0.015 300 300 300 9.212445346e-14 0.1561224417 0.1996897584 0.1761041648 0.01593571827
0.25 0.015 300 300 300 8.547196326e-14 0.1560782696 0.1998383339 0.1757043371 0.01579567875
0.3 0.015 300 300 300 1.053670134e-13 0.1560498185 0.1995530938 0.1752637095 0.01557532299
0.35 0.015 300 300 300 1.062333988e-13 0.1560297047 0.1994361541 0.174856057 0.01536160744
0.4 0.015 300 300 300 9.363857366e-14 0.1560008926 0.1994287395 0.1745042585 0.01518283526
0.45 0.015 300 300 300 9.841295324e-14 0.1559690668 0.1993690088 0.1742085326 0.01504152048
0.5 0.015 300 300 300 1.07455763e-13 0.1559405745 0.1992650106 0.173959084 0.01493022077
