# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           	Umin             	Umax             	Umean            	UstDev           
0.05 -0.015 309.9324593 309.9324593 309.9324593 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.1 -0.015 309.4591997 309.4591997 309.4591997 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.15 -0.015 309.4590714 309.4590714 309.4590714 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.2 -0.015 309.4589431 309.4589431 309.4589431 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.25 -0.015 309.4588148 309.4588148 309.4588148 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.3 -0.015 309.4586865 309.4586865 309.4586865 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.35 -0.015 309.4585582 309.4585582 309.4585582 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.4 -0.015 309.45843 309.45843 309.45843 0 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.45 -0.015 309.4583017 309.4583017 309.4583017 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
0.5 -0.015 309.4581735 309.4581735 309.4581735 5.684341886e-14 0.1556016693 0.1556016693 0.1556016693 9.171708263e-18
