# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           
5 -3.552713758e-15 304.0925009 327.7786925 314.1600863 10.65236716
10 -6.617444826e-23 304.0909509 327.7302738 314.1508804 10.64760444
15 1.323488753e-23 304.0866853 327.7453336 314.1323829 10.63207708
20 1.323489e-23 304.0809696 327.7024943 314.111929 10.60791679
25 -3.970466802e-23 304.0795522 327.6627342 314.0863432 10.57659985
30 3.970466921e-23 304.08246 327.6094102 314.0533809 10.53798365
35 -4.930380658e-32 304.0796172 327.547426 314.0145847 10.49634581
40 -2.646977822e-23 304.0780423 327.4852718 313.9754878 10.45768232
45 -3.97046698e-23 304.0738152 327.4323184 313.9406805 10.42682819
50 3.970466998e-23 310.0543004 340.8916767 321.6480345 9.179562942
55 -6.617444955e-23 310.051429 340.8477577 321.5825761 9.153641112
60 -2.646978069e-23 310.0480339 340.8118181 321.511551 9.135146056
65 2.646977921e-23 310.0457622 340.7800384 321.4423975 9.123911319
70 -5.293956029e-23 310.0461672 340.7501331 321.3804942 9.11922968
75 -3.45126646e-31 310.0512012 340.7225096 321.3262127 9.118200767
80 1.32348896e-23 310.0587327 340.6972644 321.2790671 9.118000274
85 -3.45126646e-31 310.0601001 340.6739566 321.2374582 9.116212431
90 2.646977916e-23 310.0430479 340.6431129 321.2015276 9.112265768
95 2.646978098e-23 310.0383222 340.6097733 321.1739726 9.10653463
100 -1.32348902e-23 309.9380765 340.3425947 320.9547504 9.116217641
105 1.72563323e-31 309.9276253 340.2982935 320.947242 9.110503134
110 2.646978e-23 309.914686 340.2290274 320.9486158 9.106811062
115 5.29395594e-23 309.9041884 340.1518655 320.9543533 9.102596201
120 -1.323488943e-23 309.8938283 340.0800044 320.9583073 9.095988498
125 3.970466859e-23 309.8829245 340.0372965 320.9549387 9.089199121
130 -1.323489059e-23 309.872543 340.0404049 320.9415156 9.085676481
135 2.646978044e-23 309.8628297 340.0704558 320.913917 9.081069846
140 -3.97046699e-23 309.8527432 340.0811541 320.8575834 9.056009502
145 2.646977955e-23 309.8424329 340.0590158 320.7706998 9.009679955
150 -5.293956016e-23 309.7107067 339.7659762 320.4632809 8.986726591
155 -5.916456789e-31 309.7025422 339.8319428 320.4036912 8.982100817
160 3.970466921e-23 309.6963507 339.9646891 320.3912505 9.008292281
165 -7.765349536e-31 309.6910037 340.0833026 320.3983735 9.039550414
170 3.970467098e-23 309.689248 340.1680385 320.4021044 9.06368829
175 5.293956029e-23 309.6981357 340.217809 320.4021444 9.084253507
180 -2.646977955e-23 309.72249 340.2394238 320.4030294 9.104692776
185 -1.32348899e-23 309.7743527 340.2510362 320.4066546 9.123433893
190 -3.97046696e-23 309.8250792 340.2620912 320.410491 9.141521945
195 -2.646977921e-23 309.76244 340.2723178 320.4126725 9.159701182
200 -2.646978128e-23 309.6324154 340.3595298 320.404337 9.208802629
205 2.646977921e-23 309.5897048 340.3623798 320.4075073 9.215458203
210 -1.323488803e-23 309.5808964 340.36123 320.4114248 9.216092077
215 3.970466967e-23 309.5967025 340.3588232 320.4164391 9.212358615
220 2.646977862e-23 309.6220364 340.3555909 320.421342 9.206310302
225 -2.646977886e-23 309.6458746 340.3520704 320.4242463 9.199158546
230 -3.970466967e-23 309.6627332 340.3485648 320.4241992 9.191569439
235 1.323489034e-23 309.6711633 340.3453862 320.4215882 9.184436098
240 -7.888609052e-31 309.6741013 340.3429394 320.417242 9.178266402
245 2.646978078e-23 309.6739432 340.3412087 320.411848 9.173382649
250 -3.970467121e-23 309.5763047 340.2920796 320.3587406 9.176926112
