# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           
5 -3.552713758e-15 304.0925009 327.7786925 314.1600863 10.65236716
10 -6.617444826e-23 304.0909509 327.7302738 314.1508804 10.64760444
15 1.323488753e-23 304.0866853 327.7453336 314.1323829 10.63207708
20 1.323489e-23 304.0809696 327.7024943 314.111929 10.60791679
25 -3.970466802e-23 304.0795522 327.6627342 314.0863432 10.57659985
30 3.970466921e-23 304.08246 327.6094102 314.0533809 10.53798365
35 -4.930380658e-32 304.0796172 327.547426 314.0145847 10.49634581
40 -2.646977822e-23 304.0780423 327.4852718 313.9754878 10.45768232
45 -3.97046698e-23 304.0738152 327.4323184 313.9406805 10.42682819
50 3.970466998e-23 310.0543004 340.8916767 321.6480345 9.179562942
