# Time           	Tmin             	at location      	Tmax             	at location      	Tmean            	TstDev           	Umin             	at location      	Umax             	at location      	Umean            	UstDev           	kmin             	at location      	kmax             	at location      	kmean            	kstDev           	omegamin         	at location      	omegamax         	at location      	omegamean        	omegastDev       	pmin             	at location      	pmax             	at location      	pmean            	pstDev           
0.5              2.9999938356e+02 ( 4.8272417348e+01 -5.6100819445e-01 5.4659772896e+00 ) 3.0029229710e+02 ( 6.5038420822e+01 -2.2057412579e+00 -1.7384359385e+00 ) 3.0000282366e+02 1.1803741142e-02 3.8277271966e-04 ( 5.4894420667e+01 4.2794071008e+00 -1.1818676470e+00 ) 1.0940574930e+00 ( 4.8341552327e+01 8.9197395275e-01 5.4649652683e+00 ) 5.0909766821e-02 7.7145590189e-02 2.2034220837e-03 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 4.2160297398e-03 ( 4.8312140657e+01 4.9067105049e-01 4.4258150735e+00 ) 2.8559008093e-03 2.7321717256e-04 1.2751787675e+00 ( 7.7404485532e+01 9.6405954798e-01 4.1714916261e+00 ) 1.8599716242e+01 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 7.1820837717e+00 2.4173894329e+00 -9.3401498694e+01 ( 4.8216709162e+01 1.9220564284e-01 5.8240846493e+00 ) 2.5091586685e+01 ( 9.5039237951e+01 -7.6164315356e-01 -2.2154387218e+00 ) -1.1973282477e+01 2.1983119357e+01 
1                2.9999999628e+02 ( 9.9917072961e+01 4.2697348987e+00 -1.2188920472e+00 ) 3.0077510902e+02 ( 6.5196793113e+01 -2.1196364289e+00 -1.7405547034e+00 ) 3.0000882141e+02 3.1705600104e-02 3.2968186989e-05 ( 7.5652584385e+01 3.9848963075e+00 1.6949029437e+00 ) 1.1810821426e+00 ( 4.7921141166e+01 4.6141864067e-01 4.3773617948e+00 ) 3.1556795052e-02 9.2829911196e-02 1.2965019821e-03 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 4.1888878112e-03 ( 4.7921141166e+01 4.6141864067e-01 4.3773617948e+00 ) 2.2176837027e-03 4.3840144234e-04 1.0938074543e+00 ( 5.1848978324e+01 9.0284323356e-01 4.1608259144e+00 ) 1.5294087596e+01 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 5.4823624239e+00 1.6945718375e+00 -5.0149949192e+01 ( 9.9831470471e+01 -4.7361000530e-01 4.3786843091e+00 ) 3.1313800044e+01 ( 6.4997542838e+01 -3.2539764943e+00 -2.2568065590e+00 ) -5.9191971538e+00 2.1039711648e+01 
1.5              2.9998698805e+02 ( 5.1494498962e+01 -1.7951337523e-01 5.8258735831e+00 ) 3.0150971398e+02 ( 6.5537659760e+01 -2.1196639360e+00 -1.7405594429e+00 ) 3.0001013441e+02 6.1054346683e-02 7.9035341821e-04 ( 9.5629592491e+01 -3.3386051359e+00 -2.1309349302e+00 ) 3.1047062380e+00 ( 5.1468903709e+01 1.1813525180e+00 4.4853806634e+00 ) 1.4383839900e-01 3.0495170389e-01 8.1527258520e-04 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 2.4769395151e-02 ( 5.1494498962e+01 -1.7951337523e-01 5.8258735831e+00 ) 1.8750942513e-03 9.9119858748e-04 1.0249347614e+00 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 1.3551873222e+01 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 4.3742895422e+00 1.2110247605e+00 -5.0147643319e+01 ( 9.9831470471e+01 -4.7361000530e-01 4.3786843091e+00 ) 3.1260752245e+01 ( 6.4997991081e+01 -2.1182813783e+00 -2.2556880086e+00 ) -5.9761566808e+00 2.1045894353e+01 
2                2.9995789223e+02 ( 4.8345837781e+01 -9.0497294005e-01 5.8206256201e+00 ) 3.0251570347e+02 ( 6.5625087755e+01 -1.4275038690e+00 -1.7405505024e+00 ) 3.0000577131e+02 1.0135010377e-01 3.7061899079e-04 ( 9.9912710334e+01 -3.8736713039e+00 -6.1641484861e-01 ) 2.3991753301e+00 ( 5.1494498962e+01 -1.7951337523e-01 5.8258735831e+00 ) 8.8752227159e-02 1.9575223368e-01 6.0709333230e-04 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 2.0667239994e-02 ( 5.1494498962e+01 -1.7951337523e-01 5.8258735831e+00 ) 1.6215674940e-03 1.1186709411e-03 1.1507820300e+00 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 2.1463860261e+01 ( 5.1494498962e+01 -1.7951337523e-01 5.8258735831e+00 ) 3.6605706326e+00 1.0597476077e+00 -9.3905028951e+01 ( 4.8216709162e+01 1.9220564284e-01 5.8240846493e+00 ) 2.4896871907e+01 ( 9.5039237951e+01 -7.6164315356e-01 -2.2154387218e+00 ) -1.3405001119e+01 2.2112881668e+01 
2.5              2.9996493054e+02 ( 4.8345837781e+01 -9.0497294005e-01 5.8206256201e+00 ) 3.0381868494e+02 ( 6.5625087581e+01 -1.8601101955e+00 -1.7405493472e+00 ) 3.0000731001e+02 1.5256572568e-01 3.6993948499e-04 ( 6.4004365609e+01 -4.0561568153e+00 -4.4978316108e-01 ) 2.4934163446e+00 ( 4.7921141166e+01 4.6141864067e-01 4.3773617948e+00 ) 5.6035960489e-02 1.2402977037e-01 4.8952365814e-04 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 1.7878433640e-02 ( 5.0818480350e+01 1.6096691501e+00 5.4845538692e+00 ) 1.4112451307e-03 1.0407782002e-03 9.9741704337e-01 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 1.7378782361e+01 ( 5.1494486581e+01 1.7946364688e-01 5.8258748834e+00 ) 3.1297431123e+00 8.1531291450e-01 -9.3405449275e+01 ( 5.0794133924e+01 -1.2324858031e+00 5.8284711589e+00 ) 2.4682028018e+01 ( 9.5027953373e+01 -2.7076807454e+00 -2.2140043661e+00 ) -1.4299259132e+01 2.2161143831e+01 
3                2.9999950727e+02 ( 4.5459407347e+01 3.2660392191e+00 2.9913483715e+00 ) 3.0542833338e+02 ( 6.5537659760e+01 -2.1196639360e+00 -1.7405594429e+00 ) 3.0001739337e+02 2.1450654679e-01 4.7977245782e-05 ( 8.0907632742e+01 -4.3178452360e+00 3.1555775055e-01 ) 1.3957149120e+00 ( 4.8305969045e+01 8.6001874104e-01 4.1474372327e+00 ) 2.8672244148e-02 7.5269923933e-02 4.0516228221e-04 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 1.4843918534e-02 ( 5.0818480350e+01 1.6096691501e+00 5.4845538692e+00 ) 1.2492728278e-03 9.4302925296e-04 8.9081867487e-01 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 1.1589764429e+01 ( 5.1494498962e+01 -1.7951337523e-01 5.8258735831e+00 ) 2.7388912176e+00 6.3154549833e-01 -5.0147913502e+01 ( 9.9831470471e+01 -4.7361000530e-01 4.3786843091e+00 ) 3.1568123929e+01 ( 6.4997542838e+01 -3.2539764943e+00 -2.2568065590e+00 ) -5.7380347215e+00 2.1027383438e+01 
3.5              2.9996514003e+02 ( 4.9299084491e+01 -1.6539255382e+00 5.8267752772e+00 ) 3.0732130526e+02 ( 6.5625087525e+01 -1.5140284079e+00 -1.7405492620e+00 ) 3.0001494484e+02 2.8601996120e-01 2.3566026876e-04 ( 9.5271778073e+01 8.6708230002e-01 -5.2100590460e-02 ) 1.6217352654e+00 ( 4.7921141166e+01 4.6141864067e-01 4.3773617948e+00 ) 3.5157969602e-02 7.8802541022e-02 3.4044269260e-04 ( 6.9039887327e+01 -3.7793096723e-01 2.6214432860e-01 ) 1.2652837198e-02 ( 5.0818480350e+01 1.6096691501e+00 5.4845538692e+00 ) 1.1194859179e-03 8.6446612927e-04 7.6033505667e-01 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 1.0539078561e+01 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 2.4474432258e+00 4.9067242520e-01 -9.6500233100e+01 ( 4.9359910004e+01 -1.7817573265e-01 5.8275550056e+00 ) 2.5097307215e+01 ( 9.5039237951e+01 -7.6164315356e-01 -2.2154387218e+00 ) -1.2503420253e+01 2.2124473232e+01 
4                2.9999898290e+02 ( 4.5187596724e+01 3.2233763646e+00 3.0116479425e+00 ) 3.0953506566e+02 ( 6.5625087581e+01 -1.8601101955e+00 -1.7405493472e+00 ) 3.0002339184e+02 3.6691757950e-01 1.2219279141e-04 ( 9.0979299359e+01 -1.4688622664e+00 -2.2018159342e+00 ) 9.2631059474e-01 ( 5.1426448036e+01 1.4983255413e+00 4.1163583877e+00 ) 3.7072259275e-02 7.6875409372e-02 2.8264648581e-04 ( 6.9215056347e+01 -3.7793566232e-01 2.6214363406e-01 ) 1.0492793507e-02 ( 4.9022314068e+01 -1.7581024152e-01 4.1011592590e+00 ) 1.0166402835e-03 7.8769288003e-04 7.2998340167e-01 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 1.0314932205e+01 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 2.2174922484e+00 4.2694086098e-01 -5.0154744199e+01 ( 9.9831470471e+01 -4.7361000530e-01 4.3786843091e+00 ) 2.9550697616e+01 ( 6.4997542838e+01 -3.2539764943e+00 -2.2568065590e+00 ) -7.1468755553e+00 2.1063905325e+01 
4.5              2.9997852936e+02 ( 4.9299084491e+01 -1.6539255382e+00 5.8267752772e+00 ) 3.1205845221e+02 ( 6.5800175307e+01 -1.8601104092e+00 -1.7405482914e+00 ) 3.0002951852e+02 4.5607215013e-01 2.4471382896e-04 ( 6.4945773091e+01 -2.0331435239e+00 -6.1405597154e-01 ) 3.7388226000e+00 ( 4.8217145729e+01 -1.6783533351e-01 4.7360692779e+00 ) 1.6673641153e-01 3.2390159128e-01 2.4256866795e-04 ( 6.9215056347e+01 -3.7793566232e-01 2.6214363406e-01 ) 3.4846541701e-02 ( 4.8216499532e+01 -1.9070745854e-01 5.8240676852e+00 ) 1.0655574501e-03 1.5648181118e-03 6.5869327030e-01 ( 4.5174175418e+01 -8.9479611087e-01 4.1940246278e+00 ) 9.9683378633e+00 ( 7.0166961362e+01 -3.8561397912e-01 2.3852733434e-01 ) 2.0600293397e+00 4.6994083237e-01 -5.0143704846e+01 ( 9.9831470471e+01 -4.7361000530e-01 4.3786843091e+00 ) 3.2427714764e+01 ( 6.4997542838e+01 -3.2539764943e+00 -2.2568065590e+00 ) -5.1853388425e+00 2.1067054993e+01 
5                2.9990488549e+02 ( 4.8345837781e+01 -9.0497294005e-01 5.8206256201e+00 ) 3.1489089338e+02 ( 6.6150488109e+01 -1.7735680372e+00 -1.7405488084e+00 ) 3.0002790260e+02 5.5241984718e-01 9.5593691820e-04 ( 5.4983408451e+01 4.0110420996e+00 -1.7587599612e+00 ) 3.0201860108e+00 ( 4.8216499532e+01 -1.9070745854e-01 5.8240676852e+00 ) 1.2426942199e-01 2.3866622325e-01 2.1086708344e-04 ( 6.9215056347e+01 -3.7793566232e-01 2.6214363406e-01 ) 3.7785990169e-02 ( 4.8216499532e+01 -1.9070745854e-01 5.8240676852e+00 ) 1.0831355843e-03 1.9433754599e-03 8.0300518140e-01 ( 4.5168602274e+01 3.3621707696e+00 2.7019507226e+00 ) 2.2909338839e+01 ( 5.0469225084e+01 1.6150549969e+00 5.8287481074e+00 ) 1.9606539773e+00 8.7128529626e-01 -9.4191299557e+01 ( 4.8345837781e+01 -9.0497294005e-01 5.8206256201e+00 ) 2.4957755898e+01 ( 9.5039237951e+01 -7.6164315356e-01 -2.2154387218e+00 ) -1.3187529736e+01 2.2116041944e+01 
