# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev	CH4min	CH4min location	CH4max	CH4max location	CH4mean	CH4stDev	O2min	O2min location	O2max	O2max location	O2mean	O2stDev	N2min	N2min location	N2max	N2max location	N2mean	N2stDev
0.00120482	0.0487194	( 0.647914 -0.0501899 -1.15017 )	0.696383	( -2.34945 0.391535 0.856611 )	0.127228	0.106876	-16.9916	( -0.865921 0.769785 -0.980674 )	269.336	( -2.45029 -0.262934 1.04662 )	15.9034	46.9356	1.55747e-94	( -2.44995 0.390561 -0.0500011 )	1.81622e-05	( 0.460545 0.251908 -0.15011 )	3.81019e-07	1.96143e-06	0.229996	( 0.460545 0.251908 -0.15011 )	0.23	( -0.0508146 -0.851019 -0.650382 )	0.23	4.51128e-07	0.769986	( 0.460545 0.251908 -0.15011 )	0.77	( -0.151943 -0.852075 0.0500009 )	0.77	1.5103e-06
0.00265769	0.0212937	( 0.64907 -0.0496841 1.05074 )	1.14997	( -2.34945 0.391535 0.856611 )	0.179486	0.222039	-8.99456	( -0.772246 0.865147 -0.050001 )	349.936	( -2.44995 0.390561 -0.0500011 )	35.0901	80.8828	4.06233e-91	( -2.45028 0.0535089 -0.150003 )	3.92491e-05	( 0.460545 0.251908 -0.15011 )	8.19772e-07	4.22704e-06	0.229991	( 0.460545 0.251908 -0.15011 )	0.23	( -1.85001 -0.0524783 0.150003 )	0.23	9.7222e-07	0.76997	( 0.460545 0.251908 -0.15011 )	0.77	( -0.154402 -0.95436 -0.050001 )	0.769999	3.25482e-06
0.00439595	0.0130749	( 0.649045 0.0491109 -0.249992 )	1.32285	( -2.35006 -0.262308 1.04556 )	0.2521	0.315382	0.146798	( 0.952071 0.576245 0.756128 )	338.442	( -2.1499 -0.390073 0.550618 )	58.0003	103.592	2.4687e-89	( -2.45028 -0.0535085 0.0500006 )	6.38936e-05	( 0.460545 0.251908 -0.15011 )	1.33239e-06	6.87157e-06	0.229985	( 0.460545 0.251908 -0.15011 )	0.23	( -0.561142 -0.855963 -0.150009 )	0.23	1.58046e-06	0.769951	( 0.460545 0.251908 -0.15011 )	0.77	( -0.455233 -0.756769 1.05252 )	0.769999	5.29111e-06
0.00647429	0.0116427	( 0.649026 -0.0491064 -0.150028 )	1.37914	( -2.35006 -0.262308 1.04556 )	0.346562	0.385332	0.309129	( 2.45029 -0.262934 1.04662 )	335.731	( -1.95 -0.389932 -0.050001 )	85.1989	113.863	1.49016e-87	( -2.45028 -0.0535085 0.0500006 )	9.31111e-05	( 0.460545 0.251908 -0.15011 )	1.94012e-06	9.99504e-06	0.229979	( 0.460545 0.251908 -0.15011 )	0.23	( -0.561142 -0.855963 -0.150009 )	0.23	2.29886e-06	0.769928	( 0.460545 0.251908 -0.15011 )	0.77	( 0.664482 0.761834 -0.652122 )	0.769999	7.69618e-06
0.0089355	0.0205379	( 0.647914 -0.0501899 -1.15017 )	1.72649	( -1.06492 0.360013 1.05737 )	0.464853	0.422596	0.411001	( 2.45029 -0.262941 -1.04661 )	304.251	( -1.55008 0.0524405 -0.0500007 )	116.975	109.105	7.07575e-86	( -2.45028 -0.0535085 0.0500006 )	0.000127458	( 0.460545 0.251908 -0.15011 )	2.65657e-06	1.36334e-05	0.229971	( 0.460545 0.251908 -0.15011 )	0.23	( 0.0507942 0.950123 -0.250016 )	0.229999	3.13568e-06	0.769902	( 0.460545 0.251908 -0.15011 )	0.77	( 2.44998 -0.271614 0.951128 )	0.769998	1.04977e-05
0.0118731	0.0766312	( 0.647914 -0.0501899 -1.15017 )	1.87239	( -1.06492 0.360013 1.05737 )	0.597296	0.395449	1.04067	( 2.45029 -0.262934 1.04662 )	280.182	( -0.649002 -0.0497588 -1.05071 )	153.599	93.8231	3.80879e-84	( -2.45028 0.0535085 -0.0500006 )	0.000167661	( 0.460545 0.251908 -0.15011 )	3.50887e-06	1.78494e-05	0.229961	( 0.460545 0.251908 -0.15011 )	0.23	( 2.25029 0.160305 -0.550259 )	0.229999	4.10537e-06	0.769871	( 0.460545 0.251908 -0.15011 )	0.77	( 0.664116 0.761446 0.550894 )	0.769997	1.37441e-05
0.0153981	0.188055	( 0.54769 -0.0465353 1.05078 )	1.61386	( -1.06201 0.375932 0.961169 )	0.716366	0.284106	3.86779	( 2.45029 -0.262934 1.04662 )	286.313	( -0.550389 0.948222 1.13912 )	191.383	77.7303	1.89534e-82	( -2.45028 0.0535085 -0.0500006 )	0.000213957	( 0.460545 0.251908 -0.15011 )	4.53009e-06	2.27234e-05	0.229951	( 0.460545 0.251908 -0.15011 )	0.23	( 2.25029 0.160305 -0.550259 )	0.229999	5.22637e-06	0.769835	( 0.460545 0.251908 -0.15011 )	0.77	( -1.75004 0.159618 -0.150004 )	0.769997	1.7497e-05
0.0196282	0.214273	( -0.547631 -0.0466044 1.05074 )	1.53489	( 1.06492 -0.360027 1.05735 )	0.807692	0.191874	8.91078	( 2.45029 -0.262934 1.04662 )	297.447	( 0.461611 -1.05345 -0.150005 )	214.642	71.3922	8.12018e-81	( -2.45028 0.0535085 -0.0500006 )	0.000266664	( 0.460545 0.251908 -0.15011 )	5.75696e-06	2.84133e-05	0.229939	( 0.460545 0.251908 -0.15011 )	0.23	( 1.65012 0.27278 -0.651267 )	0.229999	6.53505e-06	0.769795	( 0.460545 0.251908 -0.15011 )	0.77	( -1.75004 0.159618 -0.150004 )	0.769996	2.18782e-05
0.0246515	0.189975	( -0.547631 -0.0466044 1.05074 )	2.0515	( 1.06492 -0.360027 1.05735 )	0.909254	0.393349	10.1892	( 2.45029 -0.262934 1.04662 )	252.51	( 0.547956 -0.0461117 -0.950495 )	196.479	50.2914	2.64926e-79	( -2.45028 -0.0535085 0.0500006 )	0.000326479	( 0.460545 0.251908 -0.15011 )	7.21787e-06	3.50651e-05	0.229925	( 0.460545 0.251908 -0.15011 )	0.23	( 1.65012 0.27278 -0.651267 )	0.229998	8.06496e-06	0.769749	( 0.460545 0.251908 -0.15011 )	0.77	( -1.75004 0.159618 -0.150004 )	0.769994	2.70001e-05
0.0304475	0.217216	( -0.547631 -0.0466044 1.05074 )	2.40944	( 1.06492 -0.360027 1.05735 )	1.07614	0.535457	3.43338	( 2.44975 0.257961 1.14533 )	221.833	( -2.45028 -0.0535085 -0.0500006 )	126.387	58.7503	7.29959e-78	( -2.45028 -0.0535085 0.0500006 )	0.000391356	( 0.460545 0.251908 -0.15011 )	8.90737e-06	4.24518e-05	0.22991	( 0.460545 0.251908 -0.15011 )	0.23	( -1.75003 -0.159806 -0.550282 )	0.229998	9.76391e-06	0.769699	( 0.460545 0.251908 -0.15011 )	0.77	( -0.95125 0.575234 0.450396 )	0.769993	3.26879e-05
0.0374028	0.289046	( -0.547631 -0.0466044 1.05074 )	2.64428	( 1.06492 -0.360027 1.05735 )	1.27301	0.476162	-62.8285	( 1.15876 -0.387779 0.966747 )	144.827	( -2.45028 -0.0535085 -0.0500006 )	22.0901	67.4727	4.35169e-76	( -2.45028 0.0535085 -0.0500006 )	0.000460445	( 0.460545 0.251908 -0.15011 )	1.09316e-05	5.05532e-05	0.229894	( 0.460545 0.251908 -0.15011 )	0.23	( -1.25126 -0.158943 -0.550335 )	0.229997	1.16272e-05	0.769645	( 0.460545 0.251908 -0.15011 )	0.77	( 0.0502321 1.04972 0.753614 )	0.769992	3.89259e-05
0.0452274	0.327986	( -0.547631 -0.0466044 1.05074 )	2.51084	( 1.06492 -0.360027 1.05735 )	1.31011	0.370824	-97.7122	( 0.147444 0.53333 -1.15186 )	-3.45067	( 2.45029 -0.262934 1.04662 )	-80.7127	22.1575	9.83211e-75	( -2.45028 0.0535085 -0.0500006 )	0.000530146	( 0.460545 0.251908 -0.15011 )	1.32066e-05	5.89622e-05	0.229878	( 0.460545 0.251908 -0.15011 )	0.23	( 0.461626 -1.05346 -0.450264 )	0.229997	1.35613e-05	0.769592	( 0.460545 0.251908 -0.15011 )	0.77	( 0.0502321 1.04972 0.753614 )	0.76999	4.54009e-05
0.0543562	0.270054	( -0.547631 -0.0466044 1.05074 )	1.91298	( 1.06225 0.375999 -0.961087 )	1.06256	0.299141	-296.941	( -2.35086 0.0532891 -0.0500007 )	-2.16084	( 2.45029 -0.262934 1.04662 )	-164.275	88.1348	2.35974e-73	( -2.45028 0.0535085 -0.0500006 )	0.000613825	( 0.460545 0.251908 -0.15011 )	1.58613e-05	6.89065e-05	0.229859	( 0.460545 0.251908 -0.15011 )	0.23	( -2.44974 -0.34394 1.13301 )	0.229996	1.58485e-05	0.769527	( 0.460545 0.251908 -0.15011 )	0.77	( -1.55054 -0.389842 -0.25002 )	0.769988	5.3058e-05
