# Time       	massFlux     	CH4min       	CH4max       	CH4mean      	CH4stDev     
0.00120482 -0.649017 0.5 0.5 0.5 0
0.00265769 -0.65068 0.5 0.5 0.5 0
0.00439595 -0.65112 0.5 0.5 0.5 0
0.00647429 -0.651023 0.5 0.5 0.5 0
0.0089355 -0.65092 0.5 0.5 0.5 0
0.0118731 -0.650884 0.5 0.5 0.5 0
0.0153981 -0.650876 0.5 0.5 0.5 0
0.0196282 -0.650872 0.5 0.5 0.5 0
0.0246515 -0.650857 0.5 0.5 0.5 0
0.0304475 -0.650754 0.5 0.5 0.5 0
0.0374028 -0.650302 0.5 0.5 0.5 0
0.0452274 -0.649107 0.5 0.5 0.5 0
0.0543562 -0.647452 0.5 0.5 0.5 0
