# Time       	massFlux     	CH4min       	CH4max       	CH4mean      	CH4stDev     
0.00120482 -1.00328e-05 0.5 0.5 0.5 0
0.00265769 -5.09509e-05 0.5 0.5 0.5 0
0.00439595 -0.000197486 0.5 0.5 0.5 0
0.00647429 -6.94806e-05 0.5 0.5 0.5 0
0.0089355 0.00631707 0.5 0.5 0.5 3.36495e-16
0.0118731 0.054748 0.5 0.5 0.5 4.31623e-16
0.0153981 0.253058 0.5 0.5 0.5 4.3582e-16
0.0196282 0.714682 0.5 0.5 0.5 4.44045e-16
0.0246515 1.28793 0.5 0.5 0.5 4.48093e-16
0.0304475 1.56756 0.5 0.5 0.5 4.58172e-16
0.0374028 1.4248 0.5 0.5 0.5 4.45059e-16
0.0452274 1.1148 0.5 0.5 0.5 4.17674e-16
0.0543562 0.738008 0.5 0.5 0.5 4.46891e-16
