# Time	Tmin	Tmin location	Tmax	Tmax location	Tmean	TstDev	Umin	Umin location	Umax	Umax location	Umean	UstDev	kmin	kmin location	kmax	kmax location	kmean	kstDev	omegamin	omegamin location	omegamax	omegamax location	omegamean	omegastDev	pmin	pmin location	pmax	pmax location	pmean	pstDev	wmin	wmin location	wmax	wmax location	wmean	wstDev	mistmin	mistmin location	mistmax	mistmax location	mistmean	miststDev
1	299.7982467	( 0.01251989053 0.01251989232 -0.1876013276 )	300.0001691	( -0.2253465816 -0.07516613352 0.475445089 )	299.9998442	0.003110178899	8.486740059e-07	( 1.95 1.95 1.95 )	0.7291464943	( -0.05662962649 0.05489538945 -0.0654495499 )	0.0003485238139	0.00297576273	0.001282954035	( 1.95 -1.95 -1.95 )	0.007123963527	( 0.1017077833 0.01876168567 -0.03107227635 )	0.001643439613	0.0001869857408	3.592965499	( -1.95 -1.95 1.95 )	14.93084459	( -0.1027567145 0.006270844792 -0.03113595697 )	3.999053887	0.5427695623	-22.50416792	( -1.95 1.95 1.95 )	22.50429513	( -0.05 0.05 -1.95 )	0.0001194600962	13.32239165	0.003634073933	( -0.05662962649 0.05489538945 -0.0654495499 )	0.01113809463	( -0.212519154 -0.01250175189 -0.08751172726 )	0.0111360391	2.437598525e-05	0	( 0.5534567546 0.2522513892 -0.8537101378 )	0.003384849887	( -0.05662962649 0.05489538945 -0.0654495499 )	1.099998172e-07	1.129995155e-05
2	299.503224	( 0.01250084724 0.01250084726 -0.2375060703 )	300.0000391	( -0.5554168852 -0.8557683971 -0.05035025333 )	299.99946	0.009580326575	1.403782863e-05	( -0.02501549571 0.02501549571 0.828424782 )	0.9831647897	( -0.05593290692 0.06620059639 -0.0552048809 )	0.001006016009	0.006885354576	0.0004614787638	( -1.95 1.95 -1.95 )	0.008396883253	( -0.1028746145 0.01973597966 -0.04377381065 )	0.0008925950785	0.0002166985319	1.405599117	( -1.95 1.95 -1.85 )	15.39278298	( 0.1028748067 0.01973526953 -0.043774448 )	1.910719665	0.6183476753	-22.50416417	( -1.95 1.95 1.95 )	22.50420084	( 0.05 0.05 -1.95 )	-5.414168765e-05	13.32238905	0.007232576984	( -0.05512903162 -0.05514148441 -0.07834244178 )	0.01113631009	( -0.02516301119 -0.07548687184 -0.4760556372 )	0.01113220865	2.631212134e-05	9.468855617e-49	( -1.95 -1.95 1.95 )	0.004905141312	( -0.05662962649 0.05489538945 -0.0654495499 )	2.58693513e-07	2.083160728e-05
3	299.1594298	( 0.0125025746 0.0125025746 -0.2625099793 )	300.0000292	( -0.6521594252 -0.8522628922 -0.1506369618 )	299.9986412	0.02000840218	2.166184087e-06	( -1.35 1.85 1.05 )	1.027782743	( -0.06813598086 0.05467593844 -0.06701881556 )	0.00115019096	0.008476300904	0.0001865034249	( -1.95 1.95 -1.95 )	0.01229836064	( -0.1129933595 0.06363467868 -0.0636340057 )	0.0006033513551	0.0002273422038	0.6978214697	( -1.95 1.95 -1.85 )	18.01370171	( -0.08844543914 0.1134339114 -0.06322390127 )	1.092067074	0.5476567158	-22.50416587	( -0.05 0.05 1.95 )	22.5041679	( 1.95 1.95 -1.95 )	-0.0001135031132	13.32237777	0.008290121281	( -0.06815408967 -0.05515126203 -0.07984193267 )	0.01113640219	( 0.075019664 0.02500639137 -0.5750621559 )	0.01113215785	2.631076816e-05	-9.421149077e-22	( 0.45 0.05 -1.95 )	0.005029976339	( 0.04521837633 -0.006372082277 -0.0928734951 )	4.410583364e-07	2.946209729e-05
4	298.8010249	( 0.01251201075 0.01251201075 -0.3126469577 )	300.0000099	( -0.25 -0.35 -1.95 )	299.9971446	0.03499912737	1.035550011e-06	( -1.95 1.95 0.95 )	1.02524998	( 0.05514915574 0.0680434916 -0.06725811041 )	0.001414970637	0.008831656714	9.738952405e-05	( -1.95 1.95 -1.95 )	0.01903524006	( -0.1129933595 0.06363467868 -0.0636340057 )	0.0004648072686	0.0002395133754	0.4713519583	( -1.95 1.95 -1.85 )	21.3674925	( -0.1129933595 0.06363467868 -0.0636340057 )	0.7703592893	0.5054263698	-22.50416607	( -1.95 1.95 1.95 )	22.50416791	( 1.95 1.95 -1.95 )	-0.0001032593306	13.32236843	0.00891494515	( -0.08844544018 -0.06322457327 -0.1134332154 )	0.01113668255	( 0.07501796884 0.07501796884 -0.5750611545 )	0.01113194885	2.593017084e-05	-4.639431605e-21	( 0.55 0.15 -1.95 )	0.004998833824	( 0.04521837633 -0.006372082277 -0.0928734951 )	6.441692824e-07	3.730415837e-05
5	298.417291	( 0.01251672876 0.01251672876 -0.3380565344 )	300.0000464	( 0.3530190317 -0.05048604509 0.8591422662 )	299.9946791	0.05513464177	4.926372257e-06	( -1.95 -1.95 0.35 )	1.017192757	( 0.05514915574 0.0680434916 -0.06725811041 )	0.001548502459	0.008834903162	6.561577983e-05	( 1.95 -1.95 -1.95 )	0.02416212941	( -0.08843880042 0.08844054448 -0.06349786309 )	0.000382697301	0.0002523871876	0.3600759905	( -1.95 1.95 -1.75 )	21.70223849	( -0.08843880042 0.08844054448 -0.06349786309 )	0.6072485519	0.4808949115	-22.50416663	( -1.95 1.95 1.95 )	22.50418809	( 0.05 0.05 -1.95 )	-5.623647077e-05	13.32236528	0.009264811009	( -0.08785635884 -0.06281715217 -0.13789277 )	0.0111374412	( 0.07500728956 0.02500246198 -0.6250203845 )	0.01113168213	2.49903994e-05	-9.218149599e-20	( 0.55 0.15 -1.95 )	0.004988685723	( 0.04521837633 -0.006372082277 -0.0928734951 )	8.633528846e-07	4.443395176e-05
6	298.0229624	( 0.01252730655 0.01252730655 -0.3642260111 )	300.0000974	( -0.05021935688 0.05021935688 1.052868522 )	299.9908988	0.08074376596	6.375939533e-06	( 1.95 -1.95 0.25 )	1.005000261	( 0.05514915574 0.0680434916 -0.06725811041 )	0.001592212085	0.008823749588	5.074842437e-05	( 1.95 -1.95 -1.95 )	0.0245713286	( -0.08843880042 0.08844054448 -0.06349786309 )	0.0003276290769	0.0002640697529	0.294860334	( -1.95 1.95 -1.75 )	20.52059336	( -0.08843988262 -0.08844085747 -0.06349840915 )	0.5066208943	0.4663581554	-22.50416705	( -1.95 -1.95 1.95 )	22.50422145	( 0.05 0.05 -1.95 )	-1.826829103e-05	13.32236979	0.009561183053	( -0.08759529046 -0.08759529916 -0.1626240297 )	0.0111389548	( 0.07500728956 0.02500246198 -0.6250203845 )	0.01113142986	2.361409543e-05	-7.62077776e-19	( 0.55 0.15 -1.95 )	0.004990661059	( -0.03427324745 -0.03427832825 -0.09064678359 )	1.094814167e-06	5.080147034e-05
7	297.6259415	( 0.01210771765 0.01210771765 -0.391793364 )	300.0000853	( -0.05008589321 0.05008589321 1.150748067 )	299.9852515	0.1121564727	9.281193675e-06	( -1.95 1.95 0.15 )	1.008163793	( 0.05514915574 0.0680434916 -0.06725811041 )	0.001672333239	0.008999959499	4.161876003e-05	( 1.95 -1.95 -1.95 )	0.02562631061	( -0.1132820086 0.03823160603 -0.06349562512 )	0.0002879520355	0.0002763718004	0.2527163855	( -1.95 1.95 -1.75 )	20.63503993	( -0.09414546371 0.06937154211 -0.06936832482 )	0.4390177163	0.4577369869	-22.50416761	( 1.85 -1.75 1.95 )	22.50426373	( 0.05 0.05 -1.95 )	-9.912268647e-06	13.32237849	0.009805345826	( -0.1125581527 -0.08755078407 -0.1625690308 )	0.01114180859	( 0.07501146591 0.02500449149 -0.6750561597 )	0.01113118251	2.197922046e-05	-1.275087523e-17	( 0.55 0.15 -1.95 )	0.004991075467	( -0.03427324745 -0.03427832825 -0.09064678359 )	1.339275479e-06	5.646835227e-05
8	297.2286582	( 0.02504435714 0.02504435714 -0.5253099413 )	300.0000341	( -0.05000184489 0.05000184489 1.350024219 )	299.9768724	0.15018895	1.267609789e-05	( 1.95 -1.95 0.15 )	1.01643855	( 0.05514915574 0.0680434916 -0.06725811041 )	0.001883122719	0.009488405607	3.510265389e-05	( 1.95 -1.95 -1.95 )	0.02668324067	( -0.1132820086 0.03823160603 -0.06349562512 )	0.0002580894598	0.0002912453717	0.2230214206	( -1.95 1.95 -1.75 )	20.42327695	( -0.09414546371 0.06937154211 -0.06936832482 )	0.3905122301	0.4537418602	-22.50416805	( 1.75 -1.75 1.95 )	22.50433192	( 0.05 0.05 -1.95 )	-2.64144834e-05	13.3223893	0.01000400135	( -0.1125324449 -0.1125324465 -0.1625393734 )	0.01119760327	( -0.01265892836 -0.01265895613 -0.1387258701 )	0.0111309336	2.028324319e-05	-2.256493943e-16	( 0.55 0.15 -1.95 )	0.004991418365	( -0.03427324745 -0.03427832825 -0.09064678359 )	1.599266056e-06	6.1508951e-05
9	296.8181186	( 0.02500718106 0.02500718106 -0.5750639987 )	300.0000125	( -1.95 1.95 1.95 )	299.9645774	0.1966266088	1.703771732e-05	( 1.95 -1.95 0.05 )	1.022487428	( 0.05514915574 0.0680434916 -0.06725811041 )	0.002274747012	0.01023026172	3.013499947e-05	( 1.95 1.95 -1.95 )	0.02753019062	( -0.1132816817 -0.03823189414 -0.06349602186 )	0.0002348088935	0.0003099275249	0.1989008508	( -1.95 1.95 -1.65 )	19.99953435	( -0.09414546371 0.06937154211 -0.06936832482 )	0.3561258324	0.4540557972	-22.50417021	( 0.05 0.05 1.95 )	22.50446135	( 0.05 0.05 -1.95 )	-5.121346012e-05	13.32240097	0.01016819962	( -0.1125133376 -0.1125133378 -0.1875184495 )	0.0112804569	( -0.01258866947 -0.01258867016 -0.1628870389 )	0.01113054578	1.87779982e-05	-4.018429277e-15	( 0.55 0.15 -1.95 )	0.004991491919	( -0.03427324745 -0.03427832825 -0.09064678359 )	1.879281706e-06	6.605023694e-05
10	296.4355204	( 0.02500182536 0.02500182536 -0.625017097 )	300.0000114	( -1.95 -1.95 1.95 )	299.9471848	0.2530956577	2.267013951e-05	( -1.95 -1.95 -0.15 )	1.02378709	( 0.05514915574 0.0680434916 -0.06725811041 )	0.002881105918	0.01114029883	2.620532171e-05	( 1.95 1.95 -1.95 )	0.02881154491	( -0.1132816817 -0.03823189414 -0.06349602186 )	0.0002164460537	0.0003327341278	0.1802301825	( -1.95 1.95 -1.65 )	20.11327544	( -0.0886122736 0.08861297196 -0.08861196378 )	0.3294207142	0.4567903626	-22.50417188	( 0.05 0.05 1.95 )	22.50473253	( 0.05 0.05 -1.95 )	-6.995877069e-05	13.32241578	0.01030123545	( -0.162517756 -0.08751025406 -0.1875194327 )	0.01137809521	( -0.01251989166 -0.01251989097 -0.187601328 )	0.01113014324	1.743618054e-05	-2.09106746e-14	( 0.65 0.25 -1.95 )	0.0049915563	( -0.03427669201 0.03427611986 -0.09064605133 )	2.184354267e-06	7.022319458e-05
