# Time       	TotalDataPoints	AveragePoints	AverageValue 	BestFitGradient	MaxSolQuality
1	1	1	9.354432e+00	-0.000000e+00	0.000000e+00
2	2	1	5.073824e+00	-0.000000e+00	0.000000e+00
3	2	1	3.874797e-02	-0.000000e+00	0.000000e+00
4	2	1	-2.128181e+00	-0.000000e+00	0.000000e+00
5	2	1	-1.662417e+00	-0.000000e+00	0.000000e+00
6	3	1	-1.880853e-01	-0.000000e+00	0.000000e+00
7	2	1	8.284101e-01	-0.000000e+00	0.000000e+00
8	2	2	9.323879e-01	4.159116e-01	8.408841e-02
9	3	3	8.814647e-01	-7.319379e-02	5.934729e-01
10	4	4	7.730555e-01	-5.594006e-01	1.812417e-01
11	5	2	3.768508e-01	-2.839087e-01	2.160913e-01
12	6	2	3.254211e-01	7.818850e-02	4.218115e-01
13	4	4	3.948870e-01	5.529776e-02	6.947022e-01
14	5	5	4.360917e-01	2.405846e-01	5.047507e-01
15	6	2	6.324301e-01	1.260762e-01	3.739238e-01
16	7	2	6.736322e-01	3.873285e-02	4.612671e-01
17	8	2	6.880256e-01	1.884233e-02	4.811577e-01
18	9	3	6.963655e-01	4.459588e-02	6.037974e-01
19	6	4	7.097938e-01	8.823970e-02	6.287503e-01
20	7	6	7.168904e-01	1.529050e-01	5.870197e-01
21	8	7	7.360635e-01	2.121524e-01	5.152262e-01
22	9	8	7.563850e-01	2.700211e-01	4.215557e-01
23	10	3	8.975858e-01	1.378745e-01	4.230450e-01
24	11	3	9.426887e-01	1.316659e-01	4.347044e-01
25	12	3	9.867190e-01	1.315603e-01	4.399456e-01
26	13	3	1.031199e+00	1.350660e-01	4.376455e-01
27	14	3	1.076732e+00	1.384156e-01	4.327039e-01
28	15	3	1.122905e+00	1.391763e-01	4.290566e-01
29	16	3	1.168432e+00	1.350553e-01	4.276093e-01
30	16	3	1.211225e+00	1.232158e-01	4.299439e-01
31	14	3	1.252398e+00	1.195692e-01	4.584334e-01
32	13	3	1.291550e+00	1.186960e-01	4.394503e-01
33	14	3	1.331218e+00	1.164372e-01	4.590200e-01
34	14	3	1.370577e+00	1.204943e-01	4.502690e-01
35	14	3	1.411002e+00	1.221112e-01	4.483343e-01
36	14	3	1.450296e+00	1.161278e-01	4.391400e-01
37	14	3	1.487538e+00	1.061616e-01	4.556262e-01
38	14	3	1.522113e+00	1.008907e-01	4.634355e-01
39	14	3	1.554854e+00	9.588153e-02	4.657458e-01
40	14	3	1.585422e+00	8.811907e-02	4.680735e-01
41	15	3	1.613188e+00	7.850002e-02	4.757714e-01
42	15	3	1.637641e+00	6.835939e-02	4.823233e-01
43	15	3	1.659083e+00	5.968446e-02	4.957817e-01
44	15	3	1.678042e+00	5.377093e-02	5.041848e-01
45	15	3	1.695470e+00	5.027878e-02	5.140951e-01
46	15	3	1.711611e+00	4.700175e-02	5.104703e-01
47	15	3	1.726256e+00	4.126321e-02	5.078915e-01
48	16	3	1.739286e+00	3.628148e-02	5.226257e-01
49	16	3	1.750983e+00	3.371784e-02	5.281374e-01
50	17	3	1.761777e+00	3.120248e-02	5.264348e-01
51	18	3	1.771704e+00	2.832144e-02	5.291528e-01
52	18	3	1.780533e+00	2.488128e-02	5.244057e-01
53	19	3	1.788690e+00	2.323675e-02	5.499125e-01
54	19	4	1.792453e+00	3.045288e-02	5.427118e-01
55	20	3	1.803562e+00	2.097912e-02	5.390035e-01
56	21	3	1.810032e+00	1.821986e-02	5.249204e-01
57	22	3	1.815585e+00	1.488924e-02	5.321450e-01
58	23	3	1.820079e+00	1.208712e-02	5.283207e-01
59	23	3	1.823678e+00	9.427530e-03	5.284720e-01
60	24	3	1.826482e+00	7.283723e-03	5.308905e-01
61	25	3	1.828898e+00	6.755839e-03	5.759474e-01
62	24	4	1.830212e+00	9.913528e-03	6.122970e-01
63	24	5	1.831678e+00	1.352740e-02	6.213976e-01
64	25	2	1.839208e+00	6.673097e-03	9.933269e-01
65	11	2	1.842429e+00	6.197432e-03	9.938026e-01
66	12	2	1.845255e+00	5.099382e-03	9.949006e-01
67	12	2	1.847909e+00	5.515979e-03	9.944840e-01
68	13	2	1.850820e+00	6.120922e-03	9.938791e-01
69	14	2	1.854219e+00	7.476533e-03	9.925235e-01
70	15	2	1.858182e+00	8.368878e-03	9.916311e-01
71	16	2	1.862145e+00	7.499300e-03	9.925007e-01
72	17	8	1.855051e+00	2.775265e-02	5.759448e-01
73	18	4	1.865904e+00	1.495622e-02	5.580015e-01
74	19	3	1.871334e+00	1.018683e-02	5.466455e-01
75	20	4	1.873110e+00	1.395762e-02	5.778688e-01
76	21	4	1.876639e+00	1.416166e-02	5.735158e-01
77	22	5	1.878143e+00	1.637739e-02	5.143993e-01
78	23	2	1.884642e+00	1.887251e-03	4.981127e-01
79	24	2	1.885269e+00	6.360063e-04	9.993640e-01
80	11	2	1.885617e+00	7.495328e-04	9.992505e-01
81	12	2	1.886193e+00	1.570068e-03	9.984299e-01
82	13	2	1.886829e+00	9.542613e-04	9.990457e-01
83	14	3	1.886790e+00	1.815835e-04	9.998184e-01
84	15	5	1.886384e+00	9.337961e-06	9.999907e-01
