# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
1 -165 4.235863853 7.811819667 4.959665824 0.8259673081 -625.5013085 57021.87698 -11202.36873 25606.64264
2 -165 3.389500261 5.685406315 4.84184549 0.3722149732 -18409.13205 43056.16901 -5848.062394 13738.75837
3 -165 1.817919376 5.462778215 4.861769156 0.4758798115 -14658.17508 25434.66526 -3042.437155 7451.983312
4 -165 0.9273182788 5.376456761 4.940415653 0.6050325575 -12560.60249 12660.22124 -2297.068901 5171.039904
5 -165 0.5218760035 5.350331436 5.02868607 0.6814351178 -11940.3053 6689.054521 -2130.469311 4870.566799
6 -165 0.3083984048 5.443808311 5.129356012 0.691047707 -12739.6599 6107.657087 -2438.371086 5941.325305
7 -165 0.2422771486 5.654565616 5.211439789 0.6924114117 -12683.29786 7267.403155 -2631.69988 6752.555082
8 -165 0.513856793 5.855004724 5.267762577 0.7101675369 -11768.38116 8128.628552 -2809.941981 7301.929582
9 -165 0.857162709 6.036511564 5.295405344 0.7567562046 -9757.016844 8777.425435 -3012.266829 7647.324243
10 -165 1.0519333 6.187763224 5.306271917 0.808360893 -7581.799228 9248.897014 -3214.11588 7881.401491
11 -165 1.261688605 6.307417422 5.304072099 0.8641842696 -5508.185711 9442.549442 -3311.956321 7903.898817
12 -165 1.274332142 6.417219666 5.294335943 0.9214989699 -4202.649505 9465.321307 -3380.749937 7854.468079
13 -165 1.328017446 6.527014969 5.287084218 0.9727038725 -2979.768411 9543.233242 -3529.35819 7978.908012
14 -165 1.344218627 6.612694461 5.283159921 1.022790186 -2177.87763 9417.991806 -3520.220289 7852.846525
15 -165 1.338363844 6.677872431 5.284613621 1.074519127 -1630.220251 9234.066605 -3471.449879 7662.400896
16 -165 1.289321821 6.729609945 5.293362623 1.129599703 -1243.358939 9009.695924 -3429.315021 7487.975328
17 -165 1.218297273 6.774513585 5.311615872 1.188777402 -894.7272064 8802.549006 -3427.99226 7397.515249
18 -165 1.132110068 6.817733644 5.340164914 1.25167126 -630.8219565 8573.937667 -3409.846996 7289.55813
19 -165 1.017920661 6.863782316 5.379047655 1.317136284 -455.0079909 8317.526536 -3381.919249 7174.491113
20 -165 0.8564880631 6.944239426 5.427512072 1.383239616 -347.3512704 8030.244475 -3338.625528 7037.363472
21 -165 0.6862583897 7.049848738 5.483445239 1.44751358 -248.3364659 7706.998713 -3269.949118 6858.592962
22 -165 0.5294190932 7.168838577 5.543837954 1.50671096 -156.5577939 7391.669666 -3200.477983 6686.368998
23 -165 0.4100546216 7.288206045 5.604948725 1.558747672 -105.1965838 7069.62481 -3107.143056 6475.831619
24 -165 0.3305084462 7.400402932 5.662636695 1.602152467 -58.67177477 6717.913137 -2970.700229 6187.279846
25 -165 0.2907982801 7.498787787 5.71317372 1.636790036 0.7953052116 6330.162591 -2798.009536 5830.162053
26 -165 0.2526767468 7.579132382 5.755086756 1.663310289 61.25427681 5951.269158 -2623.556139 5471.538021
27 -165 0.1946901947 7.639644209 5.788206691 1.683062905 133.1784925 5578.306271 -2445.809775 5105.944218
28 -165 0.1724853856 7.681215747 5.813836267 1.697593573 175.3437476 5190.366424 -2258.331409 4719.92477
29 -165 0.1621392214 7.708774812 5.834404768 1.708612574 207.5272586 4817.002328 -2102.374166 4391.235287
30 -165 0.1443508075 7.726182413 5.853334461 1.717561559 239.6267607 4485.529093 -1979.82749 4126.16146
31 -165 0.14672624 7.73674849 5.873735834 1.725314956 240.4336802 4185.108778 -1875.683439 3898.125882
32 -165 0.1147653619 7.74500474 5.897573899 1.732545022 178.1078198 3901.158939 -1788.024616 3703.995912
33 -165 0.07514574156 7.755702134 5.92512495 1.740530211 89.2772738 3623.353314 -1701.939156 3514.452567
34 -165 0.045798926 7.772537496 5.956524066 1.749883259 1.082341049 3383.403797 -1637.17724 3369.496871
35 -165 0.06211420854 7.797954414 5.991349207 1.760535997 -74.71941115 3155.600447 -1568.470795 3220.583011
36 -165 0.06839486831 7.834448101 6.02686871 1.774921207 -181.7121039 2941.298314 -1499.002427 3072.425046
37 -165 0.09406546126 7.878777371 6.059456146 1.795119355 -355.5865294 2746.085049 -1425.248353 2918.189553
38 -165 0.1295598482 7.92595694 6.088920825 1.817846425 -521.207911 2569.431129 -1350.557612 2763.976036
39 -165 0.1846020145 7.973130584 6.117136285 1.838263817 -668.8538635 2397.037465 -1265.128857 2589.105043
40 -165 0.1639913181 8.017197504 6.143407452 1.85554538 -793.8501873 2238.014834 -1180.980385 2417.169458
41 -165 0.04828310488 8.055525547 6.167262492 1.869697285 -951.0197489 2095.679819 -1097.381747 2247.801637
42 -165 0.07543065204 8.086495992 6.188550888 1.880743927 -1103.994135 1961.002746 -1009.649656 2071.533707
43 -165 0.0581939191 8.109341127 6.207440252 1.889132753 -1293.406069 1841.081433 -929.6139095 1911.518639
44 -165 0.06049812997 8.124550902 6.224197697 1.895628672 -1466.666902 1738.668821 -854.5393987 1762.831774
45 -165 0.1089995553 8.13450277 6.239588675 1.900938918 -1663.40357 1665.669643 -794.3415548 1646.609261
46 -165 0.0966401661 8.141312789 6.25368565 1.905505686 -1898.343643 1585.259448 -729.8711057 1523.943635
47 -165 0.01326385129 8.147026636 6.266744517 1.909894527 -2131.917109 1518.56923 -672.3720128 1418.346011
48 -165 0.001961801684 8.153622302 6.278283242 1.914591694 -2356.667661 1448.708826 -613.0170888 1311.657341
49 -165 0.001393693716 8.163708571 6.288107854 1.919672441 -2565.914541 1383.968854 -556.18263 1212.951193
50 -165 0.00102356342 8.173196643 6.29569733 1.925136719 -2754.635597 1313.746981 -499.0346661 1115.873681
