# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
1 164.9306891 3.637698967 7.568308387 4.769276037 0.6674202414 -2.651760507 9.531881761 0.1990867962 2.674619901
2 165.1446431 2.754231474 5.887350483 4.753763457 0.3610710141 -800.5280917 8780.320352 -37.91035147 1505.267686
3 165.0198757 1.145996969 5.379226736 4.819616645 0.4010269405 -1573.303756 13639.28343 -321.5629957 2253.637625
4 164.9646664 0.5943627876 5.234441508 4.927777251 0.4584913101 -2212.217127 14986.95199 -626.7970152 2444.359028
5 164.9554853 0.5913406831 5.233328598 5.032690574 0.5071261434 -2763.887666 14657.45647 -840.9038732 2499.844319
6 164.960227 0.003629072365 5.41366267 5.11482624 0.5659060247 -3243.116738 13781.81436 -970.4809355 2635.090535
7 164.9765307 0.01108823322 5.615265987 5.17368341 0.6313912657 -3698.999787 12669.4961 -1044.181122 2828.072204
8 164.9968078 0.07451904318 5.807002077 5.208371345 0.7084534438 -4153.200167 11618.03616 -1082.77793 3039.900256
9 165.0215677 0.167402608 5.982082963 5.224537104 0.7835058182 -4669.74851 10775.68225 -1098.479789 3223.749991
10 165.0240493 0.4892489413 6.131300755 5.22830885 0.8472247611 -5121.889752 10009.37528 -1100.388423 3363.457975
11 165.0083777 0.8121716803 6.253688598 5.225957684 0.8988014473 -5502.095644 9498.788229 -1096.501683 3457.27095
12 165.0069951 0.8198075772 6.372565829 5.221670584 0.9468480772 -5809.545943 9148.462781 -1092.969655 3511.312536
13 165.0149508 0.8375547522 6.485684195 5.219266977 0.9917398502 -6049.139609 8866.434463 -1093.517433 3533.313291
14 165.0148569 0.8423303464 6.5741202 5.22062224 1.035731117 -6228.712683 8637.115831 -1100.14701 3530.710085
15 165.0168502 0.852148974 6.641988599 5.227960163 1.081582386 -6356.029212 8433.199383 -1113.745048 3509.343233
16 165.015947 0.8855444856 6.696038092 5.242585454 1.131583777 -6437.720686 8226.913753 -1133.708882 3472.849804
17 165.0010827 0.8578691657 6.742221276 5.266169632 1.186269114 -6478.716341 7998.188251 -1158.920876 3423.234536
18 164.9886232 0.7348704981 6.786469124 5.299837437 1.245580533 -6482.672551 7728.970459 -1187.050325 3361.999221
19 164.993685 0.747284886 6.833681079 5.343919932 1.308316824 -6452.926277 7412.431534 -1215.087519 3290.690444
20 164.9994758 0.6397848419 6.912188746 5.39755129 1.371487097 -6392.037986 7047.267969 -1240.019772 3210.723452
21 165.0008094 0.5154853902 7.020178429 5.458605144 1.432360307 -6302.840144 6675.310762 -1258.70351 3123.30622
22 165.0004218 0.3828560432 7.141342886 5.523361072 1.489202893 -6187.782852 6260.728624 -1267.933811 3029.784158
23 165.0031485 0.2940700334 7.263205333 5.587561098 1.540102932 -6047.093056 5818.270044 -1265.223886 2930.894012
24 165.0060398 0.2167949382 7.378161364 5.647032328 1.583574889 -5883.463731 5360.460905 -1249.533877 2826.971537
25 165.0068511 0.1542825468 7.479383289 5.698073735 1.619808963 -5700.194336 4907.450149 -1221.267609 2718.128506
26 165.0080015 0.1421874607 7.562520285 5.739451128 1.648746403 -5500.4997 4487.105834 -1182.159817 2604.599739
27 165.0080698 0.08648104075 7.625669566 5.771843448 1.670748174 -5287.724257 4117.594031 -1134.998388 2487.112677
28 165.0073793 0.095237317 7.669609752 5.797377605 1.686713306 -5065.29378 3783.640157 -1083.017359 2366.858074
29 165.0128273 0.1217373345 7.700371083 5.818987422 1.698283014 -4836.646646 3487.14743 -1029.259589 2245.334517
30 165.0185653 0.1143874482 7.720129516 5.839872001 1.706764057 -4604.435257 3233.531039 -976.3281559 2123.736822
31 165.0228254 0.08274132599 7.732761966 5.863120946 1.712878989 -4370.320743 3015.178053 -925.9518618 2003.047635
32 165.0273485 0.05559954214 7.74317891 5.890905268 1.717192945 -4136.368071 2820.791297 -878.902651 1884.186584
33 165.0286246 0.001261068182 7.756072858 5.923383385 1.721444387 -3903.285619 2648.48971 -835.2668477 1767.894272
