# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
1 -165 4.235863853 7.811819667 4.959665824 0.8259673081 -625.5013085 57021.87698 -11202.36873 25606.64264
2 -165 3.389500261 5.685406315 4.84184549 0.3722149732 -18409.13205 43056.16901 -5848.062394 13738.75837
3 -165 1.817919376 5.462778215 4.861769156 0.4758798115 -14658.17508 25434.66526 -3042.437155 7451.983312
4 -165 0.9273182788 5.376456761 4.940415653 0.6050325575 -12560.60249 12660.22124 -2297.068901 5171.039904
5 -165 0.5218760035 5.350331436 5.02868607 0.6814351178 -11940.3053 6689.054521 -2130.469311 4870.566799
6 -165 0.3083984048 5.443808311 5.129356012 0.691047707 -12739.6599 6107.657087 -2438.371086 5941.325305
7 -165 0.2422771486 5.654565616 5.211439789 0.6924114117 -12683.29786 7267.403155 -2631.69988 6752.555082
8 -165 0.513856793 5.855004724 5.267762577 0.7101675369 -11768.38116 8128.628552 -2809.941981 7301.929582
9 -165 0.857162709 6.036511564 5.295405344 0.7567562046 -9757.016844 8777.425435 -3012.266829 7647.324243
10 -165 1.0519333 6.187763224 5.306271917 0.808360893 -7581.799228 9248.897014 -3214.11588 7881.401491
