# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
1 164.9306891 3.637698967 7.568308387 4.769276037 0.6674202414 -2.651760507 9.531881761 0.1990867962 2.674619901
2 165.1446431 2.754231474 5.887350483 4.753763457 0.3610710141 -800.5280917 8780.320352 -37.91035147 1505.267686
3 165.0198757 1.145996969 5.379226736 4.819616645 0.4010269405 -1573.303756 13639.28343 -321.5629957 2253.637625
4 164.9646664 0.5943627876 5.234441508 4.927777251 0.4584913101 -2212.217127 14986.95199 -626.7970152 2444.359028
5 164.9554853 0.5913406831 5.233328598 5.032690574 0.5071261434 -2763.887666 14657.45647 -840.9038732 2499.844319
6 164.960227 0.003629072365 5.41366267 5.11482624 0.5659060247 -3243.116738 13781.81436 -970.4809355 2635.090535
7 164.9765307 0.01108823322 5.615265987 5.17368341 0.6313912657 -3698.999787 12669.4961 -1044.181122 2828.072204
8 164.9968078 0.07451904318 5.807002077 5.208371345 0.7084534438 -4153.200167 11618.03616 -1082.77793 3039.900256
9 165.0215677 0.167402608 5.982082963 5.224537104 0.7835058182 -4669.74851 10775.68225 -1098.479789 3223.749991
10 165.0240493 0.4892489413 6.131300755 5.22830885 0.8472247611 -5121.889752 10009.37528 -1100.388423 3363.457975
