# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev
1	2.070354001e-05	( -1.98 -0.003333333334 -7.12756167e-19 )	0.8608476522	( -0.38 0.09666666667 0 )	0.0541703669	0.1998617776	0.102931504	( 1.98 0.09666666667 0 )	981.1454743	( -1.94 0.09666666667 0 )	490.2865639	488.5752666
2	0.0001856773208	( -1.98 0.003333333333 -7.12756167e-19 )	1.857967464	( 1.46 0.09666666667 0 )	0.1342089624	0.4201185216	0.6323819056	( 1.98 -0.07 0 )	1040.419244	( -1.94 0.09666666667 0 )	521.6685118	488.5695032
3	0.0001949911426	( -1.98 -0.003333333334 -7.12756167e-19 )	2.734384172	( 1.46 0.09666666667 0 )	0.2526195839	0.5951180952	0.761244826	( 1.98 -0.07 0 )	1034.302478	( -1.94 0.09666666667 0 )	519.0778622	479.4335928
4	0.0002383990512	( -1.98 0.003333333333 -7.12756167e-19 )	3.575017444	( 1.5 0.09666666667 0 )	0.3691416364	0.7572776942	0.6055756134	( 1.98 -0.09 0 )	999.2013011	( -1.94 0.09666666667 0 )	500.9060327	466.3489138
5	0.0002468137569	( -1.98 0.003333333333 -7.12756167e-19 )	4.405505118	( 1.98 0.09666666667 0 )	0.4664632106	0.9149419411	0.4472878843	( 1.98 -0.09 0 )	953.9976882	( -1.94 -0.09666666667 0 )	476.5051524	451.784458
6	0.0002556583671	( -1.98 -0.003333333334 -7.12756167e-19 )	5.225272316	( 1.98 0.09666666667 0 )	0.5427388367	1.068580417	0.2997806008	( 1.98 -0.09 0 )	924.3083583	( -1.94 -0.09666666667 0 )	460.3192101	441.5269991
7	0.0002558365351	( -1.98 -0.003333333334 -7.12756167e-19 )	6.004035774	( 1.98 0.09666666667 0 )	0.6060784743	1.211880598	0.3667388989	( 1.98 -0.09 0 )	913.9434314	( -1.94 -0.09666666667 0 )	455.0763819	436.2891851
8	0.0002553667802	( -1.98 -0.003333333334 -7.12756167e-19 )	6.704404435	( 1.94 0.09666666667 0 )	0.6626541383	1.337685742	0.4360272481	( 1.98 -0.09 0 )	913.3877008	( -1.94 -0.09666666667 0 )	455.1840857	433.9428861
9	0.0002513474514	( -1.98 0.003333333333 -7.12756167e-19 )	7.275323457	( 1.94 0.09666666667 0 )	0.7122638041	1.438595376	0.4528457728	( 1.98 -0.09 0 )	913.345289	( -1.94 -0.09666666667 0 )	455.5389258	432.2813031
10	0.0002488342275	( -1.98 -0.003333333334 -7.12756167e-19 )	7.60827816	( 1.94 0.09666666667 0 )	0.7610283388	1.496509408	0.3829875619	( 1.98 -0.09 0 )	907.8245845	( -1.94 -0.09666666667 0 )	452.502491	429.7918863
11	0.0002436587267	( -1.98 0.003333333333 -7.12756167e-19 )	7.657330461	( 1.94 0.09666666667 0 )	0.8064828354	1.499222249	0.2924867393	( 1.98 -0.09 0 )	897.5916099	( -1.94 -0.09666666667 0 )	446.5561278	426.6357407
12	0.0002414963084	( -1.98 -0.003333333334 -7.12756167e-19 )	7.874174984	( 1.94 0.09666666667 0 )	0.8465681321	1.522333463	0.2631391303	( 1.98 -0.09 0 )	893.2036318	( -1.94 -0.09666666667 0 )	444.0790394	425.3530227
13	0.0002374326476	( -1.98 0.003333333333 -7.12756167e-19 )	8.074641101	( 1.94 0.09666666667 0 )	0.8816049373	1.544857698	0.2770104967	( 1.98 -0.09 0 )	893.3490668	( -1.94 -0.09666666667 0 )	444.2298561	425.366982
14	0.0002367538867	( -1.98 0.003333333333 -7.12756167e-19 )	8.256648647	( 1.94 0.09666666667 0 )	0.9127516985	1.565031692	0.2981145012	( 1.98 -0.09 0 )	895.6973974	( -1.94 -0.09666666667 0 )	445.627818	425.9591691
15	0.0002338775507	( -1.98 -0.003333333334 -7.12756167e-19 )	8.417449438	( 1.98 0.09666666667 0 )	0.9404923502	1.582145902	0.3092997153	( 1.98 0.09 0 )	897.8370419	( -1.94 -0.09666666667 0 )	446.8802669	426.473533
16	0.0002326494449	( -1.98 0.003333333333 -7.12756167e-19 )	8.557218735	( 1.98 0.09666666667 0 )	0.9645826466	1.595727732	0.3050325913	( 1.98 0.09 0 )	898.2685948	( -1.94 -0.09666666667 0 )	447.1326378	426.4553786
17	0.000231474205	( -1.98 0.003333333333 -7.12756167e-19 )	8.678450135	( 1.98 0.09666666667 0 )	0.9849055829	1.606438089	0.2927664645	( 1.98 0.09 0 )	897.4170864	( -1.94 0.09666666667 0 )	446.6426425	426.0522347
18	0.0002312818334	( -1.98 0.003333333333 -7.12756167e-19 )	8.781427244	( 1.98 0.09666666667 0 )	1.001572389	1.61479809	0.2868225918	( 1.98 0.09 0 )	896.1398232	( -1.94 0.09666666667 0 )	445.9100806	425.5382594
19	0.0002294524457	( -1.98 -0.003333333334 -7.12756167e-19 )	8.865373566	( 1.98 0.09666666667 0 )	1.015163044	1.621124668	0.2843662479	( 1.98 0.09 0 )	895.3772069	( -1.94 0.09666666667 0 )	445.4917139	425.1996946
20	0.0002302023015	( -1.98 0.003333333333 -7.12756167e-19 )	8.929509817	( 1.98 0.09666666667 0 )	1.025917668	1.625363932	0.28675897	( 1.98 0.09 0 )	895.0590328	( -1.94 0.09666666667 0 )	445.316985	425.0699347
21	0.00022874771	( -1.98 -0.003333333334 -7.12756167e-19 )	8.973887879	( 1.98 0.09666666667 0 )	1.034979312	1.627466598	0.285185693	( 1.98 0.09 0 )	895.3852365	( -1.94 0.09666666667 0 )	445.5300083	425.1220448
22	0.000229411173	( -1.98 -0.003333333334 -7.12756167e-19 )	8.999289629	( 1.98 0.09666666667 0 )	1.044603252	1.626227627	0.2839156948	( 1.98 0.09 0 )	895.8430342	( -1.94 0.09666666667 0 )	445.8397875	425.1801484
23	0.0002282652461	( -1.98 -0.003333333334 -7.12756167e-19 )	9.007035256	( 1.98 0.09666666667 0 )	1.053579149	1.622594669	0.2828253162	( 1.98 0.09 0 )	896.1773254	( -1.94 0.09666666667 0 )	446.0817608	425.1958979
24	0.0002290735976	( -1.98 -0.003333333334 -7.12756167e-19 )	8.999024993	( 1.98 0.09666666667 0 )	1.06142633	1.617775583	0.280184427	( 1.98 0.09 0 )	896.1971318	( -1.94 0.09666666667 0 )	446.1243457	425.1536351
25	0.000227970284	( -1.98 -0.003333333334 -7.12756167e-19 )	8.977173761	( 1.98 0.09666666667 0 )	1.067985223	1.612141452	0.2773113866	( 1.98 0.09 0 )	896.3912437	( -1.94 0.09666666667 0 )	446.2559221	425.1873754
26	0.0002287578627	( -1.98 -0.003333333334 -7.12756167e-19 )	8.943158031	( 1.98 0.09666666667 0 )	1.073323773	1.605860106	0.2750518527	( 1.98 0.09 0 )	896.5485596	( -1.94 0.09666666667 0 )	446.3516582	425.2212829
27	0.0002277830367	( -1.98 0.003333333333 -7.12756167e-19 )	8.89904389	( 1.98 0.09666666667 0 )	1.077436529	1.599020219	0.2732431429	( 1.98 0.09 0 )	896.5770949	( -1.94 0.09666666667 0 )	446.3577545	425.2236933
28	0.0002285391892	( -1.98 0.003333333333 -7.12756167e-19 )	8.847157602	( 1.98 0.09666666667 0 )	1.080237123	1.591536665	0.2721563606	( 1.98 0.09 0 )	896.5132027	( -1.94 -0.09666666667 0 )	446.3181583	425.1944331
29	0.0002275981767	( -1.98 0.003333333333 -7.12756167e-19 )	8.789295804	( 1.98 0.09666666667 0 )	1.081779667	1.583468031	0.2709435951	( 1.98 0.09 0 )	896.3645535	( -1.94 -0.09666666667 0 )	446.2421305	425.1216464
