# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev
1	2.070354001e-05	( -1.98 -0.003333333334 -7.12756167e-19 )	0.8608476522	( -0.38 0.09666666667 0 )	0.0541703669	0.1998617776	0.102931504	( 1.98 0.09666666667 0 )	981.1454743	( -1.94 0.09666666667 0 )	490.2865639	488.5752666
2	0.0001856773208	( -1.98 0.003333333333 -7.12756167e-19 )	1.857967464	( 1.46 0.09666666667 0 )	0.1342089624	0.4201185216	0.6323819056	( 1.98 -0.07 0 )	1040.419244	( -1.94 0.09666666667 0 )	521.6685118	488.5695032
3	0.0001949911426	( -1.98 -0.003333333334 -7.12756167e-19 )	2.734384172	( 1.46 0.09666666667 0 )	0.2526195839	0.5951180952	0.761244826	( 1.98 -0.07 0 )	1034.302478	( -1.94 0.09666666667 0 )	519.0778622	479.4335928
4	0.0002383990512	( -1.98 0.003333333333 -7.12756167e-19 )	3.575017444	( 1.5 0.09666666667 0 )	0.3691416364	0.7572776942	0.6055756134	( 1.98 -0.09 0 )	999.2013011	( -1.94 0.09666666667 0 )	500.9060327	466.3489138
5	0.0002468137569	( -1.98 0.003333333333 -7.12756167e-19 )	4.405505118	( 1.98 0.09666666667 0 )	0.4664632106	0.9149419411	0.4472878843	( 1.98 -0.09 0 )	953.9976882	( -1.94 -0.09666666667 0 )	476.5051524	451.784458
6	0.0002556583671	( -1.98 -0.003333333334 -7.12756167e-19 )	5.225272316	( 1.98 0.09666666667 0 )	0.5427388367	1.068580417	0.2997806008	( 1.98 -0.09 0 )	924.3083583	( -1.94 -0.09666666667 0 )	460.3192101	441.5269991
7	0.0002558365351	( -1.98 -0.003333333334 -7.12756167e-19 )	6.004035774	( 1.98 0.09666666667 0 )	0.6060784743	1.211880598	0.3667388989	( 1.98 -0.09 0 )	913.9434314	( -1.94 -0.09666666667 0 )	455.0763819	436.2891851
8	0.0002553667802	( -1.98 -0.003333333334 -7.12756167e-19 )	6.704404435	( 1.94 0.09666666667 0 )	0.6626541383	1.337685742	0.4360272481	( 1.98 -0.09 0 )	913.3877008	( -1.94 -0.09666666667 0 )	455.1840857	433.9428861
9	0.0002513474514	( -1.98 0.003333333333 -7.12756167e-19 )	7.275323457	( 1.94 0.09666666667 0 )	0.7122638041	1.438595376	0.4528457728	( 1.98 -0.09 0 )	913.345289	( -1.94 -0.09666666667 0 )	455.5389258	432.2813031
10	0.0002488342275	( -1.98 -0.003333333334 -7.12756167e-19 )	7.60827816	( 1.94 0.09666666667 0 )	0.7610283388	1.496509408	0.3829875619	( 1.98 -0.09 0 )	907.8245845	( -1.94 -0.09666666667 0 )	452.502491	429.7918863
