# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev
1	2.421080036e-05	( 0.15 0.008333333333 8.263953425e-19 )	1.029831126	( 1.18 -0.09722222222 0 )	0.05575846349	0.2041219966	0.1407691353	( 1.98 0.09722222222 0 )	504.2116168	( -1.94 -0.0962962963 0 )	252.9301238	247.2327886
2	0.0001282000199	( -1.98 -2.168404345e-19 -6.505213035e-19 )	2.261679055	( 1.22 0.09722222222 0 )	0.1404019094	0.4312018667	0.7276511319	( 1.98 -0.09166666667 0 )	579.562807	( -1.94 -0.0962962963 0 )	292.4881666	257.9916965
3	0.0001511602903	( -1.98 -2.168404345e-19 -6.505213035e-19 )	3.348178661	( 1.66 0.09722222222 0 )	0.2594133161	0.6143698915	0.8055752321	( 1.98 -0.08611111111 0 )	584.7099735	( -1.94 -0.0962962963 0 )	294.7129348	256.1018541
4	0.0001451050193	( -1.98 -2.168404345e-19 -6.505213035e-19 )	4.390753933	( 1.66 0.09722222222 0 )	0.3734861298	0.7849944836	0.6358481497	( 1.98 -0.09166666667 0 )	557.5966062	( -1.94 -0.0962962963 0 )	279.3251791	247.9563654
5	0.0001471122746	( -1.98 -2.168404345e-19 -6.505213035e-19 )	5.402089651	( 1.94 0.09722222222 0 )	0.4672379732	0.9499538363	0.4496837138	( 1.98 -0.09166666667 0 )	525.8422144	( -1.94 -0.0962962963 0 )	262.0249258	238.8918772
6	0.0001124666397	( 0.0425 0.002777777778 -7.228014483e-19 )	6.363317057	( 1.94 0.09722222222 0 )	0.5420344873	1.107212156	0.3802641018	( 1.98 -0.09166666667 0 )	507.9964863	( -1.94 -0.0962962963 0 )	252.6989809	233.0138161
7	0.0001515735567	( -1.98 -2.168404345e-19 -6.505213035e-19 )	7.221699991	( 1.94 0.09722222222 0 )	0.605146368	1.249252594	0.3908562877	( 1.98 -0.09166666667 0 )	503.5351607	( -1.94 -0.0962962963 0 )	250.6226541	230.4009628
8	0.0001495066354	( -1.98 -2.168404345e-19 -6.505213035e-19 )	7.880743076	( 1.94 0.09722222222 0 )	0.6635324959	1.364778106	0.4037199811	( 1.98 -0.09166666667 0 )	504.0742079	( -1.94 -0.0962962963 0 )	250.7691945	229.3061542
9	0.000146022883	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.152977504	( 1.94 0.09722222222 0 )	0.7192108119	1.437894548	0.3569653737	( 1.98 -0.09166666667 0 )	502.0544732	( -1.94 -0.0962962963 0 )	248.8272069	228.0893884
10	0.0001429268292	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.276237645	( 1.94 0.09722222222 0 )	0.7669262955	1.482091011	0.3040670923	( 1.98 -0.09166666667 0 )	496.804297	( -1.94 -0.0962962963 0 )	245.2249216	226.2300411
11	0.0001403363957	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.534756996	( 1.94 0.09722222222 0 )	0.8084691609	1.522436003	0.3045096292	( 1.98 0.09166666667 0 )	492.5035654	( -1.94 -0.0962962963 0 )	243.3392609	224.4233499
12	0.000138354181	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.774466145	( 1.94 0.09722222222 0 )	0.8479240626	1.5420806	0.317507143	( 1.98 0.09166666667 0 )	489.3358291	( -1.94 0.0962962963 0 )	242.4951928	223.0445805
13	0.0001370360124	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.988535206	( 1.94 0.09722222222 0 )	0.8830949441	1.565710689	0.3233034159	( 1.98 0.09166666667 0 )	489.4818781	( -1.94 0.0962962963 0 )	242.9599312	223.0336668
14	0.000135665253	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.175929019	( 1.94 0.09722222222 0 )	0.9142130828	1.586421995	0.3164385086	( 1.98 0.09166666667 0 )	490.9956305	( -1.94 0.0962962963 0 )	243.6906564	223.657629
15	0.0001344854376	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.341663874	( 1.98 0.09722222222 0 )	0.9416327822	1.604029738	0.3048511389	( 1.98 0.09166666667 0 )	492.1206197	( -1.94 0.0962962963 0 )	243.9998962	224.1283769
16	0.0001334876284	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.48734626	( 1.98 0.09722222222 0 )	0.9653488979	1.618712391	0.2970834273	( 1.98 0.09166666667 0 )	492.1018526	( -1.94 0.0962962963 0 )	243.771332	224.0772886
17	0.0001326744326	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.610441421	( 1.98 0.09722222222 0 )	0.9861123768	1.630075029	0.2940831756	( 1.98 0.09166666667 0 )	491.3025472	( -1.94 0.0962962963 0 )	243.2925745	223.6505838
18	0.0001320240561	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.709779662	( 1.98 0.09722222222 0 )	1.006019191	1.637824404	0.2929453204	( 1.98 0.09166666667 0 )	490.3232893	( -1.94 0.0962962963 0 )	242.84745	223.1266461
19	0.0001317062338	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.784976522	( 1.98 0.09722222222 0 )	1.023775291	1.642764463	0.2909936921	( 1.98 0.09166666667 0 )	489.9651631	( -1.94 0.0962962963 0 )	242.7501119	222.8889316
20	0.0001314358506	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.836696174	( 1.98 0.09722222222 0 )	1.039201876	1.645376069	0.288089621	( 1.98 0.09166666667 0 )	489.8826956	( -1.94 0.0962962963 0 )	242.783045	222.7840206
21	0.0001309018574	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.866265056	( 1.98 0.09722222222 0 )	1.052631025	1.646391446	0.2859545005	( 1.98 0.09166666667 0 )	490.2537575	( -1.94 0.0962962963 0 )	243.042994	222.8730736
22	0.0001307299178	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.875024226	( 1.98 0.09722222222 0 )	1.064299589	1.645952973	0.2831740377	( 1.98 0.09166666667 0 )	490.563601	( -1.94 0.0962962963 0 )	243.2122527	222.963368
23	0.0001305658063	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.864810197	( 1.98 0.09722222222 0 )	1.074385735	1.644296985	0.2813299138	( 1.98 0.09166666667 0 )	490.7125977	( -1.94 0.0962962963 0 )	243.2714631	222.9883553
24	0.0001305468646	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.837826628	( 1.98 0.09722222222 0 )	1.083199466	1.641727008	0.2800951382	( 1.98 0.09166666667 0 )	490.6960783	( -1.94 0.0962962963 0 )	243.2518668	222.9359137
25	0.0001304605386	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.796433231	( 1.98 0.09722222222 0 )	1.091521118	1.638473197	0.2791010698	( 1.98 0.09166666667 0 )	490.6023231	( -1.94 -0.0962962963 0 )	243.216543	222.8429816
26	0.0001304243013	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.743145155	( 1.98 0.09722222222 0 )	1.099300262	1.63480253	0.2778736423	( 1.98 0.09166666667 0 )	490.4950081	( -1.94 -0.0962962963 0 )	243.1913958	222.7484933
27	0.0001304028314	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.680929974	( 1.98 0.09722222222 0 )	1.106398596	1.630938287	0.2764416531	( 1.98 0.09166666667 0 )	490.4217717	( -1.94 -0.0962962963 0 )	243.1850222	222.6865013
28	0.0001303772981	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.611935325	( 1.98 0.09722222222 0 )	1.112876386	1.626857563	0.2753369066	( 1.98 0.09166666667 0 )	490.4086891	( -1.94 -0.0962962963 0 )	243.1974472	222.6677948
29	0.0001303647099	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.538402582	( 1.98 0.09722222222 0 )	1.118870587	1.622356106	0.2745679611	( 1.98 0.09166666667 0 )	490.4245106	( -1.94 -0.0962962963 0 )	243.2002176	222.6781402
30	0.0001303711927	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.462448472	( 1.98 0.09722222222 0 )	1.124660431	1.617266868	0.2741661001	( 1.98 0.09166666667 0 )	490.4543089	( -1.94 -0.0962962963 0 )	243.1960491	222.7015651
31	0.000130333623	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.385961046	( 1.98 0.09722222222 0 )	1.130293862	1.612471436	0.2738848815	( 1.98 0.09166666667 0 )	490.4867803	( -1.94 -0.0962962963 0 )	243.1917628	222.7287599
32	0.0001303288776	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.310571825	( 1.98 0.09722222222 0 )	1.135768257	1.608291184	0.273795953	( 1.98 0.09166666667 0 )	490.5158144	( -1.94 -0.0962962963 0 )	243.1889378	222.7558627
33	0.0001303208414	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.237640694	( 1.98 0.09722222222 0 )	1.141118475	1.604556459	0.2741544956	( 1.98 0.09166666667 0 )	490.5315552	( -1.94 -0.0962962963 0 )	243.1841292	222.7784227
34	0.0001302712442	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.168309258	( 1.98 0.09722222222 0 )	1.146491026	1.601364455	0.2742469445	( 1.98 0.09166666667 0 )	490.5182621	( -1.94 -0.0962962963 0 )	243.1535381	222.7970116
35	0.0001302280144	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.103497481	( 1.98 0.09722222222 0 )	1.152110033	1.598638816	0.2740857083	( 1.98 0.09166666667 0 )	490.5076277	( -1.94 -0.0962962963 0 )	243.1144948	222.8250865
36	0.0001301972796	( -1.98 -2.168404345e-19 -6.505213035e-19 )	9.043938174	( 1.98 0.09722222222 0 )	1.158667079	1.595945281	0.2739361474	( 1.98 0.09166666667 0 )	490.5118117	( -1.94 -0.0962962963 0 )	243.0761851	222.8649132
37	0.000130217389	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.990174983	( 1.98 0.09722222222 0 )	1.16536925	1.593675765	0.274215541	( 1.98 0.09166666667 0 )	490.5109427	( -1.94 -0.0962962963 0 )	243.0294003	222.9096225
38	0.0001302024472	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.94251341	( 1.98 0.09722222222 0 )	1.172154365	1.591918712	0.2751371209	( 1.98 0.09166666667 0 )	490.4995067	( -1.94 -0.0962962963 0 )	242.9761086	222.950608
39	0.0001301644202	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.901114592	( 1.98 0.09722222222 0 )	1.178976359	1.590593589	0.2763844045	( 1.98 0.09166666667 0 )	490.4730125	( -1.94 -0.0962962963 0 )	242.9145765	222.9875787
40	0.0001301356397	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.866014855	( 1.98 0.09722222222 0 )	1.185821358	1.589690883	0.277878416	( 1.98 0.09166666667 0 )	490.4649298	( -1.94 -0.0962962963 0 )	242.8644335	223.0305313
41	0.0001301411172	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.837156085	( 1.98 0.09722222222 0 )	1.192646165	1.58919664	0.2792406746	( 1.98 0.09166666667 0 )	490.4837821	( -1.94 -0.0962962963 0 )	242.8280403	223.0820081
42	0.0001300998028	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.814432997	( 1.98 0.09722222222 0 )	1.199410649	1.589060665	0.2802058195	( 1.98 0.09166666667 0 )	490.513363	( -1.94 -0.0962962963 0 )	242.7967231	223.1364426
43	0.0001301164117	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.797691008	( 1.98 0.09722222222 0 )	1.206078289	1.5892164	0.2808511677	( 1.98 0.09166666667 0 )	490.544129	( -1.94 -0.0962962963 0 )	242.7693082	223.1888654
