# Force          
# CofR           : ( 0.0000000000e+00 5.0000000000e+01 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
1                	( 8.8576696536e+04 -3.1466720611e+04 -4.4309803269e+03 )	( 5.5142763092e+04 9.3988223252e+02 -6.0681480681e+03 )	( 4.6954443722e+01 5.6648637786e-03 4.8771228738e-01 )	( 3.3386979000e+04 -3.2406608509e+04 1.6366800289e+03 )
2                	( 4.4584586177e+04 -1.8417838885e+04 -5.2077745565e+02 )	( 2.3996822696e+04 1.4866539750e+03 -3.4227764537e+03 )	( -2.5770137684e+02 1.9329011022e-02 1.7354282434e+01 )	( 2.0845464857e+04 -1.9904512189e+04 2.8846447157e+03 )
3                	( -1.2899453046e+04 -1.0440900399e+04 4.6460452791e+03 )	( -2.5836976180e+04 1.7352152753e+03 1.5532220294e+03 )	( -1.4889261506e+02 2.1812495125e-01 1.2702448089e+01 )	( 1.3086415749e+04 -1.2176333799e+04 3.0801208016e+03 )
4                	( -4.4737317877e+04 -5.8113178696e+03 7.0113479548e+03 )	( -5.3099259315e+04 1.7370129265e+03 4.5813878172e+03 )	( -7.5105685620e+01 5.0198768170e-01 8.6907646173e+00 )	( 8.4370471240e+03 -7.5488327838e+03 2.4212693729e+03 )
5                	( -2.6938975139e+04 -3.1463464902e+03 4.4306346186e+03 )	( -3.2564309931e+04 1.6150000219e+03 2.9442705013e+03 )	( -8.5567822442e+00 4.4687928401e-01 2.4479278010e+00 )	( 5.6338915743e+03 -4.7617933914e+03 1.4839161895e+03 )
6                	( 2.1595101871e+03 -1.5612710312e+03 1.0440525504e+03 )	( -1.7486882957e+03 1.4483504275e+03 2.4576539640e+02 )	( 3.9667455426e+01 2.4939505057e-01 -1.1637951441e-01 )	( 3.8685310273e+03 -3.0098708538e+03 7.9840353355e+02 )
7                	( 1.8435702758e+04 -5.5540100734e+02 -6.2251438246e+02 )	( 1.5701203771e+04 1.2829154919e+03 -1.1914093771e+03 )	( 4.9916962105e+01 2.1568827036e-01 -3.1152615774e+00 )	( 2.6845820252e+03 -1.8385321875e+03 5.7201025620e+02 )
8                	( 1.8507049576e+04 8.4561653574e+01 -4.3724676928e+02 )	( 1.6590495026e+04 1.1310777282e+03 -1.1212069292e+03 )	( 3.5707761456e+01 1.3168955112e-01 -1.8842680665e+00 )	( 1.8808467887e+03 -1.0466477642e+03 6.8584442797e+02 )
9                	( 1.0686846726e+04 4.6072705096e+02 6.8502173299e+02 )	( 9.3087797902e+03 9.9474799347e+02 -2.1961395625e+02 )	( 2.0293006054e+01 1.6804340778e-01 -4.0424227008e-01 )	( 1.3577739292e+03 -5.3418898592e+02 9.0503993152e+02 )
10               	( 3.5413864762e+03 6.4718527425e+02 1.7381089472e+03 )	( 2.4897770405e+03 8.7376648828e+02 6.5720838188e+02 )	( 1.0344747324e+01 2.1356494807e-01 9.6491002724e-01 )	( 1.0412646884e+03 -2.2679477897e+02 1.0799356553e+03 )
