# Moment         
# CofR           : ( 0.0000000000e+00 5.0000000000e+01 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)	(porous_x porous_y porous_z)
1                	( 8.2757424474e+03 2.2366519461e+04 -7.5013762634e+03 )	( -2.4783496604e+02 1.3911998025e+04 -7.8811388689e+02 )	( -1.4766387625e-02 1.3214526012e+01 -1.1178258912e+00 )	( 8.5235921798e+03 8.4413069092e+03 -6.7121445506e+03 )
2                	( 4.8410912182e+03 1.1480323548e+04 -4.1439306743e+03 )	( -3.9532574470e+02 6.6499865607e+03 -2.2253116935e+01 )	( 1.2271619217e+00 -6.7784555235e+01 1.3842238277e+00 )	( 5.2351898010e+03 4.8981215428e+03 -4.1230617812e+03 )
3                	( 2.9293513263e+03 -2.1466145131e+03 -1.2232822442e+03 )	( -2.7314671928e+02 -4.9290581237e+03 1.2996570375e+03 )	( 3.0815170417e-01 -3.6271018295e+01 -6.4613128222e-01 )	( 3.2021898938e+03 2.8187146289e+03 -2.5222931504e+03 )
4                	( 1.6486110677e+03 -9.4964399782e+03 5.9188022888e+02 )	( -3.3954696136e+02 -1.1193288935e+04 2.1468894601e+03 )	( 5.2540829770e-01 -1.7512755027e+01 3.3136046751e-01 )	( 1.9876326208e+03 1.7143617121e+03 -1.5553405917e+03 )
5                	( 7.9877482301e+02 -5.7659571805e+03 4.0938460541e+02 )	( -4.6202131122e+02 -6.9134294917e+03 1.3725536345e+03 )	( 6.1453245349e-01 1.8834026786e+00 3.9151550452e-01 )	( 1.2601816018e+03 1.1455889086e+03 -9.6356054456e+02 )
6                	( 3.5698889027e+02 5.2429522746e+02 -2.4899336229e+02 )	( -4.5052202188e+02 -3.1373668921e+02 3.4012509097e+02 )	( 6.9912992525e-01 1.5314769151e+01 2.6977034836e-01 )	( 8.0681178222e+02 8.2271714752e+02 -5.8938822360e+02 )
7                	( 2.7769984392e+01 4.0725829471e+03 -5.2069681052e+02 )	( -4.7469174740e+02 3.4818435885e+03 -1.7429210549e+02 )	( 8.9888497468e-01 1.7627956922e+01 -1.7464062214e-01 )	( 5.0156284682e+02 5.7311140167e+02 -3.4623006440e+02 )
8                	( -6.5200612445e+01 4.1340258866e+03 -4.4466302652e+02 )	( -3.5515052530e+02 3.7716354165e+03 -2.5450612604e+02 )	( 5.3204464153e-01 1.2852439453e+01 -1.1947095487e-01 )	( 2.8941786822e+02 3.4953803064e+02 -1.9003742952e+02 )
9                	( -9.6505138979e+01 2.4231545572e+03 -1.3518599485e+02 )	( -2.4372734872e+02 2.2489209825e+03 -4.1067993932e+01 )	( 2.5297711317e-01 7.9941690866e+00 1.2400427589e-01 )	( 1.4696923263e+02 1.6623940561e+02 -9.4242005193e+01 )
10               	( -1.2494435366e+02 7.5626711700e+02 1.4189497299e+02 )	( -1.8325264312e+02 7.1084762571e+02 1.7982176272e+02 )	( 5.2398468871e-02 4.8236093087e+00 2.5379459465e-01 )	( 5.8255890985e+01 4.0595881978e+01 -3.8180584319e+01 )
