# Time           	ventilationDragPower	ventilationDragCoefficient
1                	1.9763796475e+04	2.8987842940e-01
2                	5.9101668841e+03	8.6685262929e-02
3                	-2.7254358717e+04	-3.9974357707e-01
4                	-3.7043201893e+04	-5.4331793988e-01
5                	-1.8328085207e+04	-2.6882064692e-01
6                	3.0546150071e+03	4.4802475164e-02
7                	1.2468119534e+04	1.8287169233e-01
8                	9.8744117175e+03	1.4482940884e-01
9                	3.7911428370e+03	5.5605234178e-02
10               	-5.6595041917e+02	-8.3008757371e-03
