# Time           	ventilationDragPower	ventilationDragCoefficient
1                	2.0190631987e+04	2.9613888690e-01
2                	6.3568478500e+03	9.3236796538e-02
3                	-2.7331888082e+04	-4.0088071136e-01
4                	-3.7086478389e+04	-5.4395268243e-01
5                	-1.8510882292e+04	-2.7150175791e-01
6                	3.0048836685e+03	4.4073058508e-02
7                	1.3094912689e+04	1.9206495717e-01
8                	1.0586735999e+04	1.5527717096e-01
9                	4.1272818464e+03	6.0535433103e-02
10               	-8.2158836746e+02	-1.2050354085e-02
