# Time           	ventilationDragPower	ventilationDragCoefficient
1                	2.0594486442e+04	3.0206227796e-01
2                	6.1361170305e+03	8.9999306040e-02
3                	-2.8504324282e+04	-4.1807700077e-01
4                	-3.9105923102e+04	-5.7357216686e-01
5                	-1.9789386813e+04	-2.9025376656e-01
6                	2.5441351248e+03	3.7315193724e-02
7                	1.2918405081e+04	1.8947609484e-01
8                	1.0836679677e+04	1.5894313063e-01
9                	4.4828126138e+03	6.5750053715e-02
10               	-4.2305084716e+02	-6.2049472777e-03
