# Time           	ventilationDragPower	ventilationDragCoefficient
1                	1.9722463664e+04	2.8927219516e-01
2                	6.2216640111e+03	9.1254035839e-02
3                	-2.7511671003e+04	-4.0351761317e-01
4                	-3.7515738446e+04	-5.5024870109e-01
5                	-1.9018372492e+04	-2.7894518924e-01
6                	2.4309058554e+03	3.5654443835e-02
7                	1.2422113539e+04	1.8219691582e-01
8                	1.0156265415e+04	1.4896339734e-01
9                	4.0271947057e+03	5.9067440696e-02
10               	-7.7537072515e+02	-1.1372473315e-02
