# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev	omegamin	omegamin location	omegamax	omegamax location	omegamean	omegastDev	kmin	kmin location	kmax	kmax location	kmean	kstDev
1	8.10374475e-08	( -38.6354656 78.56652179 5.585201217 )	57.06103205	( 0.0411325691 51.32705338 0.2295998987 )	0.000277238868	0.0170640296	-136375.4435	( 0.01737626773 49.582437 0.3289897866 )	141531.3013	( 0.3908640224 50.4179403 0.1889892681 )	0.001349086046	14.5540523	6.796185536	( -49.33542329 43.61858616 24.51022138 )	51710.36259	( 0.03491310754 51.17652194 0.1363131116 )	20.56646269	3.235442579	0.4584687404	( -49.33542329 43.61858616 24.51022138 )	2.279620202	( 0.4241173216 48.74609267 -0.04052529055 )	1.376881054	0.1212065522
2	1.132960457e-06	( -49.5139867 49.50241627 0.6136494495 )	3381.937008	( -0.07366870016 51.26171695 0.0418214917 )	0.001159860727	0.1644283486	-124057.9828	( 0.01737626773 49.582437 0.3289897866 )	132389.8626	( 0.3933560145 50.41774719 0.1961028707 )	0.01846313451	9.931590695	2.160279382	( -42.62964312 24.52906621 24.48994597 )	435505.7108	( 0.4965772182 48.82364813 0.1343596201 )	19.02134026	9.752200346	0.1452623859	( -49.33542329 43.61858616 24.51022138 )	12.88498427	( 0.3233826757 51.25390625 0.078348712 )	1.271812092	0.1905808139
3	1.581277008e-06	( -47.31294473 34.61949735 0.538014621 )	2520.632695	( 0.4254452093 51.23828729 0.04080159985 )	0.00176682687	0.1620420126	-194723.3742	( 0.4716387665 51.31026627 0.206541948 )	294171.7209	( -0.08130109905 51.20750057 0.0471481665 )	0.03186305449	9.422886301	0.7376593403	( -42.62964312 24.52906621 24.48994597 )	440214.1267	( 0.4334965969 51.28509421 0.03610683727 )	17.68838899	17.07494885	0.05089077571	( -42.62964312 24.52906621 24.48994597 )	62.55216783	( -0.3078833587 49.05209403 0.4539064727 )	1.180412295	0.2350964363
4	1.153350439e-06	( -48.50452742 49.50351523 0.9248958794 )	1551.616313	( -0.08129556634 51.30030691 0.04713547921 )	0.001974389202	0.1254272593	-262738.9086	( -0.02852303572 51.20140071 0.2069539802 )	373988.7127	( -0.08130109905 51.20750057 0.0471481665 )	0.02199985564	12.4433881	0.2972131721	( -42.62964312 24.52906621 24.48994597 )	770627.0933	( -0.05899256242 48.7539048 0.03104320008 )	16.51304918	18.82080637	0.02237012823	( -43.31925561 25.5673912 24.48639 )	165.9660092	( -0.2923536676 50.97334239 0.4226568231 )	1.099720118	0.2652533813
5	4.413476103e-07	( -36.57636242 16.40248674 2.500725254 )	1430.730278	( 0.05452326091 48.75390686 0.06767195244 )	0.001933636175	0.09720486969	-145875.5369	( -0.02852303572 51.20140071 0.2069539802 )	241408.2765	( 0.5288497612 51.24414098 0.2022898409 )	0.009317217191	8.629252909	0.1607967248	( -42.62964312 24.52906621 24.48994597 )	651604.7997	( -0.09215743967 51.24609635 0.06234509586 )	15.46353526	19.00694102	0.01374901561	( -43.31925561 25.5673912 24.48639 )	247.4190528	( -0.08654976019 51.25390655 0.05497842368 )	1.027670092	0.2861638528
6	3.321882125e-07	( -47.29578135 65.37020896 22.46293445 )	1261.203566	( -0.08654614352 48.73047639 0.05497566074 )	0.001825625696	0.09171719031	-105170.8587	( 0.5287817526 51.20127806 0.2021351032 )	95293.51362	( 0.5706600662 51.26171721 0.1037930759 )	-0.01567202265	5.004738221	0.1186537469	( -42.62964312 24.52906621 24.48994597 )	491624.9339	( -0.03296241076 51.25195323 0.1947353273 )	14.51761013	19.29723566	0.01113891538	( -43.31925561 25.5673912 24.48639 )	402.2904915	( 0.4403004169 51.26171722 0.02988900941 )	0.9627529561	0.3008829356
7	1.737724054e-07	( -44.39139379 27.60623254 4.470289735 )	998.5737892	( -0.08130109905 51.20750057 0.0471481665 )	0.001727129711	0.08813695194	-173335.3866	( 0.5287817526 51.20127806 0.2021351032 )	57802.18211	( 0.07502650895 51.26952418 0.04184192292 )	-0.04288409756	5.511654989	0.1057014948	( -42.62964312 24.52906621 24.48994597 )	666565.2506	( 0.03968973355 51.24413998 0.2296074983 )	13.6579197	20.00443123	0.01034646064	( -36.56934981 16.40410782 24.48974402 )	651.6805874	( 0.4134192608 51.20768193 0.05498761664 )	0.903824927	0.3112497385
8	6.266347012e-08	( -33.59222528 13.42799546 5.469245343 )	786.0623112	( -0.08130109905 51.20750057 0.0471481665 )	0.001735418006	0.08855261568	-154448.4606	( -0.08133125025 48.73047603 0.04717004175 )	65402.07529	( -0.02859368972 51.25592254 0.207094827 )	-0.0435620534	5.420668301	0.1017379825	( -42.62964312 24.52906621 24.48994597 )	664702.7514	( -0.08032765869 51.20749761 0.0481009695 )	12.8712233	19.50970987	0.01010503574	( -36.56934981 16.40410782 24.48974402 )	979.5883539	( 0.4134192608 51.20768193 0.05498761664 )	0.8500043896	0.3181840371
9	1.149233132e-07	( -38.39728056 18.47849126 11.45504105 )	516.4365333	( -0.08130109905 51.20750057 0.0471481665 )	0.001868558596	0.09454554404	-99812.93348	( -0.08132431314 51.28507727 0.04716419181 )	47875.23318	( 0.5589204717 51.25585923 0.07683220031 )	-0.02056833004	4.542258216	0.1005245441	( -36.56934981 16.40410782 24.48974402 )	440385.5558	( -0.08035085258 51.21505561 0.04812424724 )	12.14747832	18.01373239	0.01003130054	( -35.60453359 15.38922464 24.49011333 )	1124.698552	( -0.08032189656 51.30030989 0.04808775889 )	0.800604144	0.3224026561
10	2.712216135e-07	( -46.61622814 38.45749903 23.48221577 )	493.3549115	( -0.07555882545 51.26952036 0.1170847364 )	0.002070914828	0.1002636119	-58453.59162	( -0.08132431314 51.28507727 0.04716419181 )	45787.50393	( 0.5589204717 51.25585923 0.07683220031 )	0.01744649448	4.032614177	0.1001525341	( -36.56934981 16.40410782 24.48974402 )	368773.3097	( 0.03919598793 51.24414023 0.2302372028 )	11.47891727	16.48363141	0.009580917074	( -0.4973737669 0.6747981308 0.08978682316 )	1050.454795	( -0.08035085258 51.21505561 0.04812424724 )	0.755068252	0.3246022534
