# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -2.1199946597e+04 5.1714500942e+03 -8.5362264454e+02 )	( -2.1117560057e+04 5.1713353669e+03 -8.5337068961e+02 )	( -8.2386540022e+01 1.1472731633e-01 -2.5195492846e-01 )
2                	( -2.5573192879e+04 6.6654322902e+03 -3.2507354643e+02 )	( -2.5489927595e+04 6.6651470518e+03 -3.2489161380e+02 )	( -8.3265283872e+01 2.8523845075e-01 -1.8193262725e-01 )
3                	( -2.4979991006e+04 6.6712993530e+03 9.1517449359e+02 )	( -2.4897820639e+04 6.6708834684e+03 9.1486058393e+02 )	( -8.2170367436e+01 4.1588456368e-01 3.1390965031e-01 )
4                	( -2.1236477230e+04 5.6567809307e+03 2.6526882431e+03 )	( -2.1158049197e+04 5.6564712230e+03 2.6516649018e+03 )	( -7.8428033663e+01 3.0970771504e-01 1.0233412641e+00 )
5                	( -1.5985010703e+04 4.1448689873e+03 4.4639852449e+03 )	( -1.5912825995e+04 4.1448620066e+03 4.4618948223e+03 )	( -7.2184707960e+01 6.9806504699e-03 2.0904226531e+00 )
6                	( -1.0648323730e+04 2.5590230063e+03 6.0185159901e+03 )	( -1.0584125319e+04 2.5594647456e+03 6.0152747887e+03 )	( -6.4198410486e+01 -4.4173932640e-01 3.2412013214e+00 )
7                	( -6.2561747954e+03 1.2385392739e+03 7.0861153718e+03 )	( -6.2008073844e+03 1.2395484618e+03 7.0816915919e+03 )	( -5.5367411047e+01 -1.0091879063e+00 4.4237798562e+00 )
8                	( -3.2644852373e+03 3.5053156226e+02 7.5948061616e+03 )	( -3.2171621666e+03 3.5205834092e+02 7.5893105270e+03 )	( -4.7323070713e+01 -1.5267786570e+00 5.4956345916e+00 )
9                	( -1.7100615797e+03 -1.2333194073e+02 7.6127712319e+03 )	( -1.6701079367e+03 -1.2148041448e+02 7.6063451486e+03 )	( -3.9953643067e+01 -1.8515262511e+00 6.4260832667e+00 )
10               	( -1.4032006660e+03 -2.2487036346e+02 7.2748092285e+03 )	( -1.3700699705e+03 -2.2282382716e+02 7.2677403293e+03 )	( -3.3130695568e+01 -2.0465362987e+00 7.0688992577e+00 )
