# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -1.4782482202e+00 1.8677067838e+01 -2.4581235917e+01 )	( -1.4698456147e+00 1.8592382001e+01 -2.4626434009e+01 )	( -8.4026055119e-03 8.4685836675e-02 4.5198092169e-02 )
2                	( -1.5456774778e+00 9.3663579100e+00 -1.2661322580e+01 )	( -1.5394152361e+00 9.2919689443e+00 -1.2702229138e+01 )	( -6.2622416719e-03 7.4388965660e-02 4.0906557749e-02 )
3                	( -7.7615410154e-01 9.1314726880e-02 -9.8500724158e-01 )	( -7.7074836584e-01 1.4323062040e-02 -1.0287368000e+00 )	( -5.4057357029e-03 7.6991664840e-02 4.3729558383e-02 )
4                	( 1.4720108213e-01 -3.3176297761e+00 3.0480665101e+00 )	( 1.5167069424e-01 -3.3848817370e+00 3.0086885207e+00 )	( -4.4696121091e-03 6.7251960880e-02 3.9377989496e-02 )
5                	( 5.4895391974e-01 -1.8132489761e+00 1.0791300696e+00 )	( 5.5273069271e-01 -1.8724233366e+00 1.0447221369e+00 )	( -3.7767729676e-03 5.9174360553e-02 3.4407932666e-02 )
6                	( 4.3294549762e-01 8.8424443087e-01 -2.1648945886e+00 )	( 4.3609892254e-01 8.3097948191e-01 -2.1945329118e+00 )	( -3.1534249198e-03 5.3264948955e-02 2.9638323163e-02 )
7                	( 1.3092040048e-01 2.4776457135e+00 -3.9972639925e+00 )	( 1.3364973570e-01 2.4275230471e+00 -4.0240625346e+00 )	( -2.7293352266e-03 5.0122666415e-02 2.6798542134e-02 )
8                	( -7.7959495269e-02 2.5936295461e+00 -4.0821924889e+00 )	( -7.5569379426e-02 2.5451448171e+00 -4.1076859205e+00 )	( -2.3901158429e-03 4.8484728996e-02 2.5493431620e-02 )
9                	( -1.0529102376e-01 1.9768729329e+00 -3.3897659769e+00 )	( -1.0338407529e-01 1.9297323123e+00 -3.4144391579e+00 )	( -1.9069484692e-03 4.7140620600e-02 2.4673181049e-02 )
10               	( -3.1201124988e-02 1.4320100613e+00 -2.8577831921e+00 )	( -2.9852804580e-02 1.3866983194e+00 -2.8813618833e+00 )	( -1.3483204078e-03 4.5311741913e-02 2.3578691191e-02 )
11               	( 4.9813697015e-02 1.2760652551e+00 -2.7932405260e+00 )	( 5.0638012781e-02 1.2329648987e+00 -2.8153474733e+00 )	( -8.2431576631e-04 4.3100356357e-02 2.2106947366e-02 )
12               	( 7.5019695389e-02 1.3543841132e+00 -2.9270152435e+00 )	( 7.5346994933e-02 1.3134514118e+00 -2.9475676310e+00 )	( -3.2729954461e-04 4.0932701359e-02 2.0552387534e-02 )
13               	( 5.5450658802e-02 1.4616145185e+00 -3.0258868037e+00 )	( 5.5238286859e-02 1.4224296027e+00 -3.0451378901e+00 )	( 2.1237194290e-04 3.9184915879e-02 1.9251086417e-02 )
14               	( 2.4803934375e-02 1.4992657673e+00 -3.0212500543e+00 )	( 2.3996008966e-02 1.4613362026e+00 -3.0395799014e+00 )	( 8.0792540959e-04 3.7929564646e-02 1.8329847017e-02 )
15               	( 7.9058701249e-03 1.4731244102e+00 -2.9595470649e+00 )	( 6.4562592348e-03 1.4361011062e+00 -2.9772507613e+00 )	( 1.4496108901e-03 3.7023303962e-02 1.7703696402e-02 )
16               	( 9.0141381476e-03 1.4313343603e+00 -2.9090239076e+00 )	( 6.9274228371e-03 1.3950680059e+00 -2.9262348382e+00 )	( 2.0867153105e-03 3.6266354394e-02 1.7210930546e-02 )
17               	( 2.0429289018e-02 1.4099271875e+00 -2.9032196403e+00 )	( 1.7751304788e-02 1.3743874526e+00 -2.9199599307e+00 )	( 2.6779842302e-03 3.5539734862e-02 1.6740290345e-02 )
18               	( 3.0931264902e-02 1.4121571787e+00 -2.9283513766e+00 )	( 2.7709505325e-02 1.3773401492e+00 -2.9446077196e+00 )	( 3.2217595774e-03 3.4817029415e-02 1.6256343046e-02 )
19               	( 3.5185480862e-02 1.4229560946e+00 -2.9545566522e+00 )	( 3.1451733738e-02 1.3888029404e+00 -2.9703497390e+00 )	( 3.7337471244e-03 3.4153154122e-02 1.5793086844e-02 )
20               	( 3.4644663451e-02 1.4282611300e+00 -2.9633372608e+00 )	( 3.0422492292e-02 1.3946596782e+00 -2.9787321822e+00 )	( 4.2221711589e-03 3.3601451809e-02 1.5394921378e-02 )
21               	( 3.4197195802e-02 1.4242932215e+00 -2.9545018641e+00 )	( 2.9505899780e-02 1.3911185637e+00 -2.9695812972e+00 )	( 4.6912960223e-03 3.3174657823e-02 1.5079433087e-02 )
22               	( 3.5956526453e-02 1.4161660830e+00 -2.9402849598e+00 )	( 3.0822407234e-02 1.3833090035e+00 -2.9551273249e+00 )	( 5.1341192191e-03 3.2857079530e-02 1.4842365116e-02 )
23               	( 4.0002128686e-02 1.4102008215e+00 -2.9319608883e+00 )	( 3.4457178433e-02 1.3775897235e+00 -2.9466214643e+00 )	( 5.5449502528e-03 3.2611097993e-02 1.4660576087e-02 )
24               	( 4.5165735013e-02 1.4092227566e+00 -2.9333421669e+00 )	( 3.9248056280e-02 1.3768154377e+00 -2.9478552380e+00 )	( 5.9176787329e-03 3.2407318922e-02 1.4513071043e-02 )
25               	( 4.9330584309e-02 1.4116053187e+00 -2.9404513616e+00 )	( 4.3082195697e-02 1.3793726327e+00 -2.9548400748e+00 )	( 6.2483886125e-03 3.2232686033e-02 1.4388713189e-02 )
26               	( 5.2587866784e-02 1.4146517462e+00 -2.9479527901e+00 )	( 4.6047718582e-02 1.3825728509e+00 -2.9622320628e+00 )	( 6.5401482026e-03 3.2078895293e-02 1.4279272719e-02 )
27               	( 5.5763503517e-02 1.4166011515e+00 -2.9526633060e+00 )	( 4.8963913396e-02 1.3846604728e+00 -2.9668458831e+00 )	( 6.7995901209e-03 3.1940678749e-02 1.4182577126e-02 )
28               	( 5.9090471972e-02 1.4165762376e+00 -2.9532741934e+00 )	( 5.2061511937e-02 1.3847529166e+00 -2.9673758176e+00 )	( 7.0289600343e-03 3.1823320965e-02 1.4101624199e-02 )
29               	( 6.2574413770e-02 1.4147950042e+00 -2.9503640668e+00 )	( 5.5343745953e-02 1.3830694503e+00 -2.9644003072e+00 )	( 7.2306678170e-03 3.1725553906e-02 1.4036240435e-02 )
30               	( 6.6480658715e-02 1.4122564521e+00 -2.9458866684e+00 )	( 5.9072517594e-02 1.3806073587e+00 -2.9598738557e+00 )	( 7.4081411208e-03 3.1649093402e-02 1.3987187334e-02 )
31               	( 7.0431641809e-02 1.4092500184e+00 -2.9404402103e+00 )	( 6.2868486376e-02 1.3776600558e+00 -2.9543915509e+00 )	( 7.5631554336e-03 3.1589962637e-02 1.3951340547e-02 )
32               	( 7.4108636569e-02 1.4059034199e+00 -2.9341558386e+00 )	( 6.6411334271e-02 1.3743603255e+00 -2.9480806222e+00 )	( 7.6973022987e-03 3.1543094324e-02 1.3924783594e-02 )
33               	( 7.7322123626e-02 1.4023167039e+00 -2.9271350404e+00 )	( 6.9510516056e-02 1.3708103782e+00 -2.9410415267e+00 )	( 7.8116075704e-03 3.1506325714e-02 1.3906486232e-02 )
34               	( 7.9923036662e-02 1.3983798945e+00 -2.9190927407e+00 )	( 7.2016551104e-02 1.3669000781e+00 -2.9329890059e+00 )	( 7.9064855578e-03 3.1479816450e-02 1.3896265212e-02 )
