# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -1.4782482202e+00 1.8677067838e+01 -2.4581235917e+01 )	( -1.4698456147e+00 1.8592382001e+01 -2.4626434009e+01 )	( -8.4026055119e-03 8.4685836675e-02 4.5198092169e-02 )
2                	( -1.5456774778e+00 9.3663579100e+00 -1.2661322580e+01 )	( -1.5394152361e+00 9.2919689443e+00 -1.2702229138e+01 )	( -6.2622416719e-03 7.4388965660e-02 4.0906557749e-02 )
3                	( -7.7615410154e-01 9.1314726880e-02 -9.8500724158e-01 )	( -7.7074836584e-01 1.4323062040e-02 -1.0287368000e+00 )	( -5.4057357029e-03 7.6991664840e-02 4.3729558383e-02 )
4                	( 1.4720108213e-01 -3.3176297761e+00 3.0480665101e+00 )	( 1.5167069424e-01 -3.3848817370e+00 3.0086885207e+00 )	( -4.4696121091e-03 6.7251960880e-02 3.9377989496e-02 )
5                	( 5.4895391974e-01 -1.8132489761e+00 1.0791300696e+00 )	( 5.5273069271e-01 -1.8724233366e+00 1.0447221369e+00 )	( -3.7767729676e-03 5.9174360553e-02 3.4407932666e-02 )
6                	( 4.3294549762e-01 8.8424443087e-01 -2.1648945886e+00 )	( 4.3609892254e-01 8.3097948191e-01 -2.1945329118e+00 )	( -3.1534249198e-03 5.3264948955e-02 2.9638323163e-02 )
7                	( 1.3092040048e-01 2.4776457135e+00 -3.9972639925e+00 )	( 1.3364973570e-01 2.4275230471e+00 -4.0240625346e+00 )	( -2.7293352266e-03 5.0122666415e-02 2.6798542134e-02 )
8                	( -7.7959495269e-02 2.5936295461e+00 -4.0821924889e+00 )	( -7.5569379426e-02 2.5451448171e+00 -4.1076859205e+00 )	( -2.3901158429e-03 4.8484728996e-02 2.5493431620e-02 )
9                	( -1.0529102376e-01 1.9768729329e+00 -3.3897659769e+00 )	( -1.0338407529e-01 1.9297323123e+00 -3.4144391579e+00 )	( -1.9069484692e-03 4.7140620600e-02 2.4673181049e-02 )
10               	( -3.1201124988e-02 1.4320100613e+00 -2.8577831921e+00 )	( -2.9852804580e-02 1.3866983194e+00 -2.8813618833e+00 )	( -1.3483204078e-03 4.5311741913e-02 2.3578691191e-02 )
