#distance	U_0	U_1	U_2
0	0	0	0
5.050505051	10.01375578	2.522196685e-05	7.911871642e-05
10.1010101	10.31514717	1.718144626e-05	7.841881665e-05
15.15151515	10.47203758	1.993819595e-05	8.415042714e-05
20.2020202	10.63767867	3.028202262e-05	4.909217136e-05
25.25252525	10.82185394	3.245290529e-05	-2.513572762e-06
30.3030303	11.02175101	2.064279052e-05	-4.965769164e-05
35.35353535	11.23344872	4.128664794e-06	-0.0001244698241
40.4040404	11.45474842	-1.497740642e-05	-0.0002336307896
45.45454545	11.68321807	-3.064092785e-05	-0.0003684599686
50.50505051	11.91627674	-3.115730364e-05	-0.0004775721539
55.55555556	12.15238051	-2.97103475e-05	-0.0005798833209
60.60606061	12.38930329	-1.521084659e-05	-0.0006722463051
65.65656566	12.6246946	3.492747063e-05	-0.0007404078384
70.70707071	12.85706689	6.837729681e-05	-0.0008033687552
75.75757576	13.08574379	7.415783055e-05	-0.0008584015417
80.80808081	13.30937265	6.262348324e-05	-0.0008949607288
85.85858586	13.5272118	7.021305667e-05	-0.0009235986374
90.90909091	13.73992026	5.56378874e-05	-0.00092780059
95.95959596	13.9458602	4.906147179e-05	-0.0008965479092
101.010101	14.14264419	3.274842313e-05	-0.0008521915997
106.0606061	14.33528344	3.412238057e-06	-0.0008227503243
111.1111111	14.51712783	-1.360931222e-05	-0.0007957064061
116.1616162	14.69388718	-2.836039845e-05	-0.0007514641712
121.2121212	14.86162154	-2.848624578e-05	-0.0006857362776
126.2626263	15.02279432	-1.721548148e-05	-0.0006172503256
131.3131313	15.17560627	7.095600917e-06	-0.0005337985165
136.3636364	15.32307215	3.014110212e-05	-0.0004570625697
141.4141414	15.4611874	4.14038583e-05	-0.0003989729423
146.4646465	15.59710588	5.561789637e-05	-0.0003196239371
151.5151515	15.72076181	3.918360768e-05	-0.0003059318174
156.5656566	15.84445477	3.168026828e-05	-0.0002642885328
161.6161616	15.95740363	9.90455219e-06	-0.0002268622798
166.6666667	16.06702732	-4.890426792e-06	-0.0002094223902
171.7171717	16.17442348	-6.139355316e-06	-0.0002099097859
176.7676768	16.27101703	-6.373486892e-06	-0.0001984401365
181.8181818	16.36748716	2.606830095e-06	-0.0002238605841
186.8686869	16.45889491	1.925693292e-05	-0.000276154133
191.9191919	16.54314283	4.348818174e-05	-0.0003533440283
196.969697	16.62722606	5.770360846e-05	-0.000408050659
202.020202	16.70645108	5.883837767e-05	-0.000462154555
207.0707071	16.77933079	4.393720645e-05	-0.0005179322653
212.1212121	16.85228912	4.088482098e-05	-0.0005576208601
217.1717172	16.92296205	3.977006242e-05	-0.0005880666547
222.2222222	16.98578108	3.69730363e-05	-0.000598234323
227.2727273	17.04853487	3.609143863e-05	-0.0006214226531
232.3232323	17.11122385	3.711312697e-05	-0.0006575491032
237.3737374	17.16678485	6.108635967e-05	-0.0006837464959
242.4242424	17.22029479	9.166385518e-05	-0.0007070868214
247.4747475	17.27354269	9.118503581e-05	-0.0007213445317
252.5252525	17.32625452	8.84250834e-05	-0.0007337978984
257.5757576	17.37147763	9.159397227e-05	-0.0007313970374
262.6262626	17.41671021	9.391702539e-05	-0.0007278547924
267.6767677	17.46207481	8.44301222e-05	-0.0007083760087
272.7272727	17.50693437	7.536556948e-05	-0.0006893729154
277.7777778	17.54503314	7.195473704e-05	-0.0006767375681
282.8282828	17.58313191	6.85439046e-05	-0.0006641022208
287.8787879	17.62134091	7.11044735e-05	-0.0006517380705
292.9292929	17.65955945	7.418196986e-05	-0.0006393973969
297.979798	17.69281967	7.391098789e-05	-0.0006059702868
303.030303	17.72460842	7.264628961e-05	-0.0005662854279
308.0808081	17.75646308	6.843839194e-05	-0.0005267794939
313.1313131	17.78839558	6.075541015e-05	-0.0004874848193
318.1818182	17.81952841	5.334292228e-05	-0.0004465211471
323.2323232	17.84598307	4.751288068e-05	-0.0003957934886
328.2828283	17.87243773	4.168283909e-05	-0.0003450658301
333.3333333	17.89893934	3.690267923e-05	-0.0003010002434
338.3838384	17.92546539	3.266924552e-05	-0.000260403932
343.4343434	17.95122667	2.835370383e-05	-0.0002197465302
348.4848485	17.97323172	2.363488204e-05	-0.0001787890783
353.5353535	17.99523677	1.891606026e-05	-0.0001378316263
358.5858586	18.01719371	1.925043242e-05	-9.92703643e-05
363.6363636	18.03910087	2.4811654e-05	-6.318763847e-05
368.6868687	18.06100804	3.037287558e-05	-2.710491263e-05
373.7373737	18.07995243	3.191709499e-05	9.169575882e-07
378.7878788	18.09821959	3.254310962e-05	2.709628059e-05
383.8383838	18.11648676	3.316912426e-05	5.327560359e-05
388.8888889	18.134761	4.167228702e-05	8.46541889e-05
393.9393939	18.15303575	5.074326504e-05	0.0001164075571
398.989899	18.17111082	5.908272865e-05	0.0001474072812
404.040404	18.18551413	5.397092253e-05	0.0001645488086
409.0909091	18.19991745	4.885911641e-05	0.000181690336
414.1414141	18.21432076	4.37473103e-05	0.0001988318633
419.1919192	18.22878694	5.439720347e-05	0.0002182927264
424.2424242	18.24325633	6.585338371e-05	0.0002378722347
429.2929293	18.25772572	7.730956394e-05	0.0002574517431
434.3434343	18.22195605	7.984620423e-05	0.0002655228859
439.3939394	18.17739647	8.082226753e-05	0.0002715805067
444.4444444	18.1328369	8.179833083e-05	0.0002776381275
449.4949495	18.08827571	8.458982443e-05	0.0002822633488
454.5454545	18.043713	8.909006564e-05	0.0002855403448
459.5959596	17.99915029	9.359030685e-05	0.0002888173408
464.6464646	18.0126855	9.560001947e-05	0.0002840227191
469.6969697	18.29236609	8.620067115e-05	0.0002422521812
474.7474747	18.57204668	7.680132284e-05	0.0002004816433
479.7979798	18.85172727	6.740197452e-05	0.0001587111054
484.8484848	19.13152094	5.3107225e-05	0.0001183155114
489.8989899	19.41139331	3.540481667e-05	7.887700763e-05
494.9494949	19.69126569	1.770240833e-05	3.943850382e-05
500	19.97113807	4.383292134e-18	9.76536527e-18
