# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -1.5028258094e+00 1.8585739937e+01 -2.4393190335e+01 )	( -1.4943921781e+00 1.8501046124e+01 -2.4438411222e+01 )	( -8.4336313812e-03 8.4693812849e-02 4.5220887627e-02 )
2                	( -1.6210102196e+00 9.4887369899e+00 -1.2775198144e+01 )	( -1.6146485447e+00 9.4143824554e+00 -1.2816052389e+01 )	( -6.3616749239e-03 7.4354534558e-02 4.0854245103e-02 )
3                	( -8.3312629761e-01 2.6587931153e-01 -1.2123125234e+00 )	( -8.2761751475e-01 1.8884982392e-01 -1.2560867513e+00 )	( -5.5087828644e-03 7.7029487614e-02 4.3774227908e-02 )
4                	( 1.6238841451e-01 -3.2555490576e+00 2.9133256159e+00 )	( 1.6692652292e-01 -3.3228528177e+00 2.8738431443e+00 )	( -4.5381084182e-03 6.7303760038e-02 3.9482471568e-02 )
5                	( 6.1460634946e-01 -1.8466274419e+00 1.0422705470e+00 )	( 6.1841242803e-01 -1.9057555749e+00 1.0077630939e+00 )	( -3.8060785624e-03 5.9128132991e-02 3.4507453113e-02 )
6                	( 4.8075441361e-01 7.9152300491e-01 -2.0877267233e+00 )	( 4.8391571684e-01 7.3834911580e-01 -2.1174185786e+00 )	( -3.1613032295e-03 5.3173889112e-02 2.9691855282e-02 )
7                	( 1.3502576641e-01 2.4330938725e+00 -3.9502437628e+00 )	( 1.3776483594e-01 2.3830508392e+00 -3.9770463610e+00 )	( -2.7390695282e-03 5.0043033329e-02 2.6802598155e-02 )
8                	( -1.0637918716e-01 2.6005878853e+00 -4.0689296670e+00 )	( -1.0394562738e-01 2.5521524650e+00 -4.0944147205e+00 )	( -2.4335597767e-03 4.8435420273e-02 2.5485053499e-02 )
9                	( -1.3768959208e-01 1.9987256166e+00 -3.3806021007e+00 )	( -1.3570793792e-01 1.9515594968e+00 -3.4053102000e+00 )	( -1.9816541578e-03 4.7166119821e-02 2.4708099314e-02 )
10               	( -4.8615657533e-02 1.4418208583e+00 -2.8391471152e+00 )	( -4.7188169907e-02 1.3964053239e+00 -2.8628265748e+00 )	( -1.4274876260e-03 4.5415534399e-02 2.3679459585e-02 )
11               	( 5.1292410114e-02 1.2768258613e+00 -2.7849006745e+00 )	( 5.2175436361e-02 1.2335896889e+00 -2.8071434961e+00 )	( -8.8302624674e-04 4.3236172454e-02 2.2242821657e-02 )
12               	( 8.5278053023e-02 1.3538715093e+00 -2.9349555979e+00 )	( 8.5641310954e-02 1.3128216125e+00 -2.9556364541e+00 )	( -3.6325793151e-04 4.1049896796e-02 2.0680856227e-02 )
13               	( 6.2154446732e-02 1.4614749176e+00 -3.0395434175e+00 )	( 6.1967282006e-02 1.4222008230e+00 -3.0588906522e+00 )	( 1.8716472658e-04 3.9274094581e-02 1.9347234721e-02 )
14               	( 2.4901394689e-02 1.5005551369e+00 -3.0324263071e+00 )	( 2.4123969942e-02 1.4625533510e+00 -3.0508192596e+00 )	( 7.7742474771e-04 3.8001785916e-02 1.8392952447e-02 )
15               	( 4.7883096880e-03 1.4763245001e+00 -2.9672461239e+00 )	( 3.3803930187e-03 1.4392326575e+00 -2.9849971286e+00 )	( 1.4079166692e-03 3.7091842581e-02 1.7751004705e-02 )
16               	( 6.3637474600e-03 1.4354856502e+00 -2.9149154072e+00 )	( 4.3255143289e-03 1.3991487565e+00 -2.9321719632e+00 )	( 2.0382331311e-03 3.6336893642e-02 1.7256556050e-02 )
17               	( 1.8886968234e-02 1.4133271473e+00 -2.9080608617e+00 )	( 1.6253905845e-02 1.3777198772e+00 -2.9248481099e+00 )	( 2.6330623897e-03 3.5607270104e-02 1.6787248214e-02 )
18               	( 3.0274787608e-02 1.4146180010e+00 -2.9337628859e+00 )	( 2.7091397778e-02 1.3797384846e+00 -2.9500695040e+00 )	( 3.1833898300e-03 3.4879516474e-02 1.6306618102e-02 )
19               	( 3.5019173017e-02 1.4252543365e+00 -2.9612057450e+00 )	( 3.1315182136e-02 1.3910511370e+00 -2.9770463248e+00 )	( 3.7039908805e-03 3.4203199454e-02 1.5840579846e-02 )
20               	( 3.4760345977e-02 1.4307002424e+00 -2.9705078087e+00 )	( 3.0563451396e-02 1.3970627932e+00 -2.9859438285e+00 )	( 4.1968945804e-03 3.3637449225e-02 1.5436019864e-02 )
21               	( 3.3409000094e-02 1.4264842720e+00 -2.9606920785e+00 )	( 2.8741548273e-02 1.3932858977e+00 -2.9758041033e+00 )	( 4.6674518210e-03 3.3198374277e-02 1.5112024723e-02 )
22               	( 3.4001115943e-02 1.4181151042e+00 -2.9454648157e+00 )	( 2.8890437900e-02 1.3852450599e+00 -2.9603315333e+00 )	( 5.1106780433e-03 3.2870044280e-02 1.4866717583e-02 )
23               	( 3.6937480933e-02 1.4113933412e+00 -2.9355172106e+00 )	( 3.1414478861e-02 1.3787770625e+00 -2.9501948250e+00 )	( 5.5230020712e-03 3.2616278677e-02 1.4677614341e-02 )
24               	( 4.1353154805e-02 1.4094657552e+00 -2.9351918322e+00 )	( 3.5453296500e-02 1.3770595685e+00 -2.9497159003e+00 )	( 5.8998583052e-03 3.2406186764e-02 1.4524068175e-02 )
25               	( 4.5881336190e-02 1.4115180756e+00 -2.9418427592e+00 )	( 3.9645493055e-02 1.3792917652e+00 -2.9562365366e+00 )	( 6.2358431352e-03 3.2226310388e-02 1.4393777394e-02 )
26               	( 5.0115884129e-02 1.4146412604e+00 -2.9496185211e+00 )	( 4.3584510058e-02 1.3825738643e+00 -2.9638976341e+00 )	( 6.5313740710e-03 3.2067396067e-02 1.4279113068e-02 )
27               	( 5.4214712008e-02 1.4165904158e+00 -2.9543867809e+00 )	( 4.7422004813e-02 1.3846663289e+00 -2.9685641186e+00 )	( 6.7927071953e-03 3.1924086894e-02 1.4177337615e-02 )
28               	( 5.7714317052e-02 1.4163753503e+00 -2.9545818693e+00 )	( 5.0692676149e-02 1.3845728343e+00 -2.9686737537e+00 )	( 7.0216409029e-03 3.1802515969e-02 1.4091884409e-02 )
29               	( 6.1392082558e-02 1.4144616800e+00 -2.9512915806e+00 )	( 5.4169646782e-02 1.3827593246e+00 -2.9653138047e+00 )	( 7.2224357760e-03 3.1702355423e-02 1.4022224012e-02 )
30               	( 6.5434418914e-02 1.4118232161e+00 -2.9464967087e+00 )	( 5.8035355676e-02 1.3801989837e+00 -2.9604660605e+00 )	( 7.3990632375e-03 3.1624232329e-02 1.3969351803e-02 )
31               	( 6.9509566311e-02 1.4087041990e+00 -2.9407224433e+00 )	( 6.1954931076e-02 1.3771389969e+00 -2.9546535806e+00 )	( 7.5546352356e-03 3.1565202130e-02 1.3931137307e-02 )
32               	( 7.3537819915e-02 1.4052707013e+00 -2.9341900081e+00 )	( 6.5848567418e-02 1.3737519286e+00 -2.9480934693e+00 )	( 7.6892524966e-03 3.1518772637e-02 1.3903461216e-02 )
33               	( 7.7068542236e-02 1.4015212662e+00 -2.9268228803e+00 )	( 6.9264146709e-02 1.3700370337e+00 -2.9407089222e+00 )	( 7.8043955270e-03 3.1484232460e-02 1.3886041840e-02 )
34               	( 7.9999949933e-02 1.3973349453e+00 -2.9182592377e+00 )	( 7.2100527491e-02 1.3658747554e+00 -2.9321368396e+00 )	( 7.8994224416e-03 3.1460189826e-02 1.3877601874e-02 )
35               	( 8.2364851840e-02 1.3928323519e+00 -2.9087351662e+00 )	( 7.4390885148e-02 1.3613839000e+00 -2.9226137733e+00 )	( 7.9739666915e-03 3.1448451978e-02 1.3878607161e-02 )
36               	( 8.4259040533e-02 1.3881646912e+00 -2.8985799699e+00 )	( 7.6228852094e-02 1.3567165700e+00 -2.9124676573e+00 )	( 8.0301884393e-03 3.1448121272e-02 1.3887687453e-02 )
37               	( 8.5677793579e-02 1.3835954363e+00 -2.8883075820e+00 )	( 7.7608106394e-02 1.3521362177e+00 -2.9022118090e+00 )	( 8.0696871850e-03 3.1459218583e-02 1.3904227002e-02 )
38               	( 8.6074012809e-02 1.3793761595e+00 -2.8784435612e+00 )	( 7.7981504201e-02 1.3478957204e+00 -2.8923706671e+00 )	( 8.0925086080e-03 3.1480439114e-02 1.3927105953e-02 )
39               	( 8.6007261133e-02 1.3755534740e+00 -2.8690994725e+00 )	( 7.7906377049e-02 1.3440444685e+00 -2.8830546818e+00 )	( 8.1008840840e-03 3.1509005461e-02 1.3955209262e-02 )
40               	( 8.5753175037e-02 1.3721065965e+00 -2.8602744868e+00 )	( 7.7655355616e-02 1.3405589716e+00 -2.8742636740e+00 )	( 8.0978194215e-03 3.1547624894e-02 1.3989187165e-02 )
41               	( 8.5209418333e-02 1.3690853815e+00 -2.8521200430e+00 )	( 7.7123915667e-02 1.3374934720e+00 -2.8661450203e+00 )	( 8.0855026657e-03 3.1591909498e-02 1.4024977257e-02 )
42               	( 8.4378262511e-02 1.3666099588e+00 -2.8449715310e+00 )	( 7.6314559076e-02 1.3349626933e+00 -2.8590382956e+00 )	( 8.0637034353e-03 3.1647265493e-02 1.4066764532e-02 )
43               	( 8.3136519018e-02 1.3646636368e+00 -2.8389075227e+00 )	( 7.5101227435e-02 1.3329567932e+00 -2.8530177321e+00 )	( 8.0352915824e-03 3.1706843607e-02 1.4110209394e-02 )
44               	( 8.1750309552e-02 1.3631381870e+00 -2.8338009089e+00 )	( 7.3748386181e-02 1.3313695004e+00 -2.8479540639e+00 )	( 8.0019233701e-03 3.1768686633e-02 1.4153154938e-02 )
45               	( 8.0450081551e-02 1.3619834203e+00 -2.8295946684e+00 )	( 7.2487095793e-02 1.3301507519e+00 -2.8437904661e+00 )	( 7.9629857578e-03 3.1832668364e-02 1.4195797669e-02 )
46               	( 7.9507822686e-02 1.3610665708e+00 -2.8260491072e+00 )	( 7.1587225958e-02 1.3291706174e+00 -2.8402855370e+00 )	( 7.9205967274e-03 3.1895953394e-02 1.4236429801e-02 )
47               	( 7.9263441756e-02 1.3602810388e+00 -2.8229456790e+00 )	( 7.1389248669e-02 1.3283224909e+00 -2.8372208670e+00 )	( 7.8741930867e-03 3.1958547870e-02 1.4275187957e-02 )
48               	( 8.0017324323e-02 1.3594492285e+00 -2.8199029612e+00 )	( 7.2192630884e-02 1.3274277112e+00 -2.8342158653e+00 )	( 7.8246934387e-03 3.2021517316e-02 1.4312904060e-02 )
49               	( 8.1412566754e-02 1.3586329406e+00 -2.8169626220e+00 )	( 7.3641158667e-02 1.3265463162e+00 -2.8313137283e+00 )	( 7.7714080870e-03 3.2086624415e-02 1.4351106358e-02 )
50               	( 8.2740995001e-02 1.3579754620e+00 -2.8143339349e+00 )	( 7.5024636195e-02 1.3258223211e+00 -2.8287237434e+00 )	( 7.7163588056e-03 3.2153140896e-02 1.4389808513e-02 )
