# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -9.4738489819e-01 2.7790009833e+00 2.0761411882e+00 )	( -9.4528297680e-01 2.7844763246e+00 2.0661440440e+00 )	( -2.1019213896e-03 -5.4753413344e-03 9.9971441872e-03 )
2                	( -4.3786466053e-01 1.4713287911e+00 1.0800271868e+00 )	( -4.3605655309e-01 1.4761963604e+00 1.0713295033e+00 )	( -1.8081074330e-03 -4.8675692774e-03 8.6976835111e-03 )
3                	( 6.6198369679e-02 1.6548452629e-01 5.7239301231e-02 )	( 6.8018982133e-02 1.7063739183e-01 4.8274221780e-02 )	( -1.8206124539e-03 -5.1528655382e-03 8.9650794507e-03 )
4                	( 2.4476092716e-01 -3.0604729443e-01 -3.4411103367e-01 )	( 2.4629851281e-01 -3.0138551388e-01 -3.5198770163e-01 )	( -1.5375856572e-03 -4.6617805557e-03 7.8766679634e-03 )
5                	( 1.4779897913e-01 -1.0596325018e-01 -2.0132055163e-01 )	( 1.4913761187e-01 -1.0185975469e-01 -2.0828441272e-01 )	( -1.3386327406e-03 -4.1034954848e-03 6.9638610874e-03 )
6                	( -1.3511436159e-02 2.4238215086e-01 8.5795165809e-02 )	( -1.2279431830e-02 2.4593620525e-01 7.9504763796e-02 )	( -1.2320043290e-03 -3.5540543937e-03 6.2904020138e-03 )
7                	( -1.0986714259e-01 4.5474154307e-01 2.7024635489e-01 )	( -1.0867848710e-01 4.5795191294e-01 2.6432864231e-01 )	( -1.1886554974e-03 -3.2103698639e-03 5.9177125829e-03 )
8                	( -1.1674911258e-01 4.7559720211e-01 2.9521589563e-01 )	( -1.1558456955e-01 4.7863775558e-01 2.8950785319e-01 )	( -1.1645430291e-03 -3.0405534707e-03 5.7080424370e-03 )
9                	( -7.8093067129e-02 4.0438409280e-01 2.3370549095e-01 )	( -7.6956709464e-02 4.0731000955e-01 2.2817039336e-01 )	( -1.1363576651e-03 -2.9259167431e-03 5.5350975842e-03 )
10               	( -4.3584719297e-02 3.4449048318e-01 1.7343813388e-01 )	( -4.2494237070e-02 3.4727386844e-01 1.6812318714e-01 )	( -1.0904822265e-03 -2.7833852603e-03 5.3149467448e-03 )
11               	( -3.3550552597e-02 3.3484446437e-01 1.5337175682e-01 )	( -3.2515569205e-02 3.3744630864e-01 1.4831533890e-01 )	( -1.0349833921e-03 -2.6018442717e-03 5.0564179155e-03 )
12               	( -3.8670092118e-02 3.4762197559e-01 1.5947547641e-01 )	( -3.7688567309e-02 3.5003247111e-01 1.5467192736e-01 )	( -9.8152480907e-04 -2.4104955201e-03 4.8035490512e-03 )
13               	( -4.5846365401e-02 3.5754911033e-01 1.7019168877e-01 )	( -4.4906890744e-02 3.5979153503e-01 1.6559546365e-01 )	( -9.3947465746e-04 -2.2424246941e-03 4.5962251146e-03 )
14               	( -4.8869425652e-02 3.5723991816e-01 1.7463867486e-01 )	( -4.7960140659e-02 3.5935231893e-01 1.7019681320e-01 )	( -9.0928499274e-04 -2.1124007710e-03 4.4418616591e-03 )
15               	( -4.7771620177e-02 3.5138723360e-01 1.7265448539e-01 )	( -4.6884820864e-02 3.5340097106e-01 1.6832960064e-01 )	( -8.8679931322e-04 -2.0137374652e-03 4.3248847554e-03 )
16               	( -4.5427241356e-02 3.4667486885e-01 1.6871354580e-01 )	( -4.4559718466e-02 3.4860568838e-01 1.6448963964e-01 )	( -8.6752288964e-04 -1.9308195274e-03 4.2239061619e-03 )
17               	( -4.4108521503e-02 3.4625168911e-01 1.6644580980e-01 )	( -4.3259578708e-02 3.4810414671e-01 1.6231921739e-01 )	( -8.4894279496e-04 -1.8524575987e-03 4.1265924053e-03 )
18               	( -4.4175072729e-02 3.4890029135e-01 1.6649283222e-01 )	( -4.3344240467e-02 3.5067567728e-01 1.6246144792e-01 )	( -8.3083226216e-04 -1.7753859367e-03 4.0313842987e-03 )
19               	( -4.4825697345e-02 3.5167831919e-01 1.6754466154e-01 )	( -4.4011263610e-02 3.5337983727e-01 1.6360135667e-01 )	( -8.1443373435e-04 -1.7015180773e-03 3.9433048640e-03 )
20               	( -4.5193962060e-02 3.5268397871e-01 1.6814160817e-01 )	( -4.4392977989e-02 3.5431962152e-01 1.6427308481e-01 )	( -8.0098407104e-04 -1.6356428089e-03 3.8685233543e-03 )
