# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -1.5028258094e+00 1.8585739937e+01 -2.4393190335e+01 )	( -1.4943921781e+00 1.8501046124e+01 -2.4438411222e+01 )	( -8.4336313812e-03 8.4693812849e-02 4.5220887627e-02 )
2                	( -1.6210102196e+00 9.4887369899e+00 -1.2775198144e+01 )	( -1.6146485447e+00 9.4143824554e+00 -1.2816052389e+01 )	( -6.3616749239e-03 7.4354534558e-02 4.0854245103e-02 )
3                	( -8.3312629761e-01 2.6587931153e-01 -1.2123125234e+00 )	( -8.2761751475e-01 1.8884982392e-01 -1.2560867513e+00 )	( -5.5087828644e-03 7.7029487614e-02 4.3774227908e-02 )
4                	( 1.6238841451e-01 -3.2555490576e+00 2.9133256159e+00 )	( 1.6692652292e-01 -3.3228528177e+00 2.8738431443e+00 )	( -4.5381084182e-03 6.7303760038e-02 3.9482471568e-02 )
5                	( 6.1460634946e-01 -1.8466274419e+00 1.0422705470e+00 )	( 6.1841242803e-01 -1.9057555749e+00 1.0077630939e+00 )	( -3.8060785624e-03 5.9128132991e-02 3.4507453113e-02 )
6                	( 4.8075441361e-01 7.9152300491e-01 -2.0877267233e+00 )	( 4.8391571684e-01 7.3834911580e-01 -2.1174185786e+00 )	( -3.1613032295e-03 5.3173889112e-02 2.9691855282e-02 )
7                	( 1.3502576641e-01 2.4330938725e+00 -3.9502437628e+00 )	( 1.3776483594e-01 2.3830508392e+00 -3.9770463610e+00 )	( -2.7390695282e-03 5.0043033329e-02 2.6802598155e-02 )
8                	( -1.0637918716e-01 2.6005878853e+00 -4.0689296670e+00 )	( -1.0394562738e-01 2.5521524650e+00 -4.0944147205e+00 )	( -2.4335597767e-03 4.8435420273e-02 2.5485053499e-02 )
9                	( -1.3768959208e-01 1.9987256166e+00 -3.3806021007e+00 )	( -1.3570793792e-01 1.9515594968e+00 -3.4053102000e+00 )	( -1.9816541578e-03 4.7166119821e-02 2.4708099314e-02 )
10               	( -4.8615657533e-02 1.4418208583e+00 -2.8391471152e+00 )	( -4.7188169907e-02 1.3964053239e+00 -2.8628265748e+00 )	( -1.4274876260e-03 4.5415534399e-02 2.3679459585e-02 )
