# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -9.4738489819e-01 2.7790009833e+00 2.0761411882e+00 )	( -9.4528297680e-01 2.7844763246e+00 2.0661440440e+00 )	( -2.1019213896e-03 -5.4753413344e-03 9.9971441872e-03 )
2                	( -4.3786466053e-01 1.4713287911e+00 1.0800271868e+00 )	( -4.3605655309e-01 1.4761963604e+00 1.0713295033e+00 )	( -1.8081074330e-03 -4.8675692774e-03 8.6976835111e-03 )
3                	( 6.6198369679e-02 1.6548452629e-01 5.7239301231e-02 )	( 6.8018982133e-02 1.7063739183e-01 4.8274221780e-02 )	( -1.8206124539e-03 -5.1528655382e-03 8.9650794507e-03 )
4                	( 2.4476092716e-01 -3.0604729443e-01 -3.4411103367e-01 )	( 2.4629851281e-01 -3.0138551388e-01 -3.5198770163e-01 )	( -1.5375856572e-03 -4.6617805557e-03 7.8766679634e-03 )
5                	( 1.4779897913e-01 -1.0596325018e-01 -2.0132055163e-01 )	( 1.4913761187e-01 -1.0185975469e-01 -2.0828441272e-01 )	( -1.3386327406e-03 -4.1034954848e-03 6.9638610874e-03 )
6                	( -1.3511436159e-02 2.4238215086e-01 8.5795165809e-02 )	( -1.2279431830e-02 2.4593620525e-01 7.9504763796e-02 )	( -1.2320043290e-03 -3.5540543937e-03 6.2904020138e-03 )
7                	( -1.0986714259e-01 4.5474154307e-01 2.7024635489e-01 )	( -1.0867848710e-01 4.5795191294e-01 2.6432864231e-01 )	( -1.1886554974e-03 -3.2103698639e-03 5.9177125829e-03 )
8                	( -1.1674911258e-01 4.7559720211e-01 2.9521589563e-01 )	( -1.1558456955e-01 4.7863775558e-01 2.8950785319e-01 )	( -1.1645430291e-03 -3.0405534707e-03 5.7080424370e-03 )
9                	( -7.8093067129e-02 4.0438409280e-01 2.3370549095e-01 )	( -7.6956709464e-02 4.0731000955e-01 2.2817039336e-01 )	( -1.1363576651e-03 -2.9259167431e-03 5.5350975842e-03 )
10               	( -4.3584719297e-02 3.4449048318e-01 1.7343813388e-01 )	( -4.2494237070e-02 3.4727386844e-01 1.6812318714e-01 )	( -1.0904822265e-03 -2.7833852603e-03 5.3149467448e-03 )
