# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
1 12.62627201 50.20638153 102.1159631 65.87063885 12.48069573 -10814.15585 -10814.15585 -10814.15585 1.818989404e-12
2 5.504987095 55.66276839 80.91796041 67.05919329 5.055105582 -3949.842892 -3949.842892 -3949.842892 1.364242053e-12
3 4.324074431 50.5916064 70.9481818 62.21565845 6.20505208 -6080.829859 -6080.829859 -6080.829859 1.818989404e-12
4 4.367705616 44.44129609 81.30356328 70.37718391 9.796276774 -7403.160712 -7403.160712 -7403.160712 3.637978807e-12
5 5.039602392 47.0682968 95.5452021 82.88139043 12.51226011 -9714.859475 -9714.859475 -9714.859475 3.637978807e-12
6 5.078953935 52.93458178 108.1209319 94.00517363 14.18082819 -10370.23665 -10370.23665 -10370.23665 3.637978807e-12
7 5.204486999 55.8991719 118.0600475 101.6407392 16.20069487 -10637.11913 -10637.11913 -10637.11913 1.818989404e-12
8 5.386955368 56.54482837 124.9461623 106.4241084 18.20452133 -11075.17757 -11075.17757 -11075.17757 3.637978807e-12
9 5.563396455 57.22525629 128.1015104 109.6413437 19.37580865 -11718.31245 -11718.31245 -11718.31245 0
10 5.712717877 58.46293125 130.6722358 112.357009 19.83297836 -12411.45552 -12411.45552 -12411.45552 7.275957614e-12
11 5.841428445 59.75382336 132.4521086 114.7141139 19.86613949 -13045.99092 -13045.99092 -13045.99092 7.275957614e-12
12 5.951479316 60.85473377 131.7536835 116.0108822 19.26421391 -13614.40789 -13614.40789 -13614.40789 5.456968211e-12
13 6.065184085 62.01476994 132.5848499 117.2406496 18.77759315 -14180.85015 -14180.85015 -14180.85015 0
14 6.18313915 63.22409495 133.3937657 118.6905368 18.39611554 -14777.51749 -14777.51749 -14777.51749 1.091393642e-11
15 6.297135948 64.89688028 134.2791407 120.0661818 18.01058103 -15391.57454 -15391.57454 -15391.57454 7.275957614e-12
16 6.401128381 66.33643906 135.1926962 121.2793396 17.62972871 -15989.17202 -15989.17202 -15989.17202 1.818989404e-12
17 6.493222863 67.4545062 136.0515924 122.3161817 17.25189204 -16541.67236 -16541.67236 -16541.67236 3.637978807e-12
18 6.575673626 68.76695302 136.887164 123.3045892 16.88639352 -17038.49787 -17038.49787 -17038.49787 3.637978807e-12
19 6.650277606 70.10593319 137.6791041 124.2640653 16.53597745 -17484.47049 -17484.47049 -17484.47049 3.637978807e-12
20 6.718633844 71.40678562 138.4232126 125.1719728 16.20960309 -17893.08642 -17893.08642 -17893.08642 3.637978807e-12
21 6.781550252 72.661777 139.1240328 125.9977608 15.88476513 -18278.09267 -18278.09267 -18278.09267 7.275957614e-12
22 6.839801384 74.09987264 139.7970745 126.7633426 15.56371726 -18649.19687 -18649.19687 -18649.19687 7.275957614e-12
23 6.894260909 75.43694211 140.44081 127.4854349 15.24164982 -19011.45879 -19011.45879 -19011.45879 7.275957614e-12
24 6.945468982 76.62884067 141.0437806 128.1544381 14.92760553 -19364.89046 -19364.89046 -19364.89046 3.637978807e-12
25 6.992791081 77.73831198 141.6098439 128.7640531 14.64874122 -19707.16436 -19707.16436 -19707.16436 7.275957614e-12
26 7.03640205 78.81972845 142.1330773 129.3181995 14.44497861 -20037.02454 -20037.02454 -20037.02454 1.091393642e-11
27 7.076333381 79.72915456 142.6184354 129.8223853 14.29394826 -20354.40159 -20354.40159 -20354.40159 3.637978807e-12
28 7.113648456 80.21447318 143.0680192 130.2987199 14.17623659 -20660.0375 -20660.0375 -20660.0375 7.275957614e-12
29 7.148754645 80.46729832 143.484819 130.7525031 14.06910946 -20954.3814 -20954.3814 -20954.3814 1.091393642e-11
30 7.182163537 80.5892814 143.8855306 131.1768475 13.97320598 -21238.28048 -21238.28048 -21238.28048 7.275957614e-12
31 7.213911922 80.77202307 144.2398954 131.5903789 13.84589772 -21511.36719 -21511.36719 -21511.36719 7.275957614e-12
