# Force coefficients
# liftDir    : ( 0.000000e+00 1.000000e+00 0.000000e+00 )
# dragDir    : ( 1.000000e+00 0.000000e+00 0.000000e+00 )
# pitchAxis  : ( 0.000000e+00 0.000000e+00 1.000000e+00 )
# magUInf    : 1.000000e+01
# lRef       : 4.000000e+00
# Aref       : 1.000000e+00
# CofR       : ( 3.500000e+00 0.000000e+00 0.000000e+00 )
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	-2.382003e+00	1.161951e+01	2.171485e+00	-1.296261e+00	3.467746e+00
2            	-1.285539e+00	6.467959e+00	8.083856e-01	-8.813457e-01	1.689731e+00
3            	-3.548190e-03	1.870182e-01	-2.517422e-01	-1.294193e-01	-1.223229e-01
4            	5.485148e-01	-2.867547e+00	-7.010228e-01	1.980034e-01	-8.990262e-01
5            	4.877569e-01	-2.787534e+00	-7.548301e-01	1.103418e-01	-8.651719e-01
6            	7.493215e-02	-7.054521e-01	2.279782e-01	1.889212e-01	3.905693e-02
7            	-2.058103e-01	8.038865e-01	5.043383e-01	4.635880e-02	4.579795e-01
8            	-2.753431e-01	1.263818e+00	3.653959e-01	-9.264521e-02	4.580411e-01
9            	-2.416907e-01	1.189835e+00	3.433704e-01	-7.000549e-02	4.133758e-01
10           	-1.141927e-01	5.613467e-01	8.187385e-02	-7.325579e-02	1.551296e-01
11           	-3.980604e-02	1.828181e-01	7.602125e-02	-1.795415e-03	7.781666e-02
12           	-1.771796e-02	7.670873e-02	1.920806e-01	7.832233e-02	1.137582e-01
13           	-2.574402e-02	1.110673e-01	2.540836e-01	1.012978e-01	1.527858e-01
14           	-6.180235e-02	3.011742e-01	3.496055e-01	1.130004e-01	2.366051e-01
15           	-8.754715e-02	4.261108e-01	3.547576e-01	8.983165e-02	2.649259e-01
16           	-8.853893e-02	4.384728e-01	3.430236e-01	8.297289e-02	2.600508e-01
17           	-8.412967e-02	4.226589e-01	3.350610e-01	8.340081e-02	2.516602e-01
18           	-7.605324e-02	3.909945e-01	3.420883e-01	9.499091e-02	2.470974e-01
19           	-5.966268e-02	3.242295e-01	3.694680e-01	1.250713e-01	2.443967e-01
20           	-5.347738e-02	2.971718e-01	3.906631e-01	1.418542e-01	2.488089e-01
21           	-5.509979e-02	3.025154e-01	4.025458e-01	1.461731e-01	2.563727e-01
22           	-5.889080e-02	3.178621e-01	4.164993e-01	1.493588e-01	2.671404e-01
23           	-6.557867e-02	3.458019e-01	4.272820e-01	1.480624e-01	2.792197e-01
24           	-6.798104e-02	3.511493e-01	4.313318e-01	1.476849e-01	2.836469e-01
25           	-6.846424e-02	3.477207e-01	4.320149e-01	1.475432e-01	2.844717e-01
26           	-6.832207e-02	3.412963e-01	4.322564e-01	1.478061e-01	2.844503e-01
27           	-6.756105e-02	3.315061e-01	4.331215e-01	1.489997e-01	2.841218e-01
28           	-6.598493e-02	3.171750e-01	4.335765e-01	1.508033e-01	2.827732e-01
29           	-6.620852e-02	3.115406e-01	4.317880e-01	1.496855e-01	2.821025e-01
30           	-6.733642e-02	3.106366e-01	4.298399e-01	1.475835e-01	2.822564e-01
31           	-6.864165e-02	3.113224e-01	4.288006e-01	1.457586e-01	2.830419e-01
32           	-6.985196e-02	3.122674e-01	4.283394e-01	1.443177e-01	2.840217e-01
33           	-7.110722e-02	3.132651e-01	4.275094e-01	1.426475e-01	2.848619e-01
34           	-7.257248e-02	3.148229e-01	4.260130e-01	1.404340e-01	2.855790e-01
35           	-7.407592e-02	3.165890e-01	4.237709e-01	1.378095e-01	2.859614e-01
36           	-7.509760e-02	3.173260e-01	4.217655e-01	1.357852e-01	2.859803e-01
37           	-7.567899e-02	3.171080e-01	4.202914e-01	1.344667e-01	2.858247e-01
38           	-7.608635e-02	3.165947e-01	4.190741e-01	1.334507e-01	2.856234e-01
39           	-7.645951e-02	3.160160e-01	4.177639e-01	1.324224e-01	2.853415e-01
40           	-7.684667e-02	3.153123e-01	4.160197e-01	1.311632e-01	2.848565e-01
41           	-7.725600e-02	3.143213e-01	4.135706e-01	1.295293e-01	2.840413e-01
42           	-7.759428e-02	3.131514e-01	4.110987e-01	1.279551e-01	2.831436e-01
43           	-7.776300e-02	3.121306e-01	4.097249e-01	1.270994e-01	2.826254e-01
44           	-7.779935e-02	3.114322e-01	4.095112e-01	1.269563e-01	2.825549e-01
45           	-7.779543e-02	3.110138e-01	4.098643e-01	1.271367e-01	2.827276e-01
46           	-7.783241e-02	3.108180e-01	4.102785e-01	1.273068e-01	2.829717e-01
47           	-7.794587e-02	3.107818e-01	4.104915e-01	1.272999e-01	2.831916e-01
48           	-7.815518e-02	3.109209e-01	4.103800e-01	1.270348e-01	2.833452e-01
49           	-7.841810e-02	3.112104e-01	4.100958e-01	1.266298e-01	2.834660e-01
50           	-7.878576e-02	3.119408e-01	4.095426e-01	1.259856e-01	2.835571e-01
