# Force coefficients
# liftDir    : ( 0.000000e+00 1.000000e+00 0.000000e+00 )
# dragDir    : ( 1.000000e+00 0.000000e+00 0.000000e+00 )
# pitchAxis  : ( 0.000000e+00 0.000000e+00 1.000000e+00 )
# magUInf    : 1.000000e+01
# lRef       : 4.000000e+00
# Aref       : 1.000000e+00
# CofR       : ( 3.500000e+00 0.000000e+00 0.000000e+00 )
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	-2.382003e+00	1.161951e+01	2.171485e+00	-1.296261e+00	3.467746e+00
2            	-1.285539e+00	6.467959e+00	8.083856e-01	-8.813457e-01	1.689731e+00
3            	-3.548190e-03	1.870182e-01	-2.517422e-01	-1.294193e-01	-1.223229e-01
4            	5.485148e-01	-2.867547e+00	-7.010228e-01	1.980034e-01	-8.990262e-01
5            	4.877569e-01	-2.787534e+00	-7.548301e-01	1.103418e-01	-8.651719e-01
6            	7.493215e-02	-7.054521e-01	2.279782e-01	1.889212e-01	3.905693e-02
7            	-2.058103e-01	8.038865e-01	5.043383e-01	4.635880e-02	4.579795e-01
8            	-2.753431e-01	1.263818e+00	3.653959e-01	-9.264521e-02	4.580411e-01
9            	-2.416907e-01	1.189835e+00	3.433704e-01	-7.000549e-02	4.133758e-01
10           	-1.141927e-01	5.613467e-01	8.187385e-02	-7.325579e-02	1.551296e-01
