# Time       	mean(tauw)-Average	mean(tauw)-Delta
10	7.329188e-06	0.000000e+00
11	7.788177e-06	4.589891e-07
12	8.296343e-06	1.016332e-06
13	8.822286e-06	1.577830e-06
14	9.350628e-06	2.113367e-06
15	9.883421e-06	2.663964e-06
16	1.043367e-05	3.301493e-06
17	1.101401e-05	4.062389e-06
18	1.163350e-05	4.955900e-06
19	1.229512e-05	5.954557e-06
20	1.306756e-05	6.951998e-06
21	1.394625e-05	7.908181e-06
22	1.492488e-05	8.807695e-06
23	1.599663e-05	9.645729e-06
24	1.715603e-05	1.043462e-05
25	1.839783e-05	1.117622e-05
26	1.971747e-05	1.187671e-05
27	2.110976e-05	1.253068e-05
28	2.256983e-05	1.314060e-05
29	2.409257e-05	1.370462e-05
30	2.567340e-05	1.422746e-05
31	2.730731e-05	1.470524e-05
32	2.898889e-05	1.513423e-05
33	3.071204e-05	1.550833e-05
34	3.247033e-05	1.582462e-05
35	3.425722e-05	1.608203e-05
36	3.606552e-05	1.627464e-05
37	3.788649e-05	1.638878e-05
38	3.971317e-05	1.644004e-05
39	4.153709e-05	1.641535e-05
40	4.335043e-05	1.632005e-05
41	4.514589e-05	1.615911e-05
42	4.691727e-05	1.594246e-05
43	4.865909e-05	1.567633e-05
44	5.036711e-05	1.537224e-05
45	5.203826e-05	1.504028e-05
46	5.367053e-05	1.469046e-05
47	5.526302e-05	1.433245e-05
48	5.681591e-05	1.397596e-05
49	5.833005e-05	1.362724e-05
50	5.980682e-05	1.329098e-05
