# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           
0.1 0 329.9671598 329.9671598 329.9671598 2.273736754e-13
0.2 0 329.9223647 329.9223647 329.9223647 6.252776075e-13
0.3 0 329.8519301 329.8519301 329.8519301 1.705302566e-13
0.4 0 329.742764 329.742764 329.742764 4.547473509e-13
0.5 0 329.6339382 329.6339382 329.6339382 0
0.6 0 329.5256266 329.5256266 329.5256266 1.136868377e-13
0.7 0 329.4178267 329.4178267 329.4178267 1.705302566e-13
0.8 0 329.3105339 329.3105339 329.3105339 2.842170943e-13
0.9 0 329.2037426 329.2037426 329.2037426 1.136868377e-13
1 0 329.0974469 329.0974469 329.0974469 5.684341886e-14
1.1 0 328.9916409 328.9916409 328.9916409 5.684341886e-13
1.2 0 328.8863188 328.8863188 328.8863188 5.115907697e-13
1.3 0 328.7814747 328.7814747 328.7814747 5.115907697e-13
1.4 0 328.6771025 328.6771025 328.6771025 1.136868377e-13
1.5 0 328.5731965 328.5731965 328.5731965 3.97903932e-13
1.6 0 328.4697509 328.4697509 328.4697509 5.684341886e-13
1.7 0 328.3667599 328.3667599 328.3667599 6.821210263e-13
1.8 0 328.2642178 328.2642178 328.2642178 1.705302566e-13
1.9 0 328.1621191 328.1621191 328.1621191 5.115907697e-13
2 0 328.0604583 328.0604583 328.0604583 5.684341886e-14
2.1 0 327.9592301 327.9592301 327.9592301 3.97903932e-13
2.2 0 327.8584291 327.8584291 327.8584291 0
2.3 0 327.7580503 327.7580503 327.7580503 1.136868377e-13
2.4 0 327.6580885 327.6580885 327.6580885 1.136868377e-13
2.5 0 327.5585387 327.5585387 327.5585387 3.97903932e-13
2.6 0 327.459396 327.459396 327.459396 1.705302566e-13
2.7 0 327.3606556 327.3606556 327.3606556 5.115907697e-13
2.8 0 327.2623127 327.2623127 327.2623127 1.136868377e-13
2.9 0 327.1643628 327.1643628 327.1643628 1.136868377e-13
3 0 327.0668011 327.0668011 327.0668011 1.705302566e-13
3.1 0 326.9696232 326.9696232 326.9696232 4.547473509e-13
3.2 0 326.8728247 326.8728247 326.8728247 1.136868377e-13
3.3 0 326.7764013 326.7764013 326.7764013 5.684341886e-14
3.4 0 326.6803486 326.6803486 326.6803486 2.842170943e-13
3.5 0 326.5846626 326.5846626 326.5846626 0
3.6 0 326.4893392 326.4893392 326.4893392 5.684341886e-14
3.7 0 326.3943744 326.3943744 326.3943744 2.273736754e-13
3.8 0 326.2997645 326.2997645 326.2997645 1.705302566e-13
3.9 0 326.2055057 326.2055057 326.2055057 5.115907697e-13
4 0 326.1115945 326.1115945 326.1115945 1.705302566e-13
4.1 0 326.0180275 326.0180275 326.0180275 2.273736754e-13
4.2 0 325.9248017 325.9248017 325.9248017 3.97903932e-13
4.3 0 325.831914 325.831914 325.831914 4.547473509e-13
4.4 0 325.7393618 325.7393618 325.7393618 1.705302566e-13
4.5 0 325.6471423 325.6471423 325.6471423 1.705302566e-13
4.6 0 325.5552535 325.5552535 325.5552535 1.136868377e-13
4.7 0 325.4636931 325.4636931 325.4636931 1.705302566e-13
4.8 0 325.3724595 325.3724595 325.3724595 1.705302566e-13
4.9 0 325.2815511 325.2815511 325.2815511 4.547473509e-13
5 0 325.1909666 325.1909666 325.1909666 1.705302566e-13
