# Time           	massFlux         	Tmin             	Tmax             	Tmean            	TstDev           
0.1 0 329.9671598 329.9671598 329.9671598 2.273736754e-13
0.2 0 329.9223647 329.9223647 329.9223647 6.252776075e-13
0.3 0 329.8519301 329.8519301 329.8519301 1.705302566e-13
0.4 0 329.742764 329.742764 329.742764 4.547473509e-13
0.5 0 329.6339382 329.6339382 329.6339382 0
0.6 0 329.5256266 329.5256266 329.5256266 1.136868377e-13
0.7 0 329.4178267 329.4178267 329.4178267 1.705302566e-13
0.8 0 329.3105339 329.3105339 329.3105339 2.842170943e-13
0.9 0 329.2037426 329.2037426 329.2037426 1.136868377e-13
1 0 329.0974469 329.0974469 329.0974469 5.684341886e-14
