# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001            	( -1.6265267476e+00 1.8847138952e+00 -1.3116606755e+00 )	( -1.6510236279e+00 1.7989241824e+00 -1.3599549998e+00 )	( 2.4496880349e-02 8.5789712814e-02 4.8294324345e-02 )
0.002            	( 1.1719074792e+00 7.7676070349e-01 -2.4662829060e+00 )	( 1.1465321601e+00 7.4781295221e-01 -2.4877553533e+00 )	( 2.5375319065e-02 2.8947751279e-02 2.1472447295e-02 )
0.003            	( 1.2560145935e+00 5.6828983118e-01 -2.6398175652e+00 )	( 1.2186559313e+00 5.5461771823e-01 -2.6567398499e+00 )	( 3.7358662200e-02 1.3672112952e-02 1.6922284756e-02 )
0.004            	( 1.3855470153e+00 3.5371949937e-02 -2.7396972397e+00 )	( 1.3537229638e+00 3.7518127509e-02 -2.7547296316e+00 )	( 3.1824051453e-02 -2.1461775723e-03 1.5032391934e-02 )
0.005            	( 1.3394680695e+00 -4.5635983292e-01 -2.8097810484e+00 )	( 1.3073862287e+00 -4.3858792590e-01 -2.8250068799e+00 )	( 3.2081840774e-02 -1.7771907023e-02 1.5225831543e-02 )
0.006            	( 1.0867008195e+00 -9.1374315102e-01 -2.8531533298e+00 )	( 1.0644928753e+00 -8.8635817299e-01 -2.8687552334e+00 )	( 2.2207944112e-02 -2.7384978029e-02 1.5601903582e-02 )
0.007            	( 6.8863565566e-01 -1.2291601112e+00 -2.8330633424e+00 )	( 6.7696662199e-01 -1.1943135896e+00 -2.8492665874e+00 )	( 1.1669033671e-02 -3.4846521598e-02 1.6203245032e-02 )
0.008            	( 1.9417421433e-01 -1.3930378890e+00 -2.8301266482e+00 )	( 1.9445431821e-01 -1.3560995325e+00 -2.8471194981e+00 )	( -2.8010387649e-04 -3.6938356517e-02 1.6992849874e-02 )
0.009            	( -3.0940169839e-01 -1.3613773325e+00 -2.8076430049e+00 )	( -2.9620699823e-01 -1.3265803056e+00 -2.8247493052e+00 )	( -1.3194700160e-02 -3.4797026845e-02 1.7106300380e-02 )
0.01             	( -7.8011748354e-01 -1.1563275625e+00 -2.8032198977e+00 )	( -7.5536318112e-01 -1.1284355887e+00 -2.8204681088e+00 )	( -2.4754302419e-02 -2.7891973864e-02 1.7248211163e-02 )
0.011            	( -1.1350547749e+00 -7.9869442762e-01 -2.7887274022e+00 )	( -1.1018950435e+00 -7.8121094925e-01 -2.8061197021e+00 )	( -3.3159731414e-02 -1.7483478361e-02 1.7392299845e-02 )
0.012            	( -1.3427008503e+00 -3.3757123945e-01 -2.7818342201e+00 )	( -1.3054244747e+00 -3.3257730873e-01 -2.7993879633e+00 )	( -3.7276375577e-02 -4.9939307154e-03 1.7553743187e-02 )
0.013            	( -1.3723352904e+00 1.6283722283e-01 -2.7772402600e+00 )	( -1.3359087070e+00 1.5426152955e-01 -2.7946705163e+00 )	( -3.6426583356e-02 8.5756932773e-03 1.7430256318e-02 )
0.014            	( -1.2237728682e+00 6.4614791912e-01 -2.7803872238e+00 )	( -1.1931144499e+00 6.2482302741e-01 -2.7977084924e+00 )	( -3.0658418282e-02 2.1324891713e-02 1.7321268561e-02 )
0.015            	( -9.1196828029e-01 1.0413651211e+00 -2.7803138338e+00 )	( -8.9107867233e-01 1.0102929339e+00 -2.7976761870e+00 )	( -2.0889607951e-02 3.1072187145e-02 1.7362353145e-02 )
0.016            	( -4.8065974647e-01 1.2983254987e+00 -2.7799528123e+00 )	( -4.7199747244e-01 1.2617283377e+00 -2.7974549655e+00 )	( -8.6622740285e-03 3.6597161062e-02 1.7502153185e-02 )
0.017            	( 1.7686706670e-02 1.3861881866e+00 -2.7821476058e+00 )	( 1.2871747364e-02 1.3489466553e+00 -2.7996291185e+00 )	( 4.8149593065e-03 3.7241531239e-02 1.7481512739e-02 )
0.018            	( 5.1260670692e-01 1.2897504738e+00 -2.7850138784e+00 )	( 4.9453595527e-01 1.2570025368e+00 -2.8023462391e+00 )	( 1.8070751652e-02 3.2747936967e-02 1.7332360725e-02 )
0.019            	( 9.4191709638e-01 1.0207457187e+00 -2.7861570391e+00 )	( 9.1307402294e-01 9.9679469540e-01 -2.8035086885e+00 )	( 2.8843073439e-02 2.3951023312e-02 1.7351649403e-02 )
0.02             	( 1.2430324391e+00 6.1607103201e-01 -2.7823140276e+00 )	( 1.2074243669e+00 6.0378418614e-01 -2.7998195881e+00 )	( 3.5608072223e-02 1.2286845865e-02 1.7505560504e-02 )
0.021            	( 1.3807518636e+00 1.2864971868e-01 -2.7801866044e+00 )	( 1.3430583174e+00 1.2950876325e-01 -2.7977777496e+00 )	( 3.7693546211e-02 -8.5904456257e-04 1.7591145206e-02 )
0.022            	( 1.3359138760e+00 -3.7439485156e-01 -2.7814198282e+00 )	( 1.3012858843e+00 -3.6000209329e-01 -2.7988520797e+00 )	( 3.4627991662e-02 -1.4392758274e-02 1.7432251513e-02 )
0.023            	( 1.1129800797e+00 -8.2975711781e-01 -2.7827525999e+00 )	( 1.0859892962e+00 -8.0367085066e-01 -2.8001665928e+00 )	( 2.6990783514e-02 -2.6086267143e-02 1.7413992884e-02 )
0.024            	( 7.4247497456e-01 -1.1710108108e+00 -2.7796805225e+00 )	( 7.2645069671e-01 -1.1369034570e+00 -2.7972259946e+00 )	( 1.6024277852e-02 -3.4107353795e-02 1.7545472057e-02 )
0.025            	( 2.7227063465e-01 -1.3582946343e+00 -2.7770708247e+00 )	( 2.6906317241e-01 -1.3206622384e+00 -2.7947329238e+00 )	( 3.2074622464e-03 -3.7632395854e-02 1.7662099067e-02 )
0.026            	( -2.3018107076e-01 -1.3652899153e+00 -2.7762994138e+00 )	( -2.1973213721e-01 -1.3292120888e+00 -2.7938197264e+00 )	( -1.0448933557e-02 -3.6077826502e-02 1.7520312623e-02 )
0.027            	( -7.0351734240e-01 -1.1921442241e+00 -2.7763438982e+00 )	( -6.8058383145e-01 -1.1624722362e+00 -2.7937764820e+00 )	( -2.2933510948e-02 -2.9671987917e-02 1.7432583837e-02 )
0.028            	( -1.0834879874e+00 -8.5975343477e-01 -2.7743539916e+00 )	( -1.0513250221e+00 -8.4027947141e-01 -2.7918536023e+00 )	( -3.2162965330e-02 -1.9473963366e-02 1.7499610727e-02 )
0.029            	( -1.3166154223e+00 -4.1603962347e-01 -2.7700247779e+00 )	( -1.2795452760e+00 -4.0903261988e-01 -2.7876462537e+00 )	( -3.7070146231e-02 -7.0070035914e-03 1.7621475805e-02 )
0.03             	( -1.3782637377e+00 7.9787901654e-02 -2.7699609052e+00 )	( -1.3412589362e+00 7.3182467529e-02 -2.7875037809e+00 )	( -3.7004801517e-02 6.6054341251e-03 1.7542875706e-02 )
0.031            	( -1.2605384928e+00 5.6820455216e-01 -2.7744550914e+00 )	( -1.2286709628e+00 5.4850216876e-01 -2.7918516544e+00 )	( -3.1867530052e-02 1.9702383405e-02 1.7396563024e-02 )
0.032            	( -9.7657043916e-01 9.8041536937e-01 -2.7769027360e+00 )	( -9.5405170817e-01 9.5037732437e-01 -2.7943099465e+00 )	( -2.2518730991e-02 3.0038045000e-02 1.7407210448e-02 )
0.033            	( -5.6399041359e-01 1.2635963274e+00 -2.7767103290e+00 )	( -5.5351241319e-01 1.2273768437e+00 -2.7942452873e+00 )	( -1.0478000399e-02 3.6219483676e-02 1.7534958376e-02 )
0.034            	( -7.5497887035e-02 1.3833101775e+00 -2.7793039324e+00 )	( -7.8405271247e-02 1.3457407408e+00 -2.7968576628e+00 )	( 2.9073842119e-03 3.7569436663e-02 1.7553730447e-02 )
0.035            	( 4.2114471793e-01 1.3210045232e+00 -2.7820292100e+00 )	( 4.0477129654e-01 1.2872835889e+00 -2.7994071259e+00 )	( 1.6373421389e-02 3.3720934277e-02 1.7377915840e-02 )
0.036            	( 8.6517960072e-01 1.0850798097e+00 -2.7846395552e+00 )	( 8.3754951915e-01 1.0596570510e+00 -2.8020096976e+00 )	( 2.7630081564e-02 2.5422758727e-02 1.7370142409e-02 )
0.037            	( 1.1942747763e+00 7.0566745342e-01 -2.7833946227e+00 )	( 1.1592733201e+00 6.9163325430e-01 -2.8009033237e+00 )	( 3.5001456232e-02 1.4034199126e-02 1.7508700908e-02 )
0.038            	( 1.3666793314e+00 2.3287737518e-01 -2.7816078296e+00 )	( 1.3289331111e+00 2.3186517379e-01 -2.7992133893e+00 )	( 3.7746220242e-02 1.0122013969e-03 1.7605559643e-02 )
0.039            	( 1.3601005255e+00 -2.7240840331e-01 -2.7829983158e+00 )	( 1.3247339287e+00 -2.5980178264e-01 -2.8004462940e+00 )	( 3.5366596809e-02 -1.2606620676e-02 1.7447978269e-02 )
0.04             	( 1.1748891637e+00 -7.3923311635e-01 -2.7855187251e+00 )	( 1.1466050578e+00 -7.1455177731e-01 -2.8029168716e+00 )	( 2.8284105927e-02 -2.4681339038e-02 1.7398146470e-02 )
0.041            	( 8.3167124084e-01 -1.1100959869e+00 -2.7840158394e+00 )	( 8.1400002314e-01 -1.0768323275e+00 -2.8015238444e+00 )	( 1.7671217698e-02 -3.3263659391e-02 1.7508004984e-02 )
0.042            	( 3.7955780737e-01 -1.3324157572e+00 -2.7811641834e+00 )	( 3.7451523919e-01 -1.2949763170e+00 -2.7988050181e+00 )	( 5.0425681765e-03 -3.7439440198e-02 1.7640834751e-02 )
0.043            	( -1.2095098213e-01 -1.3783721102e+00 -2.7781653254e+00 )	( -1.1236654320e-01 -1.3417750137e+00 -2.7956968351e+00 )	( -8.5844389339e-03 -3.6597096516e-02 1.7531509659e-02 )
0.044            	( -6.0493361078e-01 -1.2445204908e+00 -2.7790511802e+00 )	( -5.8357128045e-01 -1.2136894937e+00 -2.7964788570e+00 )	( -2.1362330329e-02 -3.0830997140e-02 1.7427676797e-02 )
0.045            	( -1.0085073274e+00 -9.4557814548e-01 -2.7772626460e+00 )	( -9.7737529287e-01 -9.2450757051e-01 -2.7947373844e+00 )	( -3.1132034506e-02 -2.1070574968e-02 1.7474738372e-02 )
0.046            	( -1.2768375235e+00 -5.2301712369e-01 -2.7724689558e+00 )	( -1.2401547539e+00 -5.1418319788e-01 -2.7900747540e+00 )	( -3.6682769610e-02 -8.8339258096e-03 1.7605798214e-02 )
0.047            	( -1.3788871911e+00 -3.2717352542e-02 -2.7714206701e+00 )	( -1.3415289039e+00 -3.7379188969e-02 -2.7889975161e+00 )	( -3.7358287186e-02 4.6618364275e-03 1.7576846069e-02 )
0.048            	( -1.3010405032e+00 4.6154094399e-01 -2.7743072422e+00 )	( -1.2681582373e+00 4.4356701296e-01 -2.7917147966e+00 )	( -3.2882265902e-02 1.7973931032e-02 1.7407554428e-02 )
0.049            	( -1.0515095669e+00 8.9719784378e-01 -2.7777197287e+00 )	( -1.0274644703e+00 8.6837859953e-01 -2.7951164606e+00 )	( -2.4045096665e-02 2.8819244252e-02 1.7396731840e-02 )
0.05             	( -6.6180945327e-01 1.2136358906e+00 -2.7775567529e+00 )	( -6.4952159787e-01 1.1780030328e+00 -2.7950738333e+00 )	( -1.2287855399e-02 3.5632857828e-02 1.7517080413e-02 )
