# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001            	( -1.6265267476e+00 1.8847138952e+00 -1.3116606755e+00 )	( -1.6510236279e+00 1.7989241824e+00 -1.3599549998e+00 )	( 2.4496880349e-02 8.5789712814e-02 4.8294324345e-02 )
0.002            	( 1.1719074792e+00 7.7676070349e-01 -2.4662829060e+00 )	( 1.1465321601e+00 7.4781295221e-01 -2.4877553533e+00 )	( 2.5375319065e-02 2.8947751279e-02 2.1472447295e-02 )
0.003            	( 1.2560145935e+00 5.6828983118e-01 -2.6398175652e+00 )	( 1.2186559313e+00 5.5461771823e-01 -2.6567398499e+00 )	( 3.7358662200e-02 1.3672112952e-02 1.6922284756e-02 )
0.004            	( 1.3855470153e+00 3.5371949937e-02 -2.7396972397e+00 )	( 1.3537229638e+00 3.7518127509e-02 -2.7547296316e+00 )	( 3.1824051453e-02 -2.1461775723e-03 1.5032391934e-02 )
0.005            	( 1.3394680695e+00 -4.5635983292e-01 -2.8097810484e+00 )	( 1.3073862287e+00 -4.3858792590e-01 -2.8250068799e+00 )	( 3.2081840774e-02 -1.7771907023e-02 1.5225831543e-02 )
0.006            	( 1.0867008195e+00 -9.1374315102e-01 -2.8531533298e+00 )	( 1.0644928753e+00 -8.8635817299e-01 -2.8687552334e+00 )	( 2.2207944112e-02 -2.7384978029e-02 1.5601903582e-02 )
0.007            	( 6.8863565566e-01 -1.2291601112e+00 -2.8330633424e+00 )	( 6.7696662199e-01 -1.1943135896e+00 -2.8492665874e+00 )	( 1.1669033671e-02 -3.4846521598e-02 1.6203245032e-02 )
0.008            	( 1.9417421433e-01 -1.3930378890e+00 -2.8301266482e+00 )	( 1.9445431821e-01 -1.3560995325e+00 -2.8471194981e+00 )	( -2.8010387649e-04 -3.6938356517e-02 1.6992849874e-02 )
0.009            	( -3.0940169839e-01 -1.3613773325e+00 -2.8076430049e+00 )	( -2.9620699823e-01 -1.3265803056e+00 -2.8247493052e+00 )	( -1.3194700160e-02 -3.4797026845e-02 1.7106300380e-02 )
0.01             	( -7.8011748354e-01 -1.1563275625e+00 -2.8032198977e+00 )	( -7.5536318112e-01 -1.1284355887e+00 -2.8204681088e+00 )	( -2.4754302419e-02 -2.7891973864e-02 1.7248211163e-02 )
