# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001            	( -1.4342572712e-02 1.0510050138e-01 1.3197125220e-01 )	( -1.0213957431e-02 1.0970801937e-01 1.2154675365e-01 )	( -4.1286152808e-03 -4.6075179892e-03 1.0424498546e-02 )
0.002            	( 1.5683824553e-01 2.5130156734e-01 1.5501101157e-01 )	( 1.5921649546e-01 2.5254776334e-01 1.5042532069e-01 )	( -2.3782499221e-03 -1.2461959938e-03 4.5856908762e-03 )
0.003            	( 2.5645530214e-01 1.8292525547e-01 1.6051260172e-01 )	( 2.5850393509e-01 1.8291527558e-01 1.5587916757e-01 )	( -2.0486329506e-03 9.9798905424e-06 4.6334341505e-03 )
0.004            	( 3.1725464212e-01 8.1621362657e-02 1.6085493762e-01 )	( 3.1887702844e-01 8.1019504490e-02 1.5723505597e-01 )	( -1.6223863198e-03 6.0185816724e-04 3.6198816581e-03 )
0.005            	( 3.3494556947e-01 -3.9446543316e-02 1.6516921946e-01 )	( 3.3612275061e-01 -4.0646377958e-02 1.6111213987e-01 )	( -1.1771811360e-03 1.1998346422e-03 4.0570795844e-03 )
0.006            	( 3.0242042254e-01 -1.6039335706e-01 1.6533079263e-01 )	( 3.0311458007e-01 -1.6190902413e-01 1.6150452669e-01 )	( -6.9415753576e-04 1.5156670655e-03 3.8262659351e-03 )
0.007            	( 2.2326260355e-01 -2.5633717620e-01 1.6403453042e-01 )	( 2.2336809873e-01 -2.5806083736e-01 1.6005367081e-01 )	( -1.0549517423e-04 1.7236611611e-03 3.9808596061e-03 )
0.008            	( 1.1623941103e-01 -3.1888568152e-01 1.6341514567e-01 )	( 1.1573604121e-01 -3.2066160492e-01 1.5936900294e-01 )	( 5.0336981824e-04 1.7759234023e-03 4.0461427268e-03 )
0.009            	( -5.7642213002e-03 -3.3667678014e-01 1.6230287662e-01 )	( -6.8826119562e-03 -3.3817755921e-01 1.5820942284e-01 )	( 1.1183906560e-03 1.5007790786e-03 4.0934537773e-03 )
0.01             	( -1.2586370577e-01 -3.1181415977e-01 1.6207342014e-01 )	( -1.2745785187e-01 -3.1282961017e-01 1.5796743389e-01 )	( 1.5941461020e-03 1.0154503998e-03 4.1059862503e-03 )
