# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev	Tmin	Tmin location	Tmax	Tmax location	Tmean	TstDev
0.00125	1.196719041e-12	( -0.02300056547 -0.0005000022346 -0.0990006914 )	1.016570589e-05	( 0.004640727856 -0.0004999977524 0.09850884349 )	7.179806562e-08	3.459554518e-07	-1.24713549	( -0.0004996805998 -0.000499997503 0.1095001271 )	1.184264983	( 0.006025313208 -0.0005000022462 -0.09952967682 )	0.02008135639	0.6968477865	293.1499412	( 0.005779419316 -0.0004999977264 0.0995476965 )	413.502736	( 0.007457249346 -0.000499999565 0.01862824502 )	293.3726056	4.199151474
0.00270833	5.018713353e-08	( 0.000505103138 -0.0005000022466 -0.09950109652 )	0.001459185304	( 0.01972034389 -0.0004999998865 0.004445336152 )	9.322441102e-05	0.0001144215792	-1.273472915	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.172289218	( 0.006025313208 -0.0005000022462 -0.09952967682 )	0.001392821638	0.702797091	293.1499257	( 0.005779419316 -0.0004999977264 0.0995476965 )	443.0331294	( 0.007457249346 -0.000499999565 0.01862824502 )	293.5205945	5.914130146
0.00453125	1.7244319e-09	( 0.004499632461 -0.0004999975031 0.1094996511 )	0.00291598859	( -0.01946927746 -0.000499999864 0.005444767342 )	2.393441635e-05	0.0001046001955	-1.273723099	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.149096036	( -0.006025313228 -0.0005000022462 -0.0995296768 )	-0.01105848021	0.6932697946	293.1499321	( 0.005779419316 -0.0004999977264 0.0995476965 )	452.280245	( -0.007455448475 -0.0004999995677 0.01862884932 )	293.6484818	7.012748158
0.00635417	5.527522706e-09	( 0.0004996806045 -0.000499997503 0.1095001271 )	0.004679366152	( -0.02015770929 -0.0004999999531 0.001507495286 )	3.282197009e-05	0.0001906856833	-1.273699448	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.153389378	( 0.006025313208 -0.0005000022462 -0.09952967682 )	-0.008790710427	0.69513519	293.1499376	( 0.005779419316 -0.0004999977264 0.0995476965 )	456.3914996	( -0.007455448475 -0.0004999995677 0.01862884932 )	293.7523717	7.791968749
0.00817708	6.162763543e-09	( 0.0004996806045 -0.000499997503 0.1095001271 )	0.006700630385	( -0.02039270027 -0.000499999999 -0.0005081217448 )	5.899360081e-05	0.000297094843	-1.273656295	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.15569933	( 0.006025313208 -0.0005000022462 -0.09952967682 )	-0.007474909073	0.6959687034	293.1499363	( 0.005754950816 -0.0004999987038 0.0565937961 )	458.8293084	( -0.007455448475 -0.0004999995677 0.01862884932 )	293.8418783	8.406855802
0.01	4.425084086e-09	( 0.0004996806045 -0.000499997503 0.1095001271 )	0.009041866436	( -0.02039270027 -0.000499999999 -0.0005081217448 )	8.839880255e-05	0.0004156263223	-1.273650062	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.155603756	( 0.006025313208 -0.0005000022462 -0.09952967682 )	-0.007502843733	0.6959154774	293.1499284	( -0.03140349697 -0.0005000002405 -0.01115528856 )	460.4924591	( -0.007455448475 -0.0004999995677 0.01862884932 )	293.9214013	8.915449938
0.012	2.177071565e-09	( -0.0004996805998 -0.000499997503 0.1095001271 )	0.0114250958	( -0.02034156563 -0.0005000000219 -0.001524459161 )	0.0001242245756	0.0005500724412	-1.273651472	( -0.0004996805998 -0.000499997503 0.1095001271 )	1.155275801	( 0.006025313208 -0.0005000022462 -0.09952967682 )	-0.007670315929	0.6957815052	293.1499273	( 0.0005160495765 -0.0005000006256 -0.0281330881 )	461.8012096	( -0.007455448475 -0.0004999995677 0.01862884932 )	293.9996452	9.380309185
0.0146667	2.040506237e-09	( -0.0004996805998 -0.000499997503 0.1095001271 )	0.0140326625	( -0.02056131171 -0.0005000000224 -0.001540796968 )	0.0001737655547	0.0007187281887	-1.273650959	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.155112318	( 0.006025313208 -0.0005000022462 -0.09952967682 )	-0.007753566477	0.6957125158	293.1499174	( 0.005784747368 -0.0005000008894 -0.0397748719 )	463.0187915	( -0.007455448475 -0.0004999995677 0.01862884932 )	294.0921471	9.881330803
0.0173333	9.837746055e-10	( -0.0004996805998 -0.000499997503 0.1095001271 )	0.01737358132	( -0.02056131171 -0.0005000000224 -0.001540796968 )	0.0002299229401	0.0009008529881	-1.273649415	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.154749151	( 0.006025313208 -0.0005000022462 -0.09952967682 )	-0.007928079387	0.6955506208	293.1499094	( 0.005784747368 -0.0005000008894 -0.0397748719 )	463.9110774	( -0.007455448475 -0.0004999995677 0.01862884932 )	294.1766315	10.30687262
0.02	1.310771039e-09	( -0.0004996805998 -0.000499997503 0.1095001271 )	0.02059877277	( -0.02056131171 -0.0005000000224 -0.001540796968 )	0.000292384049	0.00109458988	-1.273648747	( 0.0004996806045 -0.000499997503 0.1095001271 )	1.154400409	( -0.006025313228 -0.0005000022462 -0.0995296768 )	-0.008100974521	0.6953993815	293.1499003	( 0.005784747368 -0.0005000008894 -0.0397748719 )	464.5871112	( -0.007455448475 -0.0004999995677 0.01862884932 )	294.2549084	10.67627188
