# Time	Tmin	Tmin location	Tmax	Tmax location	Tmean	TstDev
0.00125	473.1146581	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.002975705494 -0.0005000001815 0.008947836707 )	473.148817	0.004276048288
0.00270833	473.0958141	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( -0.006966183809 -0.0005000001821 -0.004973625556 )	473.1481114	0.006587240831
0.00453125	473.0820367	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.008954236236 -0.0005000001819 0.0009921785034 )	473.1474982	0.008342062751
0.00635417	473.0736225	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1470068	0.009573758477
0.00817708	473.06823	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1465872	0.01051035656
0.01	473.0647122	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( -0.0009990809428 -0.000500000182 -0.0009990804656 )	473.1462163	0.01126090502
0.012	473.0622656	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1458508	0.01193781873
0.0146667	473.0604198	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1454144	0.0126769867
0.0173333	473.0594683	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1450167	0.01330514507
0.02	473.0590395	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1446486	0.01385527104
0.0233333	473.0588732	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009977569915 -0.0005000001819 0.004990599798 )	473.1442228	0.01445895368
0.0266667	473.0589063	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1438242	0.01500141912
0.03	473.0590178	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1434475	0.01549665549
0.0333333	473.0591446	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1430889	0.01595390026
0.0366667	473.0592557	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1427457	0.01637958677
0.04	473.0593377	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1424157	0.01677838505
0.0433333	473.059386	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1420974	0.01715382251
0.0466667	473.0594002	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( 0.0009987241858 -0.000500000182 -0.00299637761 )	473.1417893	0.01750866369
0.05	473.0593812	( 0.01860531357 -0.0005000001818 0.006454609345 )	473.15	( -0.0009990809428 -0.000500000182 -0.0009990804656 )	473.1414906	0.01784514507
