# Region type :  patch atmosphere
# Faces          : 1400
# Area           : 1.1844735862e+03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
0.0234192        	0.0000000000e+00
0.0515222        	6.5895827029e+01
0.0852459        	1.6471991778e+02
0.125714         	2.7941565850e+01
0.174356         	4.6847051509e+01
0.232842         	3.0816783122e+01
0.303109         	2.5507232045e+01
0.38743          	1.8476262216e+01
0.488615         	1.1592043088e+01
0.610556         	3.3802871309e+00
0.757266         	-5.2369144546e+00
0.931657         	-1.3855558589e+01
1.14255          	-2.0819561851e+01
1.39562          	-2.5205341735e+01
1.70292          	-2.6453309971e+01
2.06366          	-2.5079236290e+01
2.48136          	-2.2100071606e+01
2.95128          	-1.8373735428e+01
3.49349          	-1.4456413533e+01
4.14414          	-1.0428248010e+01
4.876121         	-5.3165487458e+00
