# Region type :  patch outlet
# Faces          : 200
# Area           : 4.1999999990e+01
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
0.0234192        	0.0000000000e+00
0.0515222        	-1.5655749422e+01
0.0852459        	-1.1465875522e+02
0.125714         	2.2003176461e+01
0.174356         	3.0917724026e+00
0.232842         	1.9171080345e+01
0.303109         	2.4403932082e+01
0.38743          	3.1446374861e+01
0.488615         	3.8313966219e+01
0.610556         	4.6507931928e+01
0.757266         	5.5099628427e+01
0.931657         	6.3688851799e+01
1.14255          	7.0718080645e+01
1.39562          	7.5078845348e+01
1.70292          	7.6301041629e+01
2.06366          	7.4897518404e+01
2.48136          	7.1840002596e+01
2.95128          	6.8026670410e+01
3.49349          	6.4016245441e+01
4.14414          	6.0027164991e+01
4.876121         	5.6161036547e+01
