# Region fluid heights
# Time	region0
4.00708e-05	-2.9165193348e-04
8.81558e-05	-2.9197046638e-04
0.000145858	-2.9216631125e-04
0.0002151	-2.9176515502e-04
0.000298191	-2.9122595718e-04
0.0003979	-2.9049857936e-04
0.000517551	-2.8949562346e-04
0.000661132	-2.8811535051e-04
0.000833429	-2.8622278545e-04
0.00104019	-2.8363815285e-04
0.00128829	-2.2156075863e-04
0.00158602	-1.3758420899e-04
0.0019433	-3.4667916303e-05
0.00237203	9.2980843773e-05
0.00288651	2.5363554498e-04
0.00350388	4.5946890693e-04
0.00424473	7.2905334635e-04
0.00513374	1.0919993181e-03
